"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023","m0024","m0025","m0026","m0027","m0028","m0029","m0030","m0031","m0032","m0033","m0034","m0035","m0036","m0037","m0038","m0039","m0040","m0041","m0042","m0043","m0044","m0045","m0046","m0047","m0048","m0049","m0050","m0051","m0052","m0053","m0054","m0055","m0056","m0057","m0058","m0059","m0060","m0061","m0062","m0063","m0064","m0065","m0066","m0067","m0068","m0069","m0070","m0071","m0072","m0073","m0074","m0075","m0076","m0077","m0078","m0079","m0080","m0081","m0082","m0083","m0084","m0085","m0086","m0087","m0088","m0089","m0090","m0091","m0092","m0093","m0094","m0095","m0096","m0097","m0098","m0099","m0100","m0101","m0102","m0103","m0104","m0105","m0106","m0107","m0108","m0109","m0110","m0111","m0112","m0113","m0114","m0115","m0116","m0117","m0118","m0119","m0120","m0121","m0122","m0123","m0124","m0125","m0126","m0127","m0128","m0129","m0130","m0131","m0132","m0133","m0134","m0135","m0136","m0137","m0138","m0139","m0140","m0141","m0142","m0143","m0144","m0145","m0146","m0147","m0148","m0149","m0150","m0151","m0152","m0153","m0154","m0155","m0156","m0157","m0158","m0159","m0160","m0161","m0162","m0163","m0164","m0165","m0166","m0167"
1850,1850,1850.04166666667,1,NA,NA,9.9545,10.7273,10.7912,10.8305,10.8078,10.6999,10.2962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3192,12.1186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8087,11.0077,10.7233,NA,NA,NA,11.2419,11.2846,11.2664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9545,10.7273,10.7912,10.8305,10.8078,10.6999,10.2962,NA,NA,NA,NA,12.3192,12.1186,NA,NA,NA,NA,NA,NA,NA,NA,10.8087,11.0077,10.7233,NA,NA,NA,11.2419,11.2846,11.2664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.125,2,NA,NA,10.4751,11.1208,10.9376,10.9572,11.0911,11.0446,10.6066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.551,12.3049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7993,11.1047,10.5695,NA,NA,NA,11.5169,11.383,11.7374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4751,11.1208,10.9376,10.9572,11.0911,11.0446,10.6066,NA,NA,NA,NA,12.551,12.3049,NA,NA,NA,NA,NA,NA,NA,NA,10.7993,11.1047,10.5695,NA,NA,NA,11.5169,11.383,11.7374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.20833333333,3,NA,NA,11.3318,11.9075,12.1381,11.7926,11.6725,12.0107,11.4272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0731,12.6648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7393,12.0143,11.1753,NA,NA,NA,12.1254,12.1108,12.2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3318,11.9075,12.1381,11.7926,11.6725,12.0107,11.4272,NA,NA,NA,NA,13.0731,12.6648,NA,NA,NA,NA,NA,NA,NA,NA,11.7393,12.0143,11.1753,NA,NA,NA,12.1254,12.1108,12.2848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.29166666667,4,NA,NA,12.5262,12.8456,12.9994,12.8044,12.9324,12.9204,12.4173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6803,13.4057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7082,13.0313,12.2265,NA,NA,NA,13.1989,13.1638,13.3388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5262,12.8456,12.9994,12.8044,12.9324,12.9204,12.4173,NA,NA,NA,NA,13.6803,13.4057,NA,NA,NA,NA,NA,NA,NA,NA,12.7082,13.0313,12.2265,NA,NA,NA,13.1989,13.1638,13.3388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.375,5,NA,NA,13.5453,13.8928,13.9106,13.8189,13.8928,13.8549,13.3839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3199,14.1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1389,14.0333,13.5091,NA,NA,NA,14.3071,14.073,14.3437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5453,13.8928,13.9106,13.8189,13.8928,13.8549,13.3839,NA,NA,NA,NA,14.3199,14.1965,NA,NA,NA,NA,NA,NA,NA,NA,14.1389,14.0333,13.5091,NA,NA,NA,14.3071,14.073,14.3437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.45833333333,6,NA,NA,14.271,14.2641,14.292,14.3722,14.4163,14.497,13.7382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9743,14.8803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.949,14.9282,14.5242,NA,NA,NA,15.0406,14.9647000000001,15.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.271,14.2641,14.292,14.3722,14.4163,14.497,13.7382,NA,NA,NA,NA,14.9743,14.8803,NA,NA,NA,NA,NA,NA,NA,NA,14.949,14.9282,14.5242,NA,NA,NA,15.0406,14.9647000000001,15.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.54166666667,7,NA,NA,14.6745,14.3603,14.3318,14.4135,14.4613000000001,14.6081,13.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4935,15.4448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5207,15.205,14.8275,NA,NA,NA,15.4211,15.2664,15.3438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6745,14.3603,14.3318,14.4135,14.4613000000001,14.6081,13.765,NA,NA,NA,NA,15.4935,15.4448,NA,NA,NA,NA,NA,NA,NA,NA,15.5207,15.205,14.8275,NA,NA,NA,15.4211,15.2664,15.3438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.625,8,NA,NA,14.3786,14.1872,13.9862,14.068,14.0281,14.2284,13.2673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3899,15.4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0741,15.0153,14.6643,NA,NA,NA,15.1402,14.9852,15.2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.3786,14.1872,13.9862,14.068,14.0281,14.2284,13.2673,NA,NA,NA,NA,15.3899,15.4148,NA,NA,NA,NA,NA,NA,NA,NA,15.0741,15.0153,14.6643,NA,NA,NA,15.1402,14.9852,15.2087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.70833333333,9,NA,NA,13.5700000000001,13.4662,13.413,13.5008,13.5847,13.3853,12.6242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8105,14.7808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4838,14.204,13.8728,NA,NA,NA,14.2787,14.1226,14.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5700000000001,13.4662,13.413,13.5008,13.5847,13.3853,12.6242,NA,NA,NA,NA,14.8105,14.7808,NA,NA,NA,NA,NA,NA,NA,NA,14.4838,14.204,13.8728,NA,NA,NA,14.2787,14.1226,14.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.79166666667,10,NA,NA,12.3955,12.6852,12.7435,12.5628,12.789,12.7315,12.0633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9459,13.8621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9783,12.7701,12.6795,NA,NA,NA,13.3462,13.0602,13.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3955,12.6852,12.7435,12.5628,12.789,12.7315,12.0633,NA,NA,NA,NA,13.9459,13.8621,NA,NA,NA,NA,NA,NA,NA,NA,12.9783,12.7701,12.6795,NA,NA,NA,13.3462,13.0602,13.339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
