"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023"
1900,1900,1900.04166666667,1,-0.506,-1.152,-1.422,-1.296,-0.17,-0.728,-0.659,-1.053,-0.663,-0.628,-0.643,-1.193,-1.104,-1.008,-0.562,-0.889,-0.605,-0.507,-0.787,-0.756,-0.406,-0.57,-0.362
1900,1900,1900.125,2,-0.553,-1.171,-1.132,-1.235,-0.315,-0.664,-0.775,-0.862,-0.698,-0.451,-0.575,-1.003,-0.821,-0.871,-0.544,-0.891,-0.616,-0.471,-0.709,-0.943,-0.53,-0.369,-0.486
1900,1900,1900.20833333333,3,-0.401,-1.141,-1.087,-1.017,-0.37,-0.696,-0.754,-0.86,-0.781,-0.398,-0.633,-0.981,-0.985,-0.902,-0.555,-0.906,-0.676,-0.573,-0.737,-0.811,-0.491,-0.553,-0.464
1900,1900,1900.29166666667,4,-0.256,-1.164,-0.942,-0.989,-0.36,-0.631,-0.682,-0.879,-0.7,-0.506,-0.526,-0.853,-0.873,-1.06,-0.52,-0.791,-0.578,-0.626,-0.68,-0.852,-0.566,-0.445,-0.399
1900,1900,1900.375,5,-0.3,-1.073,-1.028,-1.001,-0.47,-0.805,-0.585,-0.842,-0.652,-0.453,-0.54,-0.867,-0.775,-0.955,-0.511,-0.8,-0.546,-0.538,-0.73,-0.777,-0.637,-0.421,-0.42
1900,1900,1900.45833333333,6,-0.246,-1.114,-1.244,-0.951,-0.318,-0.761,-0.636,-0.871,-0.634,-0.402,-0.55,-0.922,-0.868,-1.033,-0.492,-0.762,-0.511,-0.535,-0.783,-0.645,-0.526,-0.553,-0.47
1900,1900,1900.54166666667,7,-0.386,-1.149,-1.162,-0.947,-0.285,-0.807,-0.625,-0.702,-0.605,-0.404,-0.56,-0.893,-0.911,-1.045,-0.507,-0.814,-0.506,-0.503,-0.781,-0.707,-0.638,-0.494,-0.494
1900,1900,1900.625,8,-0.426,-1.103,-1.223,-0.901,-0.349,-0.715,-0.605,-0.864,-0.603,-0.436,-0.511,-0.861,-1.078,-0.945,-0.553,-0.956,-0.505,-0.508,-0.808,-0.643,-0.568,-0.514,-0.26
1900,1900,1900.70833333333,9,-0.416,-1.098,-1.161,-0.96,-0.276,-0.954,-0.58,-0.69,-0.585,-0.459,-0.501,-0.911,-0.917,-1.022,-0.606,-0.892,-0.562,-0.459,-0.868,-0.637,-0.562,-0.507,-0.399
1900,1900,1900.79166666667,10,-0.494,-1.111,-1.189,-1.015,-0.489,-0.821,-0.724,-0.761,-0.662,-0.379,-0.505,-0.883,-0.837,-1.127,-0.566,-0.842,-0.624,-0.454,-0.834,-0.76,-0.516,-0.667,-0.367
1900,1900,1900.875,11,-0.495,-1.232,-1.224,-1.006,-0.467,-0.877,-0.613,-0.788,-0.66,-0.431,-0.585,-0.918,-1.007,-1.022,-0.569,-0.991,-0.694,-0.375,-0.857,-0.753,-0.709,-0.745,-0.385
1900,1901,1900.95833333333,12,-0.497,-1.204,-1.377,-1.053,-0.559,-0.838,-0.445,-0.94,-0.682,-0.459,-0.586,-0.821,-0.871,-0.978,-0.672,-0.898,-0.655,-0.449,-0.773,-0.789,-0.558,-0.646,-0.33
1901,1901,1901.04166666667,1,-0.658,-1.218,-1.416,-1.021,-0.466,-0.767,-0.829,-0.549,-0.791,-0.493,-0.576,-0.591,-1,-0.913,-0.542,-0.996,-0.604,-0.374,-0.794,-0.656,-0.666,-0.667,-0.175
1901,1901,1901.125,2,-0.362,-1.123,-1.202,-1.185,-0.282,-0.426,-0.898,-0.541,-0.749,-0.459,-0.508,-0.958,-0.911,-0.792,-0.516,-0.844,-0.715,-0.442,-0.789,-0.681,-0.696,-0.576,-0.21
1901,1901,1901.20833333333,3,-0.647,-1.116,-1.16,-1.111,-0.253,-0.762,-1.005,-0.402,-0.765,-0.481,-0.609,-0.814,-0.897,-1.019,-0.56,-0.921,-0.501,-0.492,-0.779,-0.727,-0.659,-0.776,-0.357
1901,1901,1901.29166666667,4,-0.621,-1.094,-1.257,-0.886,-0.332,-0.899,-0.882,-0.6,-0.684,-0.53,-0.587,-0.681,-0.574,-0.8,-0.631,-0.83,-0.546,-0.502,-0.756,-0.654,-0.68,-0.771,-0.447
1901,1901,1901.375,5,-0.558,-1.09,-1.194,-1.015,-0.113,-0.912,-0.654,-0.702,-0.637,-0.469,-0.58,-0.838,-0.729,-0.91,-0.507,-0.846,-0.581,-0.484,-0.727,-0.696,-0.633,-0.846,-0.23
1901,1901,1901.45833333333,6,-0.497,-1.12,-1.341,-0.977,-0.314,-0.916,-0.811,-0.664,-0.624,-0.429,-0.56,-0.655,-0.742,-0.978,-0.536,-0.92,-0.581,-0.451,-0.708,-0.637,-0.661,-0.611,-0.25
1901,1901,1901.54166666667,7,-0.551,-1.058,-1.078,-0.942,-0.285,-0.976,-0.583,-0.609,-0.613,-0.39,-0.566,-0.673,-0.714,-0.777,-0.534,-0.922,-0.557,-0.479,-0.703,-0.682,-0.668,-0.717,-0.213
1901,1901,1901.625,8,-0.547,-1.131,-1.194,-1.045,-0.147,-0.869,-0.705,-0.479,-0.518,-0.346,-0.536,-0.641,-0.907,-0.87,-0.545,-0.912,-0.604,-0.466,-0.708,-0.735,-0.721,-0.701,-0.589
1901,1901,1901.70833333333,9,-0.596,-1.182,-1.302,-1.047,-0.153,-0.931,-0.752,-0.499,-0.557,-0.398,-0.553,-0.623,-0.944,-0.831,-0.558,-0.915,-0.678,-0.461,-0.718,-0.706,-0.71,-0.774,-0.54
1901,1901,1901.79166666667,10,-0.565,-1.233,-1.107,-1.193,0.034,-1.164,-0.675,-0.674,-0.633,-0.393,-0.559,-0.536,-1.029,-0.983,-0.559,-0.88,-0.665,-0.471,-0.76,-0.821,-0.708,-0.828,-0.679
1901,1901,1901.875,11,-0.543,-1.248,-1.26,-1.261,-0.04,-1.133,-0.869,-0.7,-0.62,-0.503,-0.561,-0.424,-1.055,-1.043,-0.509,-0.882,-0.76,-0.396,-0.822,-0.936,-0.808,-0.847,-0.735
1901,1902,1901.95833333333,12,-0.641,-1.23,-1.153,-1.074,0.099,-1.086,-0.87,-0.918,-0.774,-0.499,-0.581,-0.694,-0.815,-0.762,-0.541,-0.991,-0.836,-0.419,-0.805,-0.957,-0.918,-0.806,-0.744
1902,1902,1902.04166666667,1,-0.597,-1.265,-1.221,-1.146,-0.05,-1.225,-0.955,-0.882,-0.705,-0.522,-0.561,-0.635,-0.771,-1.015,-0.582,-0.868,-0.764,-0.517,-0.684,-0.812,-0.835,-0.469,-0.877
1902,1902,1902.125,2,-0.75,-1.171,-1.005,-1.009,-0.099,-1.115,-0.981,-0.587,-0.743,-0.482,-0.591,-0.275,-1.126,-0.672,-0.394,-0.786,-0.786,-0.596,-0.668,-0.877,-0.727,-0.699,-0.471
1902,1902,1902.20833333333,3,-0.641,-1.056,-0.984,-1.213,-0.021,-1.166,-1.165,-0.353,-0.621,-0.565,-0.529,-0.526,-1.056,-0.687,-0.491,-0.717,-0.76,-0.526,-0.643,-0.876,-0.618,-0.8,-0.694
1902,1902,1902.29166666667,4,-0.444,-1.02,-0.912,-1.222,-0.059,-1.081,-0.902,-0.625,-0.563,-0.512,-0.501,-0.437,-1.002,-0.917,-0.502,-0.809,-0.827,-0.516,-0.675,-0.815,-0.571,-0.583,-0.586
1902,1902,1902.375,5,-0.502,-1.007,-0.948,-1.106,0.01,-1.069,-0.847,-0.712,-0.578,-0.493,-0.571,-0.471,-0.935,-0.729,-0.578,-0.815,-0.806,-0.555,-0.66,-0.767,-0.612,-0.781,-0.658
1902,1902,1902.45833333333,6,-0.497,-1.057,-0.953,-1.067,0.004,-1.052,-0.757,-0.472,-0.537,-0.431,-0.513,-0.424,-0.827,-0.73,-0.543,-0.832,-0.836,-0.536,-0.674,-0.723,-0.625,-0.833,-0.625
1902,1902,1902.54166666667,7,-0.46,-1.018,-0.906,-1.074,-0.059,-1.083,-0.838,-0.338,-0.504,-0.456,-0.543,-0.473,-0.797,-0.748,-0.51,-0.854,-0.952,-0.5,-0.645,-0.698,-0.612,-0.65,-0.515
1902,1902,1902.625,8,-0.415,-1.023,-1.005,-1.073,-0.184,-1.007,-0.77,-0.426,-0.549,-0.45,-0.485,-0.458,-0.83,-0.776,-0.497,-0.855,-0.959,-0.5,-0.65,-0.679,-0.6,-0.694,-0.553
1902,1902,1902.70833333333,9,-0.379,-1.059,-1.068,-1.026,-0.214,-0.986,-0.929,-0.351,-0.572,-0.404,-0.52,-0.571,-0.716,-0.698,-0.476,-0.929,-0.974,-0.495,-0.731,-0.717,-0.65,-0.758,-0.767
1902,1902,1902.79166666667,10,-0.337,-1.078,-1.151,-1.169,-0.072,-1.056,-0.802,-0.508,-0.646,-0.496,-0.578,-0.649,-0.77,-0.838,-0.487,-0.932,-0.946,-0.451,-0.733,-0.877,-0.654,-0.799,-0.89
1902,1902,1902.875,11,-0.389,-1.117,-1.301,-1.03,-0.17,-1.084,-1.006,-0.356,-0.749,-0.624,-0.603,-0.693,-0.845,-0.888,-0.556,-1.107,-0.94,-0.503,-0.701,-0.919,-0.69,-0.751,-0.85
1902,1903,1902.95833333333,12,-0.527,-1.235,-1.365,-1.182,-0.273,-0.94,-0.824,-0.577,-0.711,-0.66,-0.556,-0.672,-0.859,-0.778,-0.528,-1.116,-0.899,-0.519,-0.784,-1.01,-0.77,-0.617,-0.707
1903,1903,1903.04166666667,1,-0.439,-1.238,-1.176,-1.332,-0.267,-0.848,-1.086,-0.353,-0.735,-0.706,-0.681,-0.622,-0.703,-0.793,-0.53,-0.945,-0.846,-0.52,-0.784,-0.956,-0.755,-0.581,-0.578
