"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023"
1900,1900,1900.04166666667,1,9.97230000000002,10.7431,10.1428,10.4747,11.0978,13.2064,10.2198,10.8098,12.159,12.6652,11.8265,12.3509,10.8594000000001,10.7146,11.3145,12.2115,11.2124,11.9742,10.4634,11.4709,10.4027,10.237,11.6671
1900,1900,1900.125,2,10.2656,10.9345,10.5253,11.1255,11.1289,13.4317,10.4401,11.3314,12.3364,13.4587,12.2693,12.8542,11.3454,11.2197,11.481,12.3767,11.4777,12.3438,10.9691,11.4612,10.7707,10.7428,11.7939
1900,1900,1900.20833333333,3,11.3589,11.753,11.2641,12.1733,11.7844,14.0355,11.1605,11.9244,12.7529,14.4194,12.8715,13.5984,11.685,11.8039,12.0797,12.8105,12.1916000000001,13.0666000000001,11.8058,12.1974,11.5607,11.2851,12.5963
1900,1900,1900.29166666667,4,12.7068,12.7624,12.4298,13.0353,12.7567,15.0822,12.1421,12.7998,13.4639,15.2632,13.8832,14.709,12.4886,12.5838,13.1395,13.6881,13.3694,14.0955,12.8734,13.0013,12.3395,12.44,13.7653
1900,1900,1900.375,5,13.6629,13.7823,13.3218,13.8185,13.6252,15.8645,13.358,13.9046,14.1986,16.0633,14.7293,15.5429,13.2844,13.6034,14.1898,14.6318,14.3328,15.161,13.6991,13.8475,12.9013,13.5454,14.8485
1900,1900,1900.45833333333,6,14.4183,14.3387,13.6889,14.4731,14.442,16.485,14.0764,14.8225,14.8833,16.6845,15.4331,16.1543,13.6235,14.3061,14.9545,15.4153,14.964,15.7438,14.2814,14.5032,13.3414,14.3586,15.3992
1900,1900,1900.54166666667,7,14.604,14.4171,13.8236,14.7037,14.6199,16.6235,14.2822,15.2146,15.3804,17.0034,15.915,16.592,13.5831,14.6453,15.2559,15.6498,15.2609,15.9392,14.511,14.7398,13.4001,14.7537,15.536
1900,1900,1900.625,8,14.2923,14.1521,13.4332,14.5003,14.2571,16.4836,13.9844000000001,14.7190000000001,15.3477,16.8032,15.8613,16.5247,13.2744,14.5149,14.9678,15.3182,15.1288,15.6842,14.0688,14.6457,13.451,14.5541,15.5278
1900,1900,1900.70833333333,9,13.5173,13.4773,12.8558,13.6987,13.5016,15.5381,13.1533,14.0409,14.7597,15.9049,14.8682,15.7563,12.9149,13.6687,14.1067,14.7038,14.4643,15.0481,13.1935,14.0983,13.1376,13.8813,14.7203
1900,1900,1900.79166666667,10,12.3771,12.7256,12.1405,12.5832,12.3884,14.8038,11.8692,12.8815,13.8224,14.6634,13.4204,14.7759,12.2805,12.4808,13.1218,13.8286,13.4142000000001,14.0332,12.2231,13.1705,12.4488,12.6382,13.8939
1900,1900,1900.875,11,11.21,11.8608,11.4663,11.4868,11.5658,13.8607,10.9367,11.711,12.9929,13.3643,12.2999,13.6137,11.4709,11.5226,12.2004,12.826,12.2753,13.0434,11.2003,12.3513,11.2201,11.4084,12.9148
1900,1901,1900.95833333333,12,10.3123000000001,11.1688,10.6399,10.7154,10.8955,13.3154,10.4631,10.9581,12.3338,12.7055,11.8535,12.912,11.15,10.893,11.4643,12.3364,11.4964000000001,12.2629,10.5986,11.722,10.5213,10.5324,12.0794
1901,1901,1901.04166666667,1,9.82030000000003,10.6764,10.1496,10.7494,10.8022,13.1673,10.0497,11.3133,12.0307,12.7997,11.8935,12.9528,10.9637,10.8095,11.335,12.1045,11.2135,12.1074,10.4564,11.5714,10.1428,10.1401,11.8539
1901,1901,1901.125,2,10.4562,10.9825,10.455,11.1753,11.162,13.6702,10.3168,11.652,12.2859,13.451,12.3363000000001,12.8993,11.2552,11.2989,11.509,12.4239,11.3794,12.3729,10.8891,11.7238,10.6048,10.5357,12.0700000000001
1901,1901,1901.20833333333,3,11.1131,11.7776,11.1916000000001,12.0791,11.9016,13.9696,10.9102,12.3823,12.7694,14.3361,12.8961,13.7653,11.7731,11.6861,12.0744,12.7955,12.3668,13.1478,11.7634,12.2806,11.3925,11.0621,12.7031
1901,1901,1901.29166666667,4,12.3424,12.8328,12.1156,13.139,12.7847,14.8141,11.9425,13.0782,13.4805,15.2392,13.8223,14.8808,12.7878,12.8437,13.0288,13.6492,13.4009,14.2203,12.7967,13.1995,12.2258,12.1142,13.7177
1901,1901,1901.375,5,13.4049,13.7656,13.1564,13.8047,13.9824,15.758,13.2891,14.0438,14.213,16.0475,14.6899,15.5715,13.331,13.6484,14.1946,14.5852,14.2981,15.2153,13.7017,13.9285,12.9053,13.1204,15.0386
1901,1901,1901.45833333333,6,14.1679,14.3328,13.5922,14.4467,14.4467,16.3307,13.9017,15.0295,14.8935,16.6576,15.4222,16.4214,13.7497,14.3609,14.9113,15.2569,14.8936,15.8279,14.3558,14.511,13.2065,14.3008,15.6185
1901,1901,1901.54166666667,7,14.4391,14.5083,13.9069,14.7091,14.6194,16.4546,14.3247,15.3071,15.3727,17.0176,15.9085,16.8119,13.7799,14.913,15.2283,15.5418,15.2101,15.9634,14.5893,14.7647,13.3705,14.5307,15.8168
1901,1901,1901.625,8,14.1718,14.1243,13.4628,14.3567,14.4591,16.3299,13.884,15.1037,15.4332,16.8927,15.8367,16.7442,13.4457,14.5898,14.9754,15.3625,15.0302,15.7265,14.1689,14.5532,13.2982,14.3676,15.1981
1901,1901,1901.70833333333,9,13.3371,13.393,12.7154,13.6109,13.6253,15.5611,12.9804,14.2313,14.7882,15.9656,14.8159,16.0444,12.8879,13.8598,14.1546,14.6814,14.3483,15.0454,13.3434,14.0288,12.9899,13.6145,14.5789
1901,1901,1901.79166666667,10,12.3057,12.6037,12.2225,12.4046,12.9113,14.4608,11.9176,12.9681,13.8521,14.649,13.3657,15.1225,12.0893,12.625,13.1286,13.7903,13.3725,14.0166,12.2969000000001,13.1097,12.2565,12.4778,13.5817
1901,1901,1901.875,11,11.1621,11.8455,11.4302,11.2317,11.9923,13.6052,10.6814,11.7993,13.0333,13.292,12.3233,14.1078,11.4228,11.5012,12.2605,12.9348,12.2101,13.0218,11.2359,12.1687,11.1206,11.3067,12.5645
1901,1902,1901.95833333333,12,10.169,11.1426,10.8642,10.6939,11.5537,13.0669,10.0379,10.981,12.2414,12.6653,11.8585,13.0387,11.2064,11.1085,11.5959,12.2433,11.3159,12.2926,10.5662,11.5543,10.1613,10.3723,11.6651
1902,1902,1902.04166666667,1,9.8818,10.6295,10.3444,10.6246,11.2178,12.7085,9.92320000000001,10.9807,12.1167,12.7711,11.9085,12.9087,11.192,10.7076,11.2945,12.233,11.0539,11.9645,10.5666000000001,11.4151,9.97370000000001,10.3382,11.1527
1902,1902,1902.125,2,10.0687,10.9352,10.6521,11.3517000000001,11.3449,12.9804,10.2344000000001,11.6059,12.2918,13.4277,12.2533,13.5816,11.0402,11.4188,11.6316,12.481,11.3082,12.2186,11.0097,11.527,10.5734,10.4123,11.8088
1902,1902,1902.20833333333,3,11.1186,11.8373,11.3676,11.977,12.1338,13.565,10.7499,12.431,12.9136,14.2523,12.9762,14.0532,11.6141,12.0189,12.1441,13.0001,12.1085,13.1139,11.8993,12.1322,11.4337,11.0375,12.366
1902,1902,1902.29166666667,4,12.5187,12.9066,12.4601,12.8028,13.0569,14.6324,11.9224,13.054,13.6006,15.2571,13.9086,15.1251,12.3597,12.7272,13.1571,13.6704,13.1201,14.2055,12.8781,13.0382,12.3348,12.3018,13.5786
1902,1902,1902.375,5,13.4613000000001,13.8485,13.4021,13.7138,14.1051,15.6004,13.0963,14.0338,14.2718,16.0229,14.6987,15.9386,13.1242,13.8294,14.1234,14.6165,14.0731,15.1439,13.7684,13.8576,12.9264,13.1861,14.6099
1902,1902,1902.45833333333,6,14.167,14.3959,13.9796,14.357,14.7646,16.1948,13.9559,15.2222,14.9809,16.655,15.47,16.6522000000001,13.665,14.6094000000001,14.9038,15.3454,14.6388,15.7431,14.3904,14.4251,13.2422,14.0781,15.2441
1902,1902,1902.54166666667,7,14.53,14.5479,14.0791,14.5768,14.8463,16.3472,14.0699,15.5786,15.4812,16.951,15.9315,17.0114,13.6967,14.9422,15.2524,15.61,14.8149,15.9423,14.6475,14.7484,13.426,14.5976,15.5152
1902,1902,1902.625,8,14.3029,14.2323,13.6514,14.3289,14.4228,16.1914,13.8192,15.1562,15.4024,16.7891,15.8873,16.9272,13.5228,14.6831,15.0232,15.4197,14.6746,15.6923,14.2272,14.6092,13.4192,14.374,15.2345
1902,1902,1902.70833333333,9,13.5547,13.516,12.9495,13.6322,13.564,15.5064,12.8043,14.3795,14.7728,15.9605,14.849,16.0961,13.1166,13.9927,14.2362,14.6674,14.0522,15.0122,13.3311,14.0176,13.0494,13.6303,14.352
1902,1902,1902.79166666667,10,12.5337,12.7581,12.1783,12.4286,12.8053,14.5692,11.7913,13.1346,13.8386,14.546,13.347,15.0099,12.3479,12.7702,13.2,13.7382,13.0918,14.0363,12.3237,13.0542,12.3107,12.5069,13.3708
1902,1902,1902.875,11,11.3156,11.9757,11.3894,11.4626,11.8625,13.6539,10.5436,12.1432,12.9034,13.1714,12.2819,13.8389,11.6328,11.6563,12.2128,12.7094,12.0298,12.9156,11.3563,12.1856,11.2389,11.4025,12.45
1902,1903,1902.95833333333,12,10.2831,11.1385,10.6525,10.5861,11.1817,13.2132,10.084,11.3215,12.3045,12.5045,11.8839,13.0614,11.1624,11.0926,11.6086,12.1181,11.253,12.1924,10.5873,11.5015,10.309,10.561,11.7024
1903,1903,1903.04166666667,1,10.0399,10.6564,10.3895,10.4388,11.0009,13.0863000000001,9.7928,11.5094,12.0872,12.5866,11.789,12.9212,11.2602,10.9289,11.3463,12.1555,10.9711,11.9616,10.4666,11.2712,10.0538,10.2258,11.4518
1903,1903,1903.125,2,10.4477,10.9216,10.4876,11.1216,11.4416000000001,13.3284,9.9973,11.8315,12.2389,13.2027,12.2305,13.156,11.3043,11.173,11.5427,12.2423,11.4195,12.2519,10.9313,11.4254,10.4523,10.5207,11.6829
1903,1903,1903.20833333333,3,11.492,11.7896,11.0809,12.085,12.0052,13.9091,10.738,12.3941,12.7702,14.0012,12.895,13.7699,11.8903,11.9111,12.2394,12.6512,12.124,12.9666,11.6666,11.8838,11.1839000000001,11.2418,12.4105
1903,1903,1903.29166666667,4,12.6847,12.8401,12.1276,12.8842,13.132,14.8501,11.6786,13.2358,13.5253,14.9838,13.6963,14.7575000000001,12.5214,12.6333,13.1276,13.6462,13.1629,14.087,12.6817,12.6895,11.9616,12.2107,13.6852
1903,1903,1903.375,5,13.7303,13.8053,13.1791,13.7956,13.955,15.9276,12.9186,14.2057,14.3235,15.7616,14.5822,15.5592,13.208,13.6161,14.171,14.4308,14.1199,15.174,13.6346,13.4846,12.5919,13.3802,14.8516
