"year","met_year","yr_part","month","m0001"
1900,1900,1900.04166666667,1,-0.77
1900,1900,1900.125,2,-0.728
1900,1900,1900.20833333333,3,-0.73
1900,1900,1900.29166666667,4,-0.689
1900,1900,1900.375,5,-0.682
1900,1900,1900.45833333333,6,-0.688
1900,1900,1900.54166666667,7,-0.693
1900,1900,1900.625,8,-0.694
1900,1900,1900.70833333333,9,-0.696
1900,1900,1900.79166666667,10,-0.723
1900,1900,1900.875,11,-0.759
1900,1901,1900.95833333333,12,-0.741
1901,1901,1901.04166666667,1,-0.728
1901,1901,1901.125,2,-0.692
1901,1901,1901.20833333333,3,-0.731
1901,1901,1901.29166666667,4,-0.706
1901,1901,1901.375,5,-0.691
1901,1901,1901.45833333333,6,-0.695
1901,1901,1901.54166666667,7,-0.664
1901,1901,1901.625,8,-0.693
1901,1901,1901.70833333333,9,-0.714
1901,1901,1901.79166666667,10,-0.744
1901,1901,1901.875,11,-0.783
1901,1902,1901.95833333333,12,-0.782
1902,1902,1902.04166666667,1,-0.781
1902,1902,1902.125,2,-0.723
1902,1902,1902.20833333333,3,-0.727
1902,1902,1902.29166666667,4,-0.699
1902,1902,1902.375,5,-0.704
1902,1902,1902.45833333333,6,-0.676
1902,1902,1902.54166666667,7,-0.663
1902,1902,1902.625,8,-0.672
1902,1902,1902.70833333333,9,-0.695
1902,1902,1902.79166666667,10,-0.737
1902,1902,1902.875,11,-0.778
1902,1903,1902.95833333333,12,-0.787
1903,1903,1903.04166666667,1,-0.761
1903,1903,1903.125,2,-0.759
1903,1903,1903.20833333333,3,-0.775
1903,1903,1903.29166666667,4,-0.777
1903,1903,1903.375,5,-0.748
1903,1903,1903.45833333333,6,-0.751
1903,1903,1903.54166666667,7,-0.755
1903,1903,1903.625,8,-0.763
1903,1903,1903.70833333333,9,-0.773
1903,1903,1903.79166666667,10,-0.805
1903,1903,1903.875,11,-0.833
1903,1904,1903.95833333333,12,-0.849
1904,1904,1904.04166666667,1,-0.824
1904,1904,1904.125,2,-0.799
1904,1904,1904.20833333333,3,-0.759
1904,1904,1904.29166666667,4,-0.771
1904,1904,1904.375,5,-0.737
1904,1904,1904.45833333333,6,-0.742
1904,1904,1904.54166666667,7,-0.743
1904,1904,1904.625,8,-0.749
1904,1904,1904.70833333333,9,-0.777
1904,1904,1904.79166666667,10,-0.797
1904,1904,1904.875,11,-0.848
1904,1905,1904.95833333333,12,-0.844
1905,1905,1905.04166666667,1,-0.787
1905,1905,1905.125,2,-0.787
1905,1905,1905.20833333333,3,-0.742
1905,1905,1905.29166666667,4,-0.731
1905,1905,1905.375,5,-0.728
1905,1905,1905.45833333333,6,-0.737
1905,1905,1905.54166666667,7,-0.709
1905,1905,1905.625,8,-0.714
1905,1905,1905.70833333333,9,-0.729
1905,1905,1905.79166666667,10,-0.771
1905,1905,1905.875,11,-0.785
1905,1906,1905.95833333333,12,-0.757
1906,1906,1906.04166666667,1,-0.715
1906,1906,1906.125,2,-0.695
1906,1906,1906.20833333333,3,-0.712
1906,1906,1906.29166666667,4,-0.729
1906,1906,1906.375,5,-0.713
1906,1906,1906.45833333333,6,-0.714
1906,1906,1906.54166666667,7,-0.71
1906,1906,1906.625,8,-0.723
1906,1906,1906.70833333333,9,-0.737
1906,1906,1906.79166666667,10,-0.751
1906,1906,1906.875,11,-0.768
1906,1907,1906.95833333333,12,-0.782
1907,1907,1907.04166666667,1,-0.814
1907,1907,1907.125,2,-0.78
1907,1907,1907.20833333333,3,-0.753
1907,1907,1907.29166666667,4,-0.743
1907,1907,1907.375,5,-0.715
1907,1907,1907.45833333333,6,-0.733
1907,1907,1907.54166666667,7,-0.697
1907,1907,1907.625,8,-0.71
1907,1907,1907.70833333333,9,-0.738
1907,1907,1907.79166666667,10,-0.735
1907,1907,1907.875,11,-0.764
1907,1908,1907.95833333333,12,-0.761
1908,1908,1908.04166666667,1,-0.768
1908,1908,1908.125,2,-0.773
1908,1908,1908.20833333333,3,-0.771
1908,1908,1908.29166666667,4,-0.719
1908,1908,1908.375,5,-0.682
1908,1908,1908.45833333333,6,-0.692
1908,1908,1908.54166666667,7,-0.682
1908,1908,1908.625,8,-0.678
1908,1908,1908.70833333333,9,-0.69
1908,1908,1908.79166666667,10,-0.691
1908,1908,1908.875,11,-0.733
1908,1909,1908.95833333333,12,-0.725
1909,1909,1909.04166666667,1,-0.71
1909,1909,1909.125,2,-0.743
1909,1909,1909.20833333333,3,-0.689
1909,1909,1909.29166666667,4,-0.705
1909,1909,1909.375,5,-0.689
1909,1909,1909.45833333333,6,-0.696
1909,1909,1909.54166666667,7,-0.704
1909,1909,1909.625,8,-0.694
1909,1909,1909.70833333333,9,-0.699
1909,1909,1909.79166666667,10,-0.739
1909,1909,1909.875,11,-0.758
1909,1910,1909.95833333333,12,-0.745
1910,1910,1910.04166666667,1,-0.758
