"year","met_year","yr_part","month","m0001"
1900,1900,1900.04166666667,1,11.2246
1900,1900,1900.125,2,11.5675
1900,1900,1900.20833333333,3,12.2686
1900,1900,1900.29166666667,4,13.2537
1900,1900,1900.375,5,14.1712
1900,1900,1900.45833333333,6,14.8178
1900,1900,1900.54166666667,7,15.0603
1900,1900,1900.625,8,14.8479
1900,1900,1900.70833333333,9,14.1328
1900,1900,1900.79166666667,10,13.13
1900,1900,1900.875,11,12.1209
1900,1901,1900.95833333333,12,11.4503
1901,1901,1901.04166666667,1,11.2667
1901,1901,1901.125,2,11.6034
1901,1901,1901.20833333333,3,12.2672
1901,1901,1901.29166666667,4,13.2375
1901,1901,1901.375,5,14.162
1901,1901,1901.45833333333,6,14.8104
1901,1901,1901.54166666667,7,15.0888
1901,1901,1901.625,8,14.8491
1901,1901,1901.70833333333,9,14.1142
1901,1901,1901.79166666667,10,13.109
1901,1901,1901.875,11,12.0961
1901,1902,1901.95833333333,12,11.4096
1902,1902,1902.04166666667,1,11.2138
1902,1902,1902.125,2,11.572
1902,1902,1902.20833333333,3,12.2716
1902,1902,1902.29166666667,4,13.2444
1902,1902,1902.375,5,14.1496
1902,1902,1902.45833333333,6,14.8299
1902,1902,1902.54166666667,7,15.0901
1902,1902,1902.625,8,14.8696
1902,1902,1902.70833333333,9,14.1334
1902,1902,1902.79166666667,10,13.1161
1902,1902,1902.875,11,12.1013
1902,1903,1902.95833333333,12,11.4046
1903,1903,1903.04166666667,1,11.2337
1903,1903,1903.125,2,11.536
1903,1903,1903.20833333333,3,12.2234
1903,1903,1903.29166666667,4,13.1656
1903,1903,1903.375,5,14.1052
1903,1903,1903.45833333333,6,14.7543
1903,1903,1903.54166666667,7,14.9977
1903,1903,1903.625,8,14.7787
1903,1903,1903.70833333333,9,14.0552
1903,1903,1903.79166666667,10,13.0482
1903,1903,1903.875,11,12.0464
1903,1904,1903.95833333333,12,11.3431
1904,1904,1904.04166666667,1,11.171
1904,1904,1904.125,2,11.4966
1904,1904,1904.20833333333,3,12.2393
1904,1904,1904.29166666667,4,13.1719000000001
1904,1904,1904.375,5,14.1164
1904,1904,1904.45833333333,6,14.7639
1904,1904,1904.54166666667,7,15.0102
1904,1904,1904.625,8,14.7932
1904,1904,1904.70833333333,9,14.0515
1904,1904,1904.79166666667,10,13.0556
1904,1904,1904.875,11,12.0315000000001
1904,1905,1904.95833333333,12,11.3477
1905,1905,1905.04166666667,1,11.2078
1905,1905,1905.125,2,11.5083
1905,1905,1905.20833333333,3,12.2564
1905,1905,1905.29166666667,4,13.2123
1905,1905,1905.375,5,14.125
1905,1905,1905.45833333333,6,14.7684
1905,1905,1905.54166666667,7,15.0438
1905,1905,1905.625,8,14.8279
1905,1905,1905.70833333333,9,14.0997
1905,1905,1905.79166666667,10,13.0825
1905,1905,1905.875,11,12.0949
1905,1906,1905.95833333333,12,11.4346
1906,1906,1906.04166666667,1,11.2797
1906,1906,1906.125,2,11.6
1906,1906,1906.20833333333,3,12.2864
1906,1906,1906.29166666667,4,13.2139
1906,1906,1906.375,5,14.1402
1906,1906,1906.45833333333,6,14.7912
1906,1906,1906.54166666667,7,15.0434
1906,1906,1906.625,8,14.8189
1906,1906,1906.70833333333,9,14.0918
1906,1906,1906.79166666667,10,13.1025
1906,1906,1906.875,11,12.1114
1906,1907,1906.95833333333,12,11.41
1907,1907,1907.04166666667,1,11.1815
1907,1907,1907.125,2,11.5156
1907,1907,1907.20833333333,3,12.246
1907,1907,1907.29166666667,4,13.1997
1907,1907,1907.375,5,14.1381
1907,1907,1907.45833333333,6,14.7725
1907,1907,1907.54166666667,7,15.0563
1907,1907,1907.625,8,14.8319
1907,1907,1907.70833333333,9,14.0907
1907,1907,1907.79166666667,10,13.118
1907,1907,1907.875,11,12.1158
1907,1908,1907.95833333333,12,11.4302
1908,1908,1908.04166666667,1,11.2267000000001
1908,1908,1908.125,2,11.5228
1908,1908,1908.20833333333,3,12.2271
1908,1908,1908.29166666667,4,13.2242
1908,1908,1908.375,5,14.1718
1908,1908,1908.45833333333,6,14.8132
1908,1908,1908.54166666667,7,15.0711
1908,1908,1908.625,8,14.8642
1908,1908,1908.70833333333,9,14.1388
1908,1908,1908.79166666667,10,13.1625
1908,1908,1908.875,11,12.1465
1908,1909,1908.95833333333,12,11.4666
1909,1909,1909.04166666667,1,11.2853
1909,1909,1909.125,2,11.5521
1909,1909,1909.20833333333,3,12.3091
1909,1909,1909.29166666667,4,13.2382
1909,1909,1909.375,5,14.1648
1909,1909,1909.45833333333,6,14.8095
1909,1909,1909.54166666667,7,15.0491
1909,1909,1909.625,8,14.8477
1909,1909,1909.70833333333,9,14.1294
1909,1909,1909.79166666667,10,13.1145
1909,1909,1909.875,11,12.1217
1909,1910,1909.95833333333,12,11.4464
1910,1910,1910.04166666667,1,11.2372
1910,1910,1910.125,2,11.5783
1910,1910,1910.20833333333,3,12.3276
1910,1910,1910.29166666667,4,13.2628
1910,1910,1910.375,5,14.211
1910,1910,1910.45833333333,6,14.8382
1910,1910,1910.54166666667,7,15.0941
1910,1910,1910.625,8,14.8813
1910,1910,1910.70833333333,9,14.1796000000001
1910,1910,1910.79166666667,10,13.1624
1910,1910,1910.875,11,12.1524
1910,1911,1910.95833333333,12,11.4432
1911,1911,1911.04166666667,1,11.3177
1911,1911,1911.125,2,11.6095
1911,1911,1911.20833333333,3,12.3273
1911,1911,1911.29166666667,4,13.2693
1911,1911,1911.375,5,14.1852
1911,1911,1911.45833333333,6,14.8458
1911,1911,1911.54166666667,7,15.0796
1911,1911,1911.625,8,14.8782
1911,1911,1911.70833333333,9,14.1491
1911,1911,1911.79166666667,10,13.1298
1911,1911,1911.875,11,12.1065
1911,1912,1911.95833333333,12,11.3957
1912,1912,1912.04166666667,1,11.2303
1912,1912,1912.125,2,11.5385
1912,1912,1912.20833333333,3,12.3142
