"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023","m0024","m0025","m0026","m0027","m0028","m0029","m0030","m0031","m0032","m0033","m0034","m0035","m0036","m0037","m0038","m0039","m0040","m0041","m0042","m0043","m0044","m0045","m0046","m0047","m0048","m0049","m0050","m0051","m0052","m0053","m0054","m0055","m0056","m0057","m0058","m0059","m0060","m0061","m0062","m0063","m0064","m0065","m0066","m0067","m0068","m0069","m0070","m0071","m0072","m0073","m0074","m0075","m0076","m0077","m0078","m0079","m0080","m0081","m0082","m0083","m0084","m0085","m0086","m0087","m0088","m0089","m0090","m0091","m0092","m0093","m0094","m0095","m0096","m0097","m0098","m0099","m0100","m0101","m0102","m0103","m0104","m0105","m0106","m0107","m0108","m0109","m0110","m0111","m0112","m0113","m0114","m0115","m0116","m0117","m0118","m0119","m0120","m0121","m0122","m0123","m0124","m0125","m0126","m0127","m0128","m0129","m0130","m0131","m0132","m0133","m0134","m0135","m0136","m0137","m0138"
1861,1861,1861.04166666667,1,11.8956,12.0522,11.2238,11.8056,11.3718,10.9126,11.3751,10.5228,10.686,10.197,11.7784,11.5973,11.4672,11.9275,12.8293,13.0111,13.3071,12.2828,12.6923,12.5838,11.943,11.279,10.105,11.197,12.3984,11.7449,11.7755,11.4588,11.5813,11.5121,11.2089,10.9985,11.8679,12.081,11.8956,12.0522,11.2238,11.8056,11.3718,11.9436,10.9126,11.3416,12.0854,11.3751,10.5228,10.686,10.197,11.7784,11.5973,11.4672,11.9275,12.8293,13.0111,13.3071,12.6132,12.2828,12.6923,12.5838,12.4894,11.943,11.2019,11.279,11.1985,10.105,11.197,10.3925,12.3984,11.7449,11.7755,11.4588,11.5813,11.5121,11.2089,10.9985,11.8956,12.0522,11.3718,10.9126,10.5228,11.7784,11.5973,11.4672,11.9275,12.8293,13.0111,13.3071,12.2828,12.6923,12.5838,11.943,11.279,10.105,11.197,12.3984,11.7449,11.7755,11.5121,11.2089,10.9985,11.8679,12.081,11.8956,11.2238,11.8056,11.3718,11.9436,10.9126,11.3416,12.0854,11.3751,10.5228,10.686,10.197,11.7784,11.5973,11.4672,11.9275,12.8293,13.0111,13.3071,12.2828,12.6923,12.5838,11.943,11.2019,11.279,11.1985,10.105,11.197,10.3925,12.3984,11.7449,11.7755,11.4588,11.5813,11.5121,11.2089,10.9985
1861,1861,1861.125,2,12.1019,12.6268,11.3581,12.1266,11.5938,11.4971,11.901,10.9655,10.9842,10.5316,11.9094,11.9068,11.712,12.2567,13.1253,13.1088,13.8319,12.7859,13.0961,12.9212,12.1001,11.6085,10.4937,11.4875,12.4854,11.8546,11.8289,11.8465,11.9809,12.0528,11.3313,11.1598,11.9729,12.4301,12.1019,12.6268,11.3581,12.1266,11.5938,12.0647,11.4971,11.6038,12.4907,11.901,10.9655,10.9842,10.5316,11.9094,11.9068,11.712,12.2567,13.1253,13.1088,13.8319,12.9336,12.7859,13.0961,12.9212,12.5931,12.1001,11.6547,11.6085,11.3547,10.4937,11.4875,10.857,12.4854,11.8546,11.8289,11.8465,11.9809,12.0528,11.3313,11.1598,12.1019,12.6268,11.5938,11.4971,10.9655,11.9094,11.9068,11.712,12.2567,13.1253,13.1088,13.8319,12.7859,13.0961,12.9212,12.1001,11.6085,10.4937,11.4875,12.4854,11.8546,11.8289,12.0528,11.3313,11.1598,11.9729,12.4301,12.1019,11.3581,12.1266,11.5938,12.0647,11.4971,11.6038,12.4907,11.901,10.9655,10.9842,10.5316,11.9094,11.9068,11.712,12.2567,13.1253,13.1088,13.8319,12.7859,13.0961,12.9212,12.1001,11.6547,11.6085,11.3547,10.4937,11.4875,10.857,12.4854,11.8546,11.8289,11.8465,11.9809,12.0528,11.3313,11.1598
1861,1861,1861.20833333333,3,12.7702,13.3612,11.9011,12.7385,12.4787,12.0866,12.2707,11.6709,11.5581,11.3249,12.5825,12.3885,12.5026,12.967,14.0532,14.1461,14.5573,13.293,13.8138,13.8656,12.7875,12.3785,11.2503,12.2174,13.0435,12.2613,12.3339,12.4764,12.6831,13.012,12.1317,11.9171,12.811,13.0259,12.7702,13.3612,11.9011,12.7385,12.4787,12.6571,12.0866,12.4898,13.3314,12.2707,11.6709,11.5581,11.3249,12.5825,12.3885,12.5026,12.967,14.0532,14.1461,14.5573,13.7574,13.293,13.8138,13.8656,13.4051,12.7875,12.5131,12.3785,11.744,11.2503,12.2174,11.721,13.0435,12.2613,12.3339,12.4764,12.6831,13.012,12.1317,11.9171,12.7702,13.3612,12.4787,12.0866,11.6709,12.5825,12.3885,12.5026,12.967,14.0532,14.1461,14.5573,13.293,13.8138,13.8656,12.7875,12.3785,11.2503,12.2174,13.0435,12.2613,12.3339,13.012,12.1317,11.9171,12.811,13.0259,12.7702,11.9011,12.7385,12.4787,12.6571,12.0866,12.4898,13.3314,12.2707,11.6709,11.5581,11.3249,12.5825,12.3885,12.5026,12.967,14.0532,14.1461,14.5573,13.293,13.8138,13.8656,12.7875,12.5131,12.3785,11.744,11.2503,12.2174,11.721,13.0435,12.2613,12.3339,12.4764,12.6831,13.012,12.1317,11.9171
1861,1861,1861.29166666667,4,14.0425,14.3299,12.4679,13.9396,13.27,13.1303,13.0289,12.6723,12.4959,12.2001,13.4879,13.3174,13.1959,13.6077,14.9166,15.0885,15.3547,14.4526,14.6676,14.8487,13.8397000000001,13.4842,12.1749,13.1004,14.1515,12.9347,12.8372,13.5849,13.689,13.7431,13.237,12.7478,13.5684,13.8275,14.0425,14.3299,12.4679,13.9396,13.27,13.6684,13.1303,13.5227,14.2158,13.0289,12.6723,12.4959,12.2001,13.4879,13.3174,13.1959,13.6077,14.9166,15.0885,15.3547,14.5577,14.4526,14.6676,14.8487,14.451,13.8397000000001,13.6758,13.4842,12.9894,12.1749,13.1004,12.8916,14.1515,12.9347,12.8372,13.5849,13.689,13.7431,13.237,12.7478,14.0425,14.3299,13.27,13.1303,12.6723,13.4879,13.3174,13.1959,13.6077,14.9166,15.0885,15.3547,14.4526,14.6676,14.8487,13.8397000000001,13.4842,12.1749,13.1004,14.1515,12.9347,12.8372,13.7431,13.237,12.7478,13.5684,13.8275,14.0425,12.4679,13.9396,13.27,13.6684,13.1303,13.5227,14.2158,13.0289,12.6723,12.4959,12.2001,13.4879,13.3174,13.1959,13.6077,14.9166,15.0885,15.3547,14.4526,14.6676,14.8487,13.8397000000001,13.6758,13.4842,12.9894,12.1749,13.1004,12.8916,14.1515,12.9347,12.8372,13.5849,13.689,13.7431,13.237,12.7478
1861,1861,1861.375,5,14.688,15.3301,13.3069,14.7002,14.2095,13.9875,14.0961,13.8884,13.3538,13.1457,14.2868,14.1513,14.2136,14.5841,15.6529,15.8914,16.0069,15.3798,15.4587,15.6589,14.8158,14.6521,13.1684,14.1058,15.4701,14.0904,13.9637,14.411,14.5211,14.6061,14.0155,13.6948,14.6617,14.6684,14.688,15.3301,13.3069,14.7002,14.2095,14.2782,13.9875,14.6239,15.4676,14.0961,13.8884,13.3538,13.1457,14.2868,14.1513,14.2136,14.5841,15.6529,15.8914,16.0069,15.2072,15.3798,15.4587,15.6589,15.4589,14.8158,14.7358,14.6521,14.2243,13.1684,14.1058,14.1657,15.4701,14.0904,13.9637,14.411,14.5211,14.6061,14.0155,13.6948,14.688,15.3301,14.2095,13.9875,13.8884,14.2868,14.1513,14.2136,14.5841,15.6529,15.8914,16.0069,15.3798,15.4587,15.6589,14.8158,14.6521,13.1684,14.1058,15.4701,14.0904,13.9637,14.6061,14.0155,13.6948,14.6617,14.6684,14.688,13.3069,14.7002,14.2095,14.2782,13.9875,14.6239,15.4676,14.0961,13.8884,13.3538,13.1457,14.2868,14.1513,14.2136,14.5841,15.6529,15.8914,16.0069,15.3798,15.4587,15.6589,14.8158,14.7358,14.6521,14.2243,13.1684,14.1058,14.1657,15.4701,14.0904,13.9637,14.411,14.5211,14.6061,14.0155,13.6948
1861,1861,1861.45833333333,6,15.1858,15.9127,14.0359,15.5315000000001,15.0398,14.7734,15.0751,14.6679,14.0566,13.9792,14.971,14.8836,15.0018,15.2997,16.2801,16.3386,16.5532,15.9314,16.049,16.2112,15.8216,15.5295,13.8434,14.875,16.557,14.7545,14.7898,15.1635,15.1891,15.4149,14.6391,14.2312,15.5257,15.5962,15.1858,15.9127,14.0359,15.5315000000001,15.0398,15.0882,14.7734,15.3347,15.8538,15.0751,14.6679,14.0566,13.9792,14.971,14.8836,15.0018,15.2997,16.2801,16.3386,16.5532,15.7771,15.9314,16.049,16.2112,15.8647,15.8216,15.6022,15.5295,15.0057,13.8434,14.875,14.8807,16.557,14.7545,14.7898,15.1635,15.1891,15.4149,14.6391,14.2312,15.1858,15.9127,15.0398,14.7734,14.6679,14.971,14.8836,15.0018,15.2997,16.2801,16.3386,16.5532,15.9314,16.049,16.2112,15.8216,15.5295,13.8434,14.875,16.557,14.7545,14.7898,15.4149,14.6391,14.2312,15.5257,15.5962,15.1858,14.0359,15.5315000000001,15.0398,15.0882,14.7734,15.3347,15.8538,15.0751,14.6679,14.0566,13.9792,14.971,14.8836,15.0018,15.2997,16.2801,16.3386,16.5532,15.9314,16.049,16.2112,15.8216,15.6022,15.5295,15.0057,13.8434,14.875,14.8807,16.557,14.7545,14.7898,15.1635,15.1891,15.4149,14.6391,14.2312
1861,1861,1861.54166666667,7,15.4452,16.0337,14.3937,15.7376,15.418,15.1227,15.7397,14.6774,14.3529,14.1794,15.0679,15.359,15.3018,15.5801,16.5313,16.5679,16.8294,16.2743,16.3409,16.3916,16.0161,15.9,14.2778,15.2096,16.9276,15.0826,15.2008,15.3514,15.4623,15.7199,14.9877,14.6965,15.7384,15.9136,15.4452,16.0337,14.3937,15.7376,15.418,15.4795,15.1227,15.4688,16.0227,15.7397,14.6774,14.3529,14.1794,15.0679,15.359,15.3018,15.5801,16.5313,16.5679,16.8294,16.0044,16.2743,16.3409,16.3916,16.1327,16.0161,15.7778,15.9,15.221,14.2778,15.2096,15.3686,16.9276,15.0826,15.2008,15.3514,15.4623,15.7199,14.9877,14.6965,15.4452,16.0337,15.418,15.1227,14.6774,15.0679,15.359,15.3018,15.5801,16.5313,16.5679,16.8294,16.2743,16.3409,16.3916,16.0161,15.9,14.2778,15.2096,16.9276,15.0826,15.2008,15.7199,14.9877,14.6965,15.7384,15.9136,15.4452,14.3937,15.7376,15.418,15.4795,15.1227,15.4688,16.0227,15.7397,14.6774,14.3529,14.1794,15.0679,15.359,15.3018,15.5801,16.5313,16.5679,16.8294,16.2743,16.3409,16.3916,16.0161,15.7778,15.9,15.221,14.2778,15.2096,15.3686,16.9276,15.0826,15.2008,15.3514,15.4623,15.7199,14.9877,14.6965
1861,1861,1861.625,8,15.2353,15.5867,14.2932,15.3949,15.1914,14.845,15.4052,14.411,14.014,13.9831,14.794,15.3266,14.9896,15.2876,16.3731,16.3149,16.6049,16.1117,16.1386,16.191,15.7386,15.6962,14.2005,15.1523,16.7112,14.8567,14.9534,15.1242,15.2639,15.4235,14.8579,14.5252,15.5186,15.7084,15.2353,15.5867,14.2932,15.3949,15.1914,15.278,14.845,15.0835,15.7482,15.4052,14.411,14.014,13.9831,14.794,15.3266,14.9896,15.2876,16.3731,16.3149,16.6049,15.6461,16.1117,16.1386,16.191,16.0792,15.7386,15.6065,15.6962,14.7716,14.2005,15.1523,15.2484,16.7112,14.8567,14.9534,15.1242,15.2639,15.4235,14.8579,14.5252,15.2353,15.5867,15.1914,14.845,14.411,14.794,15.3266,14.9896,15.2876,16.3731,16.3149,16.6049,16.1117,16.1386,16.191,15.7386,15.6962,14.2005,15.1523,16.7112,14.8567,14.9534,15.4235,14.8579,14.5252,15.5186,15.7084,15.2353,14.2932,15.3949,15.1914,15.278,14.845,15.0835,15.7482,15.4052,14.411,14.014,13.9831,14.794,15.3266,14.9896,15.2876,16.3731,16.3149,16.6049,16.1117,16.1386,16.191,15.7386,15.6065,15.6962,14.7716,14.2005,15.1523,15.2484,16.7112,14.8567,14.9534,15.1242,15.2639,15.4235,14.8579,14.5252
1861,1861,1861.70833333333,9,14.5917,14.9863,13.6287,14.7914,14.3516,14.1716,14.485,13.6372,13.2368,13.2246,14.3548,14.5035,14.2741,14.4505,15.7235,15.7362,15.8812,15.5026,15.4885,15.4778,14.9191,14.8252,13.3248,14.3425,15.8532,14.0954,13.9779,14.5567,14.5104,14.5049,14.2212,13.7422,14.642,15.0144,14.5917,14.9863,13.6287,14.7914,14.3516,14.4928,14.1716,14.2577,14.9599,14.485,13.6372,13.2368,13.2246,14.3548,14.5035,14.2741,14.4505,15.7235,15.7362,15.8812,15.0179,15.5026,15.4885,15.4778,15.396,14.9191,14.7635,14.8252,13.9127,13.3248,14.3425,14.3115,15.8532,14.0954,13.9779,14.5567,14.5104,14.5049,14.2212,13.7422,14.5917,14.9863,14.3516,14.1716,13.6372,14.3548,14.5035,14.2741,14.4505,15.7235,15.7362,15.8812,15.5026,15.4885,15.4778,14.9191,14.8252,13.3248,14.3425,15.8532,14.0954,13.9779,14.5049,14.2212,13.7422,14.642,15.0144,14.5917,13.6287,14.7914,14.3516,14.4928,14.1716,14.2577,14.9599,14.485,13.6372,13.2368,13.2246,14.3548,14.5035,14.2741,14.4505,15.7235,15.7362,15.8812,15.5026,15.4885,15.4778,14.9191,14.7635,14.8252,13.9127,13.3248,14.3425,14.3115,15.8532,14.0954,13.9779,14.5567,14.5104,14.5049,14.2212,13.7422
1861,1861,1861.79166666667,10,13.6746,14.002,12.5687,13.6882,13.2066,13.0166,13.2399,12.6719000000001,12.2453,12.158,13.2554,13.6685,13.1001,13.3127,14.5366,14.6243,14.8955,14.4249,14.379,14.4674,14.0071,13.71,12.0307,13.1333,14.5648,13.0104,13.1128,13.4365,13.501,13.1388,13.2779,12.6857,13.6752,14.0585,13.6746,14.002,12.5687,13.6882,13.2066,13.5019,13.0166,13.0737,13.8358,13.2399,12.6719000000001,12.2453,12.158,13.2554,13.6685,13.1001,13.3127,14.5366,14.6243,14.8955,13.9445,14.4249,14.379,14.4674,14.3085,14.0071,13.6746,13.71,13.0681,12.0307,13.1333,12.8877,14.5648,13.0104,13.1128,13.4365,13.501,13.1388,13.2779,12.6857,13.6746,14.002,13.2066,13.0166,12.6719000000001,13.2554,13.6685,13.1001,13.3127,14.5366,14.6243,14.8955,14.4249,14.379,14.4674,14.0071,13.71,12.0307,13.1333,14.5648,13.0104,13.1128,13.1388,13.2779,12.6857,13.6752,14.0585,13.6746,12.5687,13.6882,13.2066,13.5019,13.0166,13.0737,13.8358,13.2399,12.6719000000001,12.2453,12.158,13.2554,13.6685,13.1001,13.3127,14.5366,14.6243,14.8955,14.4249,14.379,14.4674,14.0071,13.6746,13.71,13.0681,12.0307,13.1333,12.8877,14.5648,13.0104,13.1128,13.4365,13.501,13.1388,13.2779,12.6857
