"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023","m0024","m0025","m0026","m0027","m0028","m0029","m0030","m0031","m0032","m0033","m0034","m0035","m0036","m0037","m0038","m0039","m0040","m0041","m0042","m0043","m0044","m0045","m0046","m0047","m0048","m0049","m0050","m0051","m0052","m0053","m0054","m0055","m0056","m0057","m0058","m0059","m0060","m0061","m0062","m0063","m0064","m0065","m0066","m0067","m0068","m0069","m0070","m0071","m0072","m0073","m0074","m0075","m0076","m0077","m0078","m0079","m0080","m0081","m0082","m0083","m0084","m0085","m0086","m0087","m0088","m0089","m0090","m0091","m0092","m0093","m0094","m0095","m0096","m0097","m0098","m0099","m0100","m0101","m0102","m0103","m0104","m0105","m0106","m0107","m0108","m0109","m0110","m0111","m0112","m0113","m0114","m0115","m0116","m0117","m0118","m0119","m0120","m0121","m0122","m0123","m0124","m0125","m0126","m0127","m0128","m0129","m0130","m0131","m0132","m0133","m0134","m0135","m0136","m0137","m0138"
1861,1861,1861.04166666667,1,1.171967,0.7831421,0.8599243,1.367828,0.5317383,NA,NA,0.8258667,0.06170654,NA,2.203552,0.9877014,2.087616,1.806,2.446838,3.024384,2.918549,2.142395,2.9505,2.785431,1.822418,0.2558594,NA,2.063751,2.623871,3.183075,3.20932,0.8728943,0.8389282,0.3651428,0.1639709,0.7241516,1.408539,2.187531,1.171967,0.7831421,0.8599243,1.367828,0.5317383,1.229614,NA,0.1976318,1.273041,NA,0.8258667,NA,NA,2.203552,0.9877014,2.087616,1.806,2.775726,3.000732,3.014343,3.036041,2.347717,2.397369,2.592346,3.11795,1.822418,NA,0.2558594,NA,NA,2.063751,NA,2.623871,3.183075,3.20932,0.8728943,1.261078,0.3651428,0.1639709,0.7241516,1.171967,0.7831421,0.5317383,NA,0.8258667,2.203552,0.9877014,2.087616,1.806,2.446838,3.024384,2.918549,2.142395,2.9505,2.785431,1.822418,0.1372681,0.321106,2.063751,2.623871,3.183075,3.20932,0.3651428,0.1639709,0.7241516,1.408539,2.187531,1.171967,0.8599243,1.367828,0.3980713,1.229614,NA,0.1976318,1.273041,NA,0.8258667,0.01708984,NA,2.203552,0.9877014,2.087616,1.806,2.446838,3.024384,2.918549,2.142395,2.9505,2.785431,1.822418,NA,0.1372681,NA,NA,2.063751,NA,2.623871,3.183075,3.20932,0.8728943,0.8389282,0.3651428,0.1639709,0.7241516
1861,1861,1861.125,2,1.535736,2.368225,1.755951,2.318604,1.487701,1.136475,1.368347,1.450806,1.010498,0.3072815,2.539307,1.798737,2.543121,2.781372,3.379761,2.666565,4.581451,3.754364,3.857941,3.477692,1.577728,1.006683,1.021515,2.464233,2.743469,3.016876,3.191162,1.879089,2.446503,1.849945,0.8896179,1.226074,1.734406,3.402618,1.535736,2.368225,1.755951,2.318604,1.487701,1.400269,1.136475,0.7086792,2.276001,1.368347,1.450806,0.9425659,0.3072815,2.539307,1.798737,2.543121,2.781372,3.727753,3.674744,3.97702,3.56485,3.381805,3.448151,3.245056,2.73056,1.577728,0.8484497,1.006683,0.2065735,1.021515,2.464233,NA,2.743469,3.016876,3.191162,1.879089,2.350616,1.849945,0.8896179,1.226074,1.535736,2.368225,1.487701,1.136475,1.450806,2.539307,1.798737,2.543121,2.781372,3.379761,2.666565,4.581451,3.754364,3.857941,3.477692,1.577728,0.8418274,1.225616,2.464233,2.743469,3.016876,3.191162,1.849945,0.8896179,1.226074,1.734406,3.402618,1.535736,1.755951,2.318604,1.403687,1.400269,1.136475,0.7086792,2.276001,0.4867554,1.450806,0.9373474,0.3072815,2.539307,1.798737,2.543121,2.781372,3.379761,2.666565,4.581451,3.754364,3.857941,3.477692,1.577728,0.8484497,0.8418274,0.2065735,1.021515,2.464233,NA,2.743469,3.016876,3.191162,1.879089,2.446503,1.849945,0.8896179,1.226074
1861,1861,1861.20833333333,3,4.012207,4.681641,3.292267,4.524414,3.95047,3.354065,2.41861,4.001495,2.766357,2.641785,5.269073,4.101166,4.634155,5.157501,6.117371,6.337891,7.057281,5.153656,6.087769,6.392151,4.018494,3.852936,3.000702,4.628418,4.616089,4.441681,4.864655,4.339661,4.425842,4.631989,3.678497,3.811768,4.552429,5.254486,4.012207,4.681641,3.292267,4.524414,3.95047,3.672333,3.354065,3.697021,5.110687,2.41861,4.001495,2.77478,2.641785,5.269073,4.101166,4.634155,5.157501,6.185211,6.345367,6.530457,6.174713,5.703156,5.987823,5.890747,5.422455,4.018494,3.608124,3.852936,1.383057,3.000702,4.628418,2.51416,4.616089,4.441681,4.864655,4.339661,4.800873,4.631989,3.678497,3.811768,4.012207,4.681641,3.95047,3.354065,4.001495,5.269073,4.101166,4.634155,5.157501,6.117371,6.337891,7.057281,5.153656,6.087769,6.392151,4.018494,3.701599,3.324524,4.628418,4.616089,4.441681,4.864655,4.631989,3.678497,3.811768,4.552429,5.254486,4.012207,3.292267,4.524414,3.981049,3.672333,3.354065,3.697021,5.110687,2.532074,4.001495,2.845154,2.641785,5.269073,4.101166,4.634155,5.157501,6.117371,6.337891,7.057281,5.153656,6.087769,6.392151,4.018494,3.608124,3.701599,1.383057,3.000702,4.628418,2.51416,4.616089,4.441681,4.864655,4.339661,4.425842,4.631989,3.678497,3.811768
1861,1861,1861.29166666667,4,7.65863,8.203369,5.703766,7.759369,6.905457,6.780548,5.086945,7.326416,5.572021,5.394104,7.785156,6.772461,6.865295,7.278992,9.101196,9.500824,9.6521,8.781769,8.815308,9.401215,7.58075,7.357056,6.027435,7.350861,7.716125,7.197845,6.94278,7.861237,7.735992,7.50705,7.020142,6.649536,7.240845,7.869812,7.65863,8.203369,5.703766,7.759369,6.905457,7.694824,6.780548,7.232941,7.996521,5.086945,7.326416,5.561157,5.394104,7.785156,6.772461,6.865295,7.278992,9.145447,9.333649,9.409668,8.817108,8.804169,8.848145,9.01358,8.768524,7.58075,7.663818,7.357056,4.947723,6.027435,7.350861,6.066101,7.716125,7.197845,6.94278,7.861237,8.007568,7.50705,7.020142,6.649536,7.65863,8.203369,6.905457,6.780548,7.326416,7.785156,6.772461,6.865295,7.278992,9.101196,9.500824,9.6521,8.781769,8.815308,9.401215,7.58075,7.349884,6.24176,7.350861,7.716125,7.197845,6.94278,7.50705,7.020142,6.649536,7.240845,7.869812,7.65863,5.703766,7.759369,7.047607,7.694824,6.780548,7.232941,7.996521,5.50769,7.326416,5.645996,5.394104,7.785156,6.772461,6.865295,7.278992,9.101196,9.500824,9.6521,8.781769,8.815308,9.401215,7.58075,7.663818,7.349884,4.947723,6.027435,7.350861,6.066101,7.716125,7.197845,6.94278,7.861237,7.735992,7.50705,7.020142,6.649536
1861,1861,1861.375,5,9.987091,11.13425,8.909393,10.87048,10.01602,9.996704,8.122406,10.70068,8.211273,8.569366,10.54791,9.556641,9.640503,10.19968,11.48315,11.95505,11.90524,11.65161,11.41913,12.08615,10.63882,10.73605,9.149048,10.71423,11.505,10.91406,10.77917,10.42349,10.07108,10.43765,9.852295,9.800232,10.55923,10.68506,9.987091,11.13425,8.909393,10.87048,10.01602,10.02194,9.996704,10.35065,11.74118,8.122406,10.70068,8.129852,8.569366,10.54791,9.556641,9.640503,10.19968,11.71442,11.7388,11.84732,11.07388,11.52704,11.44601,11.71521,11.8591,10.63882,10.81006,10.73605,8.546967,9.149048,10.71423,9.544983,11.505,10.91406,10.77917,10.42349,10.5329,10.43765,9.852295,9.800232,9.987091,11.13425,10.01602,9.996704,10.70068,10.54791,9.556641,9.640503,10.19968,11.48315,11.95505,11.90524,11.65161,11.41913,12.08615,10.63882,10.79071,9.268219,10.71423,11.505,10.91406,10.77917,10.43765,9.852295,9.800232,10.55923,10.68506,9.987091,8.909393,10.87048,10.07721,10.02194,9.996704,10.35065,11.74118,8.372284,10.70068,8.131592,8.569366,10.54791,9.556641,9.640503,10.19968,11.48315,11.95505,11.90524,11.65161,11.41913,12.08615,10.63882,10.81006,10.79071,8.546967,9.149048,10.71423,9.544983,11.505,10.91406,10.77917,10.42349,10.07108,10.43765,9.852295,9.800232
1861,1861,1861.45833333333,6,12.01791,13.73196,11.7468,13.62338,12.46741,12.24182,11.40012,13.31186,10.55539,11.5368,12.79282,11.56799,12.4321,12.76135,13.60349,13.59851,13.88965,13.64084,13.72684,14.23816,14.02301,13.71011,11.75311,13.44415,14.84103,13.37842,13.79398,12.52893,12.35455,13.22568,12.008,11.76422,13.6911,13.67267,12.01791,13.73196,11.7468,13.62338,12.46741,12.58948,12.24182,12.87286,13.5441,11.40012,13.31186,10.51196,11.5368,12.79282,11.56799,12.4321,12.76135,13.64474,13.62091,13.88129,12.92603,13.28836,13.56641,13.76498,13.51486,14.02301,13.42365,13.71011,11.27066,11.75311,13.44415,11.67429,14.84103,13.37842,13.79398,12.52893,12.56158,13.22568,12.008,11.76422,12.01791,13.73196,12.46741,12.24182,13.31186,12.79282,11.56799,12.4321,12.76135,13.60349,13.59851,13.88965,13.64084,13.72684,14.23816,14.02301,13.59164,11.7327,13.44415,14.84103,13.37842,13.79398,13.22568,12.008,11.76422,13.6911,13.67267,12.01791,11.7468,13.62338,12.48172,12.58948,12.24182,12.87286,13.5441,11.48264,13.31186,10.51736,11.5368,12.79282,11.56799,12.4321,12.76135,13.60349,13.59851,13.88965,13.64084,13.72684,14.23816,14.02301,13.42365,13.59164,11.27066,11.75311,13.44415,11.67429,14.84103,13.37842,13.79398,12.52893,12.35455,13.22568,12.008,11.76422
1861,1861,1861.54166666667,7,13.12756,14.70557,13.02301,15.39191,14.21271,13.65082,13.58359,14.3053,12.22491,12.49969,13.70795,13.19916,13.53531,13.9389,14.64697,14.62708,14.99124,14.85785,14.97418,15.08932,14.81204,14.58878,12.95016,14.33047,16.25571,14.82764,15.25964,13.52255,13.5072,14.52802,13.08279,13.34274,14.68646,14.686,13.12756,14.70557,13.02301,15.39191,14.21271,14.23013,13.65082,13.54639,14.4238,13.58359,14.3053,12.20334,12.49969,13.70795,13.19916,13.53531,13.9389,14.79852,14.75571,15.08228,14.2984,14.55984,14.78189,14.84552,14.64786,14.81204,14.18228,14.58878,12.07455,12.95016,14.33047,12.95258,16.25571,14.82764,15.25964,13.52255,13.68228,14.52802,13.08279,13.34274,13.12756,14.70557,14.21271,13.65082,14.3053,13.70795,13.19916,13.53531,13.9389,14.64697,14.62708,14.99124,14.85785,14.97418,15.08932,14.81204,14.54413,13.16895,14.33047,16.25571,14.82764,15.25964,14.52802,13.08279,13.34274,14.68646,14.686,13.12756,13.02301,15.39191,14.2074,14.23013,13.65082,13.54639,14.4238,13.25549,14.3053,12.04276,12.49969,13.70795,13.19916,13.53531,13.9389,14.64697,14.62708,14.99124,14.85785,14.97418,15.08932,14.81204,14.18228,14.54413,12.07455,12.95016,14.33047,12.95258,16.25571,14.82764,15.25964,13.52255,13.5072,14.52802,13.08279,13.34274
1861,1861,1861.625,8,12.48224,13.26767,12.57443,14.40042,13.67902,12.86951,12.77585,13.64517,11.59015,11.85098,12.73578,13.26254,12.82532,13.16922,14.3826,14.0545,14.30011,14.32712,14.478,14.55145,14.13052,13.88425,12.5246,14.06174,15.60797,14.24139,14.70914,13.06787,13.08939,13.40771,12.91968,12.85629,14.06433,13.93256,12.48224,13.26767,12.57443,14.40042,13.67902,13.54575,12.86951,13.08835,13.80014,12.77585,13.64517,11.52036,11.85098,12.73578,13.26254,12.82532,13.16922,14.18549,14.46753,14.48175,13.34827,14.11737,14.35901,14.3913,14.30786,14.13052,13.67783,13.88425,10.84805,12.5246,14.06174,12.53397,15.60797,14.24139,14.70914,13.06787,13.08121,13.40771,12.91968,12.85629,12.48224,13.26767,13.67902,12.86951,13.64517,12.73578,13.26254,12.82532,13.16922,14.3826,14.0545,14.30011,14.32712,14.478,14.55145,14.13052,13.8783,12.73633,14.06174,15.60797,14.24139,14.70914,13.40771,12.91968,12.85629,14.06433,13.93256,12.48224,12.57443,14.40042,13.71289,13.54575,12.86951,13.08835,13.80014,12.91852,13.64517,11.44257,11.85098,12.73578,13.26254,12.82532,13.16922,14.3826,14.0545,14.30011,14.32712,14.478,14.55145,14.13052,13.67783,13.8783,10.84805,12.5246,14.06174,12.53397,15.60797,14.24139,14.70914,13.06787,13.08939,13.40771,12.91968,12.85629
1861,1861,1861.70833333333,9,10.35135,10.93381,10.88611,12.02368,11.0162,10.60248,10.44974,11.39008,9.059906,9.478546,10.94479,11.07803,11.24261,10.84863,12.37033,12.45645,12.38641,12.52441,12.30365,12.35364,11.64346,11.46701,10.24915,11.86075,13.16571,12.00757,11.99155,11.39438,11.18011,10.91,10.51306,10.31845,11.36496,12.02521,10.35135,10.93381,10.88611,12.02368,11.0162,11.0932,10.60248,10.49658,11.81033,10.44974,11.39008,8.958954,9.478546,10.94479,11.07803,11.24261,10.84863,12.0831,12.28299,12.5094,11.80121,12.19662,12.58795,12.48206,12.1413,11.64346,11.28909,11.46701,8.260132,10.24915,11.86075,10.38589,13.16571,12.00757,11.99155,11.39438,11.11346,10.91,10.51306,10.31845,10.35135,10.93381,11.0162,10.60248,11.39008,10.94479,11.07803,11.24261,10.84863,12.37033,12.45645,12.38641,12.52441,12.30365,12.35364,11.64346,11.36084,10.35016,11.86075,13.16571,12.00757,11.99155,10.91,10.51306,10.31845,11.36496,12.02521,10.35135,10.88611,12.02368,11.00446,11.0932,10.60248,10.49658,11.81033,10.58234,11.39008,9.200958,9.478546,10.94479,11.07803,11.24261,10.84863,12.37033,12.45645,12.38641,12.52441,12.30365,12.35364,11.64346,11.28909,11.36084,8.260132,10.24915,11.86075,10.38589,13.16571,12.00757,11.99155,11.39438,11.18011,10.91,10.51306,10.31845
1861,1861,1861.79166666667,10,7.735107,7.883575,7.160614,8.916046,7.450684,7.118347,7.027344,8.025299,6.149475,6.292786,8.243195,8.789459,8.114105,8.230499,9.099335,9.002991,9.609344,9.409515,9.172333,9.453186,8.964111,8.252563,6.36203,8.441742,9.79895,8.944916,9.188324,8.079926,7.897186,6.953003,7.52356,6.88739,8.07251,8.974884,7.735107,7.883575,7.160614,8.916046,7.450684,7.710968,7.118347,7.085724,8.337952,7.027344,8.025299,6.068604,6.292786,8.243195,8.789459,8.114105,8.230499,9.165344,9.259521,9.54599,8.809326,9.252533,9.383636,9.499054,9.118408,8.964111,8.136475,8.252563,5.622162,6.36203,8.441742,6.643036,9.79895,8.944916,9.188324,8.079926,8.12027,6.953003,7.52356,6.88739,7.735107,7.883575,7.450684,7.118347,8.025299,8.243195,8.789459,8.114105,8.230499,9.099335,9.002991,9.609344,9.409515,9.172333,9.453186,8.964111,8.090729,6.704163,8.441742,9.79895,8.944916,9.188324,6.953003,7.52356,6.88739,8.07251,8.974884,7.735107,7.160614,8.916046,7.48645,7.710968,7.118347,7.085724,8.337952,6.977875,8.025299,6.052429,6.292786,8.243195,8.789459,8.114105,8.230499,9.099335,9.002991,9.609344,9.409515,9.172333,9.453186,8.964111,8.136475,8.090729,5.622162,6.36203,8.441742,6.643036,9.79895,8.944916,9.188324,8.079926,7.897186,6.953003,7.52356,6.88739
1861,1861,1861.875,11,4.479401,5.100281,4.450562,5.300415,3.511414,3.628571,3.178406,4.320374,2.702911,2.388855,4.970001,5.706055,5.035034,5.36499,6.454102,6.10379,6.304657,5.868378,5.750854,6.39502,5.549835,4.76001,3.067413,4.326447,6.345032,6.238098,6.351532,4.497498,4.213867,4.052887,3.848663,3.384064,4.190704,5.835052,4.479401,5.100281,4.450562,5.300415,3.511414,4.380066,3.628571,3.243469,4.142975,3.178406,4.320374,2.72049,2.388855,4.970001,5.706055,5.035034,5.36499,5.731873,6.062592,6.096039,5.442688,5.805145,5.855225,5.889954,5.615723,5.549835,4.078979,4.76001,3.022766,3.067413,4.326447,2.346771,6.345032,6.238098,6.351532,4.497498,4.59729,4.052887,3.848663,3.384064,4.479401,5.100281,3.511414,3.628571,4.320374,4.970001,5.706055,5.035034,5.36499,6.454102,6.10379,6.304657,5.868378,5.750854,6.39502,5.549835,4.694122,3.48996,4.326447,6.345032,6.238098,6.351532,4.052887,3.848663,3.384064,4.190704,5.835052,4.479401,4.450562,5.300415,3.545929,4.380066,3.628571,3.243469,4.142975,3.233429,4.320374,2.795227,2.388855,4.970001,5.706055,5.035034,5.36499,6.454102,6.10379,6.304657,5.868378,5.750854,6.39502,5.549835,4.078979,4.694122,3.022766,3.067413,4.326447,2.346771,6.345032,6.238098,6.351532,4.497498,4.213867,4.052887,3.848663,3.384064
1861,1862,1861.95833333333,12,2.665009,3.147156,1.734558,2.554565,1.162842,0.3574829,0.7832947,1.541718,0.6756592,0.4060974,2.481293,2.655945,1.999542,3.334869,4.04718,3.850189,3.662689,3.66745,3.694641,3.243805,1.847534,1.935333,0.3461609,2.184235,3.95874,4.24588,3.784424,1.545258,1.201935,1.41864,1.61377,1.310944,1.858704,2.528503,2.665009,3.147156,1.734558,2.554565,1.162842,1.792847,0.3574829,1.065643,1.597809,0.7832947,1.541718,0.4250488,0.4060974,2.481293,2.655945,1.999542,3.334869,3.392365,3.635803,3.726349,2.917969,3.313385,3.395355,3.299377,2.918579,1.847534,1.590973,1.935333,0.915863,0.3461609,2.184235,NA,3.95874,4.24588,3.784424,1.545258,1.997101,1.41864,1.61377,1.310944,2.665009,3.147156,1.162842,0.3574829,1.541718,2.481293,2.655945,1.999542,3.334869,4.04718,3.850189,3.662689,3.66745,3.694641,3.243805,1.847534,1.842865,1.121277,2.184235,3.95874,4.24588,3.784424,1.41864,1.61377,1.310944,1.858704,2.528503,2.665009,1.734558,2.554565,1.124603,1.792847,0.3574829,1.065643,1.597809,0.8363953,1.541718,0.5003357,0.4060974,2.481293,2.655945,1.999542,3.334869,4.04718,3.850189,3.662689,3.66745,3.694641,3.243805,1.847534,1.590973,1.842865,0.915863,0.3461609,2.184235,NA,3.95874,4.24588,3.784424,1.545258,1.201935,1.41864,1.61377,1.310944
1862,1862,1862.04166666667,1,1.424377,1.807617,0.6206055,1.63681,0.2676086,NA,NA,0.6789551,NA,NA,1.915955,1.700317,1.004486,2.603241,2.746857,2.809387,3.331024,2.418671,1.95047,2.876862,1.049591,0.5460815,NA,2.64798,2.598145,3.45816,3.145813,0.2909241,0.8734436,1.162048,0.8042603,0.6436462,1.289581,1.709595,1.424377,1.807617,0.6206055,1.63681,0.2676086,0.3900757,NA,NA,0.287262,NA,0.6789551,NA,NA,1.915955,1.700317,1.004486,2.603241,2.866669,2.752716,3.156891,2.369751,2.200867,2.531281,2.556427,2.296967,1.049591,0.3304138,0.5460815,0.02996826,NA,2.64798,NA,2.598145,3.45816,3.145813,0.2909241,1.217682,1.162048,0.8042603,0.6436462,1.424377,1.807617,0.2676086,NA,0.6789551,1.915955,1.700317,1.004486,2.603241,2.746857,2.809387,3.331024,2.418671,1.95047,2.876862,1.049591,0.55896,NA,2.64798,2.598145,3.45816,3.145813,1.162048,0.8042603,0.6436462,1.289581,1.709595,1.424377,0.6206055,1.63681,0.1476135,0.3900757,NA,NA,0.287262,NA,0.6789551,NA,NA,1.915955,1.700317,1.004486,2.603241,2.746857,2.809387,3.331024,2.418671,1.95047,2.876862,1.049591,0.3304138,0.55896,0.02996826,NA,2.64798,NA,2.598145,3.45816,3.145813,0.2909241,0.8734436,1.162048,0.8042603,0.6436462
