"year","met_year","yr_part","month","m0001","m0002","m0003","m0004","m0005","m0006","m0007","m0008","m0009","m0010","m0011","m0012","m0013","m0014","m0015","m0016","m0017","m0018","m0019","m0020","m0021","m0022","m0023","m0024","m0025","m0026","m0027","m0028","m0029","m0030","m0031","m0032","m0033","m0034","m0035","m0036","m0037","m0038","m0039","m0040","m0041","m0042","m0043","m0044","m0045","m0046","m0047","m0048","m0049","m0050","m0051","m0052","m0053","m0054","m0055","m0056","m0057","m0058","m0059","m0060","m0061","m0062","m0063","m0064","m0065","m0066","m0067","m0068","m0069","m0070","m0071","m0072","m0073","m0074","m0075","m0076","m0077","m0078","m0079","m0080","m0081","m0082","m0083","m0084","m0085","m0086","m0087","m0088","m0089","m0090","m0091","m0092","m0093","m0094","m0095","m0096","m0097","m0098","m0099","m0100","m0101","m0102","m0103","m0104","m0105","m0106","m0107","m0108","m0109","m0110","m0111","m0112","m0113","m0114","m0115","m0116","m0117","m0118","m0119","m0120","m0121","m0122"
1861,1861,1861.04166666667,1,17.7868,18.05099,17.65765,17.96152,17.95633,18.14923,16.92157,17.741,17.97937,18.11487,18.08231,18.4722,19.18109,19.2995,19.52097,18.6041,18.92447,18.83493,18.35538,18.17072,16.65198,17.37482,18.04486,17.68936,17.90839,18.45993,17.69833,17.45068,18.24124,18.2547,17.7868,18.05099,17.73132,18.20291,18.42905,17.95633,17.80283,18.37836,18.14923,16.92157,17.68924,17.97937,18.31879,18.08231,18.4722,19.27457,19.40842,19.3876,18.86691,18.62714,18.76471,18.74008,18.65134,18.35538,18.25204,18.17072,18.54117,16.65198,17.37482,18.24365,18.04486,17.68936,17.95441,18.45993,17.69833,17.45068,18.05099,18.20291,17.95633,16.92157,17.97937,18.11487,18.08231,18.4722,19.18109,19.2995,19.52097,18.6041,18.92447,18.83493,18.35538,18.18622,16.7821,18.04486,18.45993,17.69833,17.45068,18.24124,18.2547,17.7868,17.73132,18.20291,18.42905,17.95633,17.80283,18.37836,18.15015,16.92157,17.66052,17.97937,18.11487,18.08231,18.4722,19.18109,19.2995,19.52097,18.6041,18.92447,18.83493,18.35538,18.25204,18.18622,18.54117,16.65198,17.37482,18.24365,18.04486,17.68936,17.90839,18.45993,17.69833,17.45068
1861,1861,1861.125,2,17.98434,18.26526,17.81622,18.08136,18.1712,18.33545,17.16376,17.98166,18.10452,18.31436,18.3063,18.75488,19.44949,19.54617,19.76361,18.85886,19.18985,19.125,18.56519,18.38028,16.90628,17.62711,18.23053,17.8765,18.05865,18.70987,17.85764,17.60339,18.4682,18.41943,17.98434,18.26526,17.90836,18.35449,18.56821,18.1712,17.97864,18.57184,18.33545,17.16376,17.94647,18.10452,18.51523,18.3063,18.75488,19.52557,19.66473,19.62378,19.12842,18.89923,19.02426,19.01947,18.89322,18.56519,18.47955,18.38028,18.63376,16.90628,17.62711,18.5159,18.23053,17.8765,18.09998,18.70987,17.85764,17.60339,18.26526,18.35449,18.1712,17.16376,18.10452,18.31436,18.3063,18.75488,19.44949,19.54617,19.76361,18.85886,19.18985,19.125,18.56519,18.39151,17.02921,18.23053,18.70987,17.85764,17.60339,18.4682,18.41943,17.98434,17.90836,18.35449,18.56821,18.1712,17.97864,18.57184,18.36661,17.16376,17.92438,18.10452,18.31436,18.3063,18.75488,19.44949,19.54617,19.76361,18.85886,19.18985,19.125,18.56519,18.47955,18.39151,18.63376,16.90628,17.62711,18.5159,18.23053,17.8765,18.05865,18.70987,17.85764,17.60339
1861,1861,1861.20833333333,3,17.95801,18.2077,17.81003,18.10538,18.16663,18.26575,17.20764,17.99844,18.09814,18.22656,18.28641,18.66147,19.37778,19.45193,19.66083,18.8717,19.17081,19.08759,18.48865,18.31213,16.89618,17.65314,18.2894,17.87424,18.08417,18.59299,17.91089,17.65054,18.40378,18.41055,17.95801,18.2077,17.90085,18.37097,18.57053,18.16663,18.01425,18.54245,18.26575,17.20764,17.95422,18.09814,18.38965,18.28641,18.66147,19.44409,19.58109,19.54544,19.052,18.892,18.9924,18.99124,18.87827,18.48865,18.37061,18.31213,18.67313,16.89618,17.65314,18.46576,18.2894,17.87424,18.10175,18.59299,17.91089,17.65054,18.2077,18.37097,18.16663,17.20764,18.09814,18.22656,18.28641,18.66147,19.37778,19.45193,19.66083,18.8717,19.17081,19.08759,18.48865,18.31702,17.02518,18.2894,18.59299,17.91089,17.65054,18.40378,18.41055,17.95801,17.90085,18.37097,18.57053,18.16663,18.01425,18.54245,18.2558,17.20764,17.92581,18.09814,18.22656,18.28641,18.66147,19.37778,19.45193,19.66083,18.8717,19.17081,19.08759,18.48865,18.37061,18.31702,18.67313,16.89618,17.65314,18.46576,18.2894,17.87424,18.08417,18.59299,17.91089,17.65054
1861,1861,1861.29166666667,4,17.76398,18.01709,17.69241,18.03369,18.05246,18.06155,17.07031,17.75958,17.9906,18.02869,18.02979,18.33057,19.05145,19.13791,19.30121,18.63467,18.86215,18.80255,18.25238,18.06647,16.70013,17.45483,18.22195,17.69931,17.89005,18.27469,17.84546,17.5679,18.20636,18.24719,17.76398,18.01709,17.76123,18.25046,18.41791,18.05246,17.87888,18.38138,18.06155,17.07031,17.72705,17.9906,18.15445,18.02979,18.33057,19.1163,19.24435,19.21457,18.73166,18.64117,18.73438,18.73325,18.63681,18.25238,18.08105,18.06647,18.64081,16.70013,17.45483,18.18582,18.22195,17.69931,17.9288,18.27469,17.84546,17.5679,18.01709,18.25046,18.05246,17.07031,17.9906,18.02869,18.02979,18.33057,19.05145,19.13791,19.30121,18.63467,18.86215,18.80255,18.25238,18.06625,16.7937,18.22195,18.27469,17.84546,17.5679,18.20636,18.24719,17.76398,17.76123,18.25046,18.41791,18.05246,17.87888,18.38138,18.02097,17.07031,17.70209,17.9906,18.02869,18.02979,18.33057,19.05145,19.13791,19.30121,18.63467,18.86215,18.80255,18.25238,18.08105,18.06625,18.64081,16.70013,17.45483,18.18582,18.22195,17.69931,17.89005,18.27469,17.84546,17.5679
1861,1861,1861.375,5,17.52063,17.84695,17.54242,17.96951,17.8945,17.77383,16.85306,17.42908,17.86697,17.81161,17.72879,17.98618,18.71481,18.84067,18.95486,18.37827,18.50681,18.47083,18.01117,17.87308,16.435,17.17105,18.03833,17.45535,17.65002,17.98279,17.73306,17.46295,18.0094,18.06781,17.52063,17.84695,17.57047,18.11124,18.30518,17.8945,17.70267,18.14883,17.77383,16.85306,17.41556,17.86697,17.9136,17.72879,17.98618,18.78171,18.91522,18.8833,18.42273,18.38052,18.46136,18.45178,18.35648,18.01117,17.86572,17.87308,18.55249,16.435,17.17105,17.88943,18.03833,17.45535,17.69864,17.98279,17.73306,17.46295,17.84695,18.11124,17.8945,16.85306,17.86697,17.81161,17.72879,17.98618,18.71481,18.84067,18.95486,18.37827,18.50681,18.47083,18.01117,17.87137,16.52951,18.03833,17.98279,17.73306,17.46295,18.0094,18.06781,17.52063,17.57047,18.11124,18.30518,17.8945,17.70267,18.14883,17.75836,16.85306,17.39627,17.86697,17.81161,17.72879,17.98618,18.71481,18.84067,18.95486,18.37827,18.50681,18.47083,18.01117,17.86572,17.87137,18.55249,16.435,17.17105,17.88943,18.03833,17.45535,17.65002,17.98279,17.73306,17.46295
1861,1861,1861.45833333333,6,17.41504,17.67453,17.51468,17.92136,17.77426,17.6474,16.66461,17.21252,17.7796,17.74402,17.57422,17.80344,18.54242,18.6553,18.76639,18.26859,18.35428,18.33066,17.9147,17.82666,16.3418,17.1189,17.85715,17.26178,17.44882,17.86087,17.66837,17.37418,17.92584,18.01547,17.41504,17.67453,17.49335,17.9848,18.14801,17.77426,17.54648,17.95871,17.6474,16.66461,17.21475,17.7796,17.83783,17.57422,17.80344,18.60223,18.73206,18.70926,18.24103,18.25134,18.32849,18.29718,18.22934,17.9147,17.80682,17.82666,18.43173,16.3418,17.1189,17.78766,17.85715,17.26178,17.51273,17.86087,17.66837,17.37418,17.67453,17.9848,17.77426,16.66461,17.7796,17.74402,17.57422,17.80344,18.54242,18.6553,18.76639,18.26859,18.35428,18.33066,17.9147,17.82919,16.40948,17.85715,17.86087,17.66837,17.37418,17.92584,18.01547,17.41504,17.49335,17.9848,18.14801,17.77426,17.54648,17.95871,17.67664,16.66461,17.20438,17.7796,17.74402,17.57422,17.80344,18.54242,18.6553,18.76639,18.26859,18.35428,18.33066,17.9147,17.80682,17.82919,18.43173,16.3418,17.1189,17.78766,17.85715,17.26178,17.44882,17.86087,17.66837,17.37418
1861,1861,1861.54166666667,7,17.46359,17.60611,17.61102,17.88788,17.7247,17.77496,16.55167,17.20358,17.72083,17.83643,17.59509,17.78589,18.54602,18.62839,18.7301,18.34683,18.34131,18.37784,17.95441,17.87265,16.45615,17.21957,17.79034,17.19095,17.41522,17.9642,17.60962,17.29474,17.91425,18.10437,17.46359,17.60611,17.54532,17.87927,18.03122,17.7247,17.49393,17.89737,17.77496,16.55167,17.20294,17.72083,17.91144,17.59509,17.78589,18.58844,18.69241,18.6991,18.19632,18.30298,18.37131,18.35257,18.27463,17.95441,17.85464,17.87265,18.39923,16.45615,17.21957,17.96231,17.79034,17.19095,17.47015,17.9642,17.60962,17.29474,17.60611,17.87927,17.7247,16.55167,17.72083,17.83643,17.59509,17.78589,18.54602,18.62839,18.7301,18.34683,18.34131,18.37784,17.95441,17.86276,16.49115,17.79034,17.9642,17.60962,17.29474,17.91425,18.10437,17.46359,17.54532,17.87927,18.03122,17.7247,17.49393,17.89737,17.78821,16.55167,17.1907,17.72083,17.83643,17.59509,17.78589,18.54602,18.62839,18.7301,18.34683,18.34131,18.37784,17.95441,17.85464,17.86276,18.39923,16.45615,17.21957,17.96231,17.79034,17.19095,17.41522,17.9642,17.60962,17.29474
1861,1861,1861.625,8,17.4245,17.59912,17.70752,17.89182,17.70932,17.85229,16.54178,17.20135,17.71417,17.85745,17.60275,17.82639,18.59738,18.68063,18.76843,18.40671,18.40802,18.452,17.95743,17.91418,16.58447,17.33414,17.81039,17.173,17.38336,18.01602,17.64355,17.32565,17.93463,18.17383,17.4245,17.59912,17.61789,17.84592,17.96088,17.70932,17.50745,17.90616,17.85229,16.54178,17.21619,17.71417,17.95386,17.60275,17.82639,18.63651,18.72433,18.76144,18.2196,18.39127,18.47586,18.45563,18.33984,17.95743,17.87787,17.91418,18.37653,16.58447,17.33414,18.06613,17.81039,17.173,17.47107,18.01602,17.64355,17.32565,17.59912,17.84592,17.70932,16.54178,17.71417,17.85745,17.60275,17.82639,18.59738,18.68063,18.76843,18.40671,18.40802,18.452,17.95743,17.91409,16.60974,17.81039,18.01602,17.64355,17.32565,17.93463,18.17383,17.4245,17.61789,17.84592,17.96088,17.70932,17.50745,17.90616,17.86969,16.54178,17.20206,17.71417,17.85745,17.60275,17.82639,18.59738,18.68063,18.76843,18.40671,18.40802,18.452,17.95743,17.87787,17.91409,18.37653,16.58447,17.33414,18.06613,17.81039,17.173,17.38336,18.01602,17.64355,17.32565
1861,1861,1861.70833333333,9,17.34845,17.53308,17.54028,17.84897,17.63196,17.6738,16.48245,17.14758,17.66263,17.71176,17.3699,17.67215,18.5802,18.65683,18.71487,18.34561,18.36948,18.41602,17.91037,17.8476,16.48944,17.17874,17.80627,17.13217,17.35437,17.92053,17.65494,17.33914,17.85965,18.08521,17.34845,17.53308,17.46985,17.81866,17.9375,17.63196,17.45236,17.83975,17.6738,16.48245,17.15393,17.66263,17.82559,17.3699,17.67215,18.59933,18.68661,18.7283,18.1734,18.33295,18.42221,18.40366,18.30334,17.91037,17.7908,17.8476,18.3765,16.48944,17.17874,17.92767,17.80627,17.13217,17.41809,17.92053,17.65494,17.33914,17.53308,17.81866,17.63196,16.48245,17.66263,17.71176,17.3699,17.67215,18.5802,18.65683,18.71487,18.34561,18.36948,18.41602,17.91037,17.86353,16.52496,17.80627,17.92053,17.65494,17.33914,17.85965,18.08521,17.34845,17.46985,17.81866,17.9375,17.63196,17.45236,17.83975,17.71118,16.48245,17.1409,17.66263,17.71176,17.3699,17.67215,18.5802,18.65683,18.71487,18.34561,18.36948,18.41602,17.91037,17.7908,17.86353,18.3765,16.48944,17.17874,17.92767,17.80627,17.13217,17.35437,17.92053,17.65494,17.33914
1861,1861,1861.79166666667,10,17.24985,17.4606,17.3371,17.7579,17.55139,17.47131,16.41779,17.06006,17.61285,17.5509,17.17758,17.49548,18.47171,18.55859,18.5773,18.17532,18.21622,18.21622,17.70364,17.67123,16.22986,16.90878,17.74069,17.09296,17.25748,17.75992,17.59988,17.27783,17.72849,17.96481,17.24985,17.4606,17.3067,17.77722,17.89963,17.55139,17.38834,17.79111,17.47131,16.41779,17.0683,17.61285,17.63879,17.17758,17.49548,18.48737,18.58441,18.60541,18.02237,18.14771,18.25204,18.22113,18.11914,17.70364,17.66403,17.67123,18.33353,16.22986,16.90878,17.73062,17.74069,17.09296,17.31293,17.75992,17.59988,17.27783,17.4606,17.77722,17.55139,16.41779,17.61285,17.5509,17.17758,17.49548,18.47171,18.55859,18.5773,18.17532,18.21622,18.21622,17.70364,17.70026,16.25845,17.74069,17.75992,17.59988,17.27783,17.72849,17.96481,17.24985,17.3067,17.77722,17.89963,17.55139,17.38834,17.79111,17.50696,16.41779,17.0582,17.61285,17.5509,17.17758,17.49548,18.47171,18.55859,18.5773,18.17532,18.21622,18.21622,17.70364,17.66403,17.70026,18.33353,16.22986,16.90878,17.73062,17.74069,17.09296,17.25748,17.75992,17.59988,17.27783
