Temperature Anomaly from control     
Year
Temperature anomaly (C)
year Scenario_A Scenario_B Scenario_C	
1958   -.035	  -.018	     -.018	
1959   -.004	  -.065	     -.065	
1960   -.015	   .061	      .061	
1961    .000	   .035	      .035	
1962   -.002	   .029	      .029	
1963   -.109	  -.067	     -.067	
1964   -.161	  -.161	     -.161	
1965   -.102	  -.165	     -.165	
1966   -.047	  -.132	     -.132	
1967   -.029	  -.082	     -.082	
1968    .000	  -.071	     -.071	
1969   -.074	  -.106	     -.106	
1970    .020	   .055	      .055	
1971    .048	  -.047	     -.047	
1972    .135	   .082	      .082	
1973    .176	   .203	      .203	
1974    .200	   .129	      .129	
1975    .064	   .094	      .094	
1976    .218	   .109	      .109	
1977    .133	   .116	      .116	
1978    .200	   .059	      .059	
1979    .253	   .121	      .121	
1980    .324	   .147	     .064	
1981    .376	   .115	     .147	
1982    .300	   .109	     .109	
1983    .094	  -.055	    -.149	
1984    .067	   .082	     .053	
1985    .212	   .200	     .057	
1986    .276	   .271	     .140	
1987    .412	   .292	     .131	
1988    .447	   .365	     .247	
1989    .429	   .400	     .324	
1990    .508	   .435	     .318	
1991    .506	   .406	     .355	
1992    .518	   .459	     .355	
1993    .647	   .447	     .341	
1994    .688	   .406	     .471	
1995    .705	   .412	     .327	
1996    .859	   .276	     .218	
1997    .865	   .317	     .385	
1998    .918	   .404	     .400	
1999    .906	   .536	     .447	
2000    .812	   .565	     .541	
2001    .859	   .647	     .506	
2002    .953	   .612	     .566	
2003    .906	   .685	     .539	
2004    .965	   .734	     .496	
2005   1.034	   .694	     .648	
2006   1.021	   .835	     .692	
2007    .941	   .818	     .656	
2008    .965	   .841	     .656	
2009   1.129	   .873	     .646	
2010   1.121	  1.035	     .632	
2011   1.127	   .971	     .588	
2012   1.176	  1.065	     .604	
2013   1.224	  1.049	     .535	
2014   1.318	  1.071	     .680	
2015   1.262	  1.000	     .647	
2016   1.391	   .947	     .453	
2017   1.359	  1.059	     .526	
2018   1.306	  1.133	     .573	
2019   1.565	  1.104      .606     
