             GLOBAL Land-Ocean Temperature Index in .01 C      base period: 1951-1980
     
              sources: GHCN 1701-01/2001 + ocean temperatures 1950-01/2001(Reynolds)
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1950 DJF = Dec 1949 - Feb 1950 ;  ***** = missing
     
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1950  -.29  -.27  -.05  -.18  -.15  -.09  -.07  -.26  -.08  -.13    -.31  -.12    -.17  -.17  -.23  -.12  -.14  -.17
1951  -.26  -.37  -.14  -.02   .03  -.02  -.02   .12   .03   .11    -.01   .15    -.03  -.06  -.25  -.04   .03   .04
1952    .1   .13   -.1   .01  -.06  -.02   .09   .13    .1  -.02    -.12   .02     .02   .03   .13  -.05   .07  -.01
1953   .12    .2   .15    .2   .09   .06   .05   .11   .07   .06      .0   .13      .1   .09   .11   .15   .08   .04
1954  -.22  -.03  -.05  -.12  -.16  -.16  -.19  -.17  -.16   .01     .15  -.12     -.1  -.08  -.04  -.11  -.17    .0
1955   .18   -.1  -.26  -.13  -.15   -.1  -.04   .05  -.08   .03    -.22  -.31    -.09  -.08  -.01  -.18  -.03  -.09
1956  -.14  -.22  -.19   -.2  -.19  -.05  -.06  -.23  -.09  -.16    -.12  -.07    -.14  -.16  -.22  -.19  -.11  -.13
1957  -.09   .03   .03   .12   .11   .12    .0   .14   .13   .01      .1   .17     .07   .05  -.04   .09   .09   .08
1958   .39   .21   .12   .06   .02  -.16   .04  -.06  -.07   .09     .08   .03     .06   .07   .26   .07  -.06   .03
1959   .11   .09   .21    .1   .06   .05  -.01  -.03  -.13  -.06     -.1   .05     .03   .03   .08   .12    .0   -.1
1960  -.01   .15  -.33  -.16  -.13  -.08  -.06   .05   .04   .05    -.12   .16    -.04  -.05   .06   -.2  -.03  -.01
1961   .07   .23    .1    .1   .25   .15   .02   .09   .11   .12      .1  -.11      .1   .13   .16   .15   .09   .11
1962   .11   .22   .15   .15  -.05   .14   .03   .03   .18   .12     .17   .06     .11   .09   .08   .08   .06   .16
1963   .05   .26  -.16   -.1  -.03   .12   .21   .29   .27    .1     .15   .09     .11    .1   .13   -.1   .21   .18
1964  -.06  -.12  -.27  -.36  -.33  -.07  -.03  -.25  -.39  -.24    -.18  -.29    -.22  -.18  -.03  -.32  -.12  -.27
1965  -.08  -.17  -.11  -.22  -.05  -.08  -.19  -.07  -.15  -.06    -.08  -.06    -.11  -.13  -.18  -.13  -.11   -.1
1966  -.18  -.02   .12  -.09  -.09  -.03   .12  -.05   .01  -.17      .0  -.06    -.04  -.04  -.08  -.02   .01  -.05
1967  -.07  -.23   .09  -.02   .12  -.08   .09   .03   .02    .1    -.02    .0      .0    .0  -.12   .07   .01   .03
1968  -.22  -.13   .23  -.01  -.07   .01  -.09  -.03  -.15   .09    -.06  -.17    -.05  -.04  -.12   .05  -.04  -.04
1969  -.12  -.16  -.07   .15   .09   .06  -.11  -.05   .06   .08     .13   .28     .03  -.01  -.15   .06  -.03   .09
1970   .12    .2   .09   .05  -.05   .01   .01  -.15   .12   .02     .03  -.13     .03   .06    .2   .03  -.05   .06
1971   .03  -.16  -.19  -.04  -.04  -.17  -.06   .05    .0  -.02    -.05  -.09    -.06  -.06  -.09  -.09  -.06  -.02
1972  -.25  -.19    .0   .02  -.04   .07   .03   .22   .06   .03    -.01   .19     .01  -.01  -.18  -.01   .11   .03
1973   .25   .25   .21   .23   .18    .1   .07   .01   .05    .1     .01  -.09     .11   .14   .23    .2   .06   .05
1974  -.14  -.26  -.04  -.15  -.04  -.02    .0    .1  -.11  -.06    -.09  -.08    -.07  -.07  -.16  -.08   .03  -.09
1975   .06    .0   .13  -.04   .18  -.03  -.07  -.28  -.12  -.11    -.17  -.24    -.06  -.05  -.01   .09  -.13  -.14
1976  -.11   -.1  -.29  -.18   -.3  -.19   -.2  -.23  -.14  -.32    -.15  -.08    -.19   -.2  -.15  -.26  -.21   -.2
1977   .04   .09   .13   .17   .34   .25   .18    .2  -.09  -.08     .13  -.01     .11   .11   .02   .21   .21  -.01
1978   .03   .12   .13   .13    .1  -.04   .06  -.22   .09  -.01     .08   .04     .04   .04   .05   .12  -.06   .05
1979   .07  -.18   .13   .12  -.07   .06  -.05   .06   .19   .14     .17   .38     .09   .06  -.02   .06   .03   .17
1980   .21   .27    .2   .24   .27    .1   .17   .11   .16   .05     .21   .14     .18    .2   .29   .24   .13   .14
1981   .48    .4   .47   .26   .16   .28    .4    .4   .14   .07     .17   .36      .3   .28   .34    .3   .36   .13
1982   .07   .12  -.11   .08   .26    .1   .13  -.06   .02   .04     .08   .39     .09   .09   .18   .08   .06   .05
1983   .45   .35   .33   .28   .34   .23   .14   .38   .39    .1     .29   .14     .28   .31    .4   .31   .25   .26
1984   .25   .11   .26   .03   .37  -.05   .19   .18   .25   .08     .02  -.07     .14   .15   .17   .22   .11   .11
1985   .18  -.13   .15   .12   .09   .21   .03   .21   .15    .1     .03    .1      .1   .09  -.01   .12   .15   .09
1986   .24   .43   .32   .22   .13   .07   .07   .15   .06   .11     .06   .11     .16   .16   .26   .22    .1   .08
1987   .31    .4   .16   .24   .22   .33   .38   .15   .31   .27     .26   .45     .29   .26   .27   .21   .29   .28
1988   .52   .35   .49   .35   .43   .43   .29   .24   .33   .27      .0    .2     .33   .35   .44   .42   .32    .2
1989   .08   .28   .29   .16   .09   .12   .37   .38   .41    .3     .12   .34     .25   .23   .19   .18   .29   .28
1990   .34   .36   .69   .51   .38   .35   .54   .33    .2   .44     .45   .39     .41   .41   .35   .53    .4   .36
1991   .39   .45   .34   .49   .31   .52   .59   .44   .37   .22     .22   .22     .38   .39   .41   .38   .52   .27
1992   .38   .38   .37   .14   .17   .19  -.01   .02  -.12  -.08    -.06   .15     .13   .13   .32   .23   .07  -.09
1993   .27   .28   .31   .17   .16   .02   .07   .05  -.01   .13     .03   .09     .13   .14   .23   .21   .05   .05
1994   .27  -.02   .21   .24   .15   .32   .21    .1   .34   .35     .34   .28     .23   .22   .11    .2   .21   .35
1995   .43   .68   .42   .42   .15   .32   .57   .34   .28   .45     .38   .28     .39   .39   .46   .33   .41   .37
1996    .3   .43   .34    .2   .25   .19   .43   .41   .27   .21     .35   .33     .31   .31   .34   .26   .34   .28
1997   .32   .37   .51   .35   .32   .56   .29   .36   .35   .45     .52   .54     .41   .39   .34   .39    .4   .44
1998   .54   .76   .55   .63   .64   .65    .7   .64   .42   .41     .49   .59     .59   .58   .62   .61   .67   .44
1999   .46   .66   .27   .36   .24   .36   .26   .32   .28   .36     .32   .39     .36   .37   .57   .29   .31   .32
2000    .2   .54   .44   .56   .34   .42   .39   .37   .43   .17     .28   .23     .36   .38   .37   .45   .39   .29
2001   .46     *     *     *     *     *     *     *     *     *       *     *       *     *     *     *     *     *
