             GLOBAL Land-Ocean Temperature Index in .01 C      base period: 1951-1980
     
                  sources: GHCN 1701-10/2002 + SST:   1880-11/1981 HadISST1
                                                   12/1982-10/2002 Reynolds v2
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1950 DJF = Dec 1949 - Feb 1950 ;  ***** = missing
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1880   -.2  -.16  -.21  -.24  -.27  -.37  -.22  -.18   -.2  -.23    -.27  -.19    -.23  -.27  -.35  -.24  -.26  -.23
1881  -.26   -.2   .02  -.04  -.03  -.27   -.1  -.13  -.28  -.27    -.31  -.21    -.17  -.17  -.22  -.02  -.17  -.29
1882  -.02   .07  -.05  -.25  -.21  -.27  -.26  -.17  -.24  -.33    -.24  -.41     -.2  -.18  -.05  -.17  -.24  -.27
1883  -.39  -.34  -.18  -.16  -.22  -.09  -.12  -.17  -.27  -.27    -.26  -.16    -.22  -.24  -.38  -.19  -.13  -.26
1884  -.15  -.12  -.27  -.35  -.26  -.32  -.25  -.22  -.28  -.27     -.3  -.25    -.25  -.25  -.15  -.29  -.26  -.28
1885  -.52  -.29  -.15   -.3   -.3  -.34  -.25  -.24  -.21   -.2    -.19  -.06    -.26  -.27  -.36  -.25  -.28   -.2
1886  -.31  -.35  -.28  -.11  -.11  -.25  -.05  -.16  -.17  -.29    -.23  -.21    -.21   -.2  -.24  -.17  -.15  -.23
1887  -.52  -.46  -.31  -.35  -.22  -.22  -.08  -.25  -.24  -.36    -.31  -.29     -.3  -.29   -.4  -.29  -.18   -.3
1888  -.35  -.41  -.38  -.27  -.19   -.2  -.21  -.24  -.16  -.08    -.01  -.14    -.22  -.23  -.35  -.28  -.21  -.08
1889  -.09   .08  -.01  -.03  -.05  -.08  -.17   -.2   -.2  -.26     -.3  -.23    -.13  -.12  -.05  -.03  -.15  -.26
1890  -.36  -.36  -.26  -.29  -.39  -.34   -.3  -.33  -.36  -.24    -.46  -.33    -.33  -.33  -.31  -.31  -.32  -.35
1891  -.41  -.45  -.17  -.27  -.16   -.2  -.24   -.2  -.15   -.2    -.33  -.08    -.24  -.26   -.4   -.2  -.21  -.23
1892  -.31  -.06  -.32  -.39  -.26  -.19  -.32  -.27   -.2  -.31    -.39  -.46    -.29  -.26  -.15  -.32  -.26   -.3
1893  -.81   -.5  -.13  -.29  -.34  -.23  -.13  -.23  -.22  -.15    -.19  -.27    -.29  -.31  -.59  -.25   -.2  -.19
1894  -.42  -.24  -.18  -.35   -.3  -.38  -.21  -.24  -.34  -.25    -.32  -.26    -.29  -.29  -.31  -.28  -.28   -.3
1895  -.52  -.52  -.26  -.25  -.26  -.21  -.21  -.18   -.1  -.12    -.07  -.15    -.24  -.25  -.43  -.26   -.2   -.1
1896  -.13  -.09  -.22   -.3  -.09   -.1  -.11  -.13  -.12  -.02    -.14  -.07    -.13  -.13  -.12   -.2  -.11  -.09
1897   -.2  -.07  -.13  -.03    .0  -.13  -.03  -.06  -.12  -.13    -.16  -.14     -.1  -.09  -.11  -.05  -.07  -.14
1898    .1  -.14  -.45  -.25  -.29  -.19  -.19  -.15  -.19  -.27    -.31  -.17    -.21   -.2  -.06  -.33  -.17  -.26
1899  -.16  -.31  -.22  -.17  -.15  -.19  -.13  -.07   -.1  -.01     .17  -.25    -.13  -.13  -.21  -.18  -.13   .02
1900  -.26    .0  -.03  -.09  -.03  -.05  -.11  -.09  -.04   .01    -.12  -.03    -.07  -.09  -.17  -.05  -.08  -.05
1901  -.14  -.03   .02  -.02  -.08  -.12  -.18  -.17  -.23  -.22    -.19  -.27    -.13  -.12  -.07  -.03  -.16  -.21
1902  -.06   .02  -.13  -.27  -.26  -.25  -.21  -.27  -.25  -.25    -.32  -.37    -.22  -.21   -.1  -.22  -.24  -.27
1903  -.14   .09  -.15  -.32  -.29  -.37   -.3  -.39  -.41  -.38     -.3  -.41    -.28  -.28  -.14  -.25  -.35  -.36
