        GLOBAL Land-Ocean Temperature Index in 0.01 degrees Celsius   base period: 1951-1980
     
                  sources: GHCN-v3 1880-12/2012 + SST: 1880-11/1981 HadISST1
                                                    12/1981-12/2012 Reynolds v2
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1950 DJF = Dec 1949 - Feb 1950 ;  ***** = missing
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1880  -.46   -.3  -.28  -.39  -.34  -.41  -.27  -.17  -.33  -.27    -.24  -.28    -.31     *     *  -.34  -.28  -.28
1881  -.24  -.28  -.04  -.09  -.09  -.34  -.17  -.13  -.28  -.31     -.4  -.32    -.22  -.22  -.27  -.07  -.21  -.33
1882  -.14  -.04  -.12  -.32  -.28  -.36   -.3  -.17  -.27   -.4     -.4  -.55    -.28  -.26  -.17  -.24  -.28  -.36
1883  -.49  -.44  -.21  -.26   -.3  -.14  -.13  -.23  -.34  -.36    -.35  -.31     -.3  -.32   -.5  -.26  -.17  -.35
1884  -.29  -.21  -.38  -.41  -.38  -.38   -.3  -.21  -.34  -.35    -.38  -.33    -.33  -.33  -.27  -.39   -.3  -.36
1885  -.63  -.35  -.25  -.42  -.35  -.43  -.32  -.28  -.24  -.26    -.22  -.08    -.32  -.34  -.44  -.34  -.34  -.24
1886  -.38  -.46   -.3  -.22  -.21  -.34   -.1  -.24  -.22  -.32    -.35  -.31    -.29  -.27  -.31  -.25  -.23   -.3
1887  -.65  -.52  -.36  -.43   -.3  -.25   -.1  -.28  -.26  -.39    -.33   -.4    -.35  -.35  -.49  -.36  -.21  -.33
1888  -.49  -.48  -.46  -.36  -.29  -.25  -.21  -.24   -.2  -.12    -.07  -.23    -.28   -.3  -.46  -.37  -.23  -.13
1889  -.24   .07  -.03  -.04  -.07  -.14  -.18  -.26  -.22  -.32    -.39  -.35    -.18  -.17  -.13  -.05  -.19  -.31
1890  -.53  -.42  -.36  -.39  -.51   -.4  -.32  -.39  -.43  -.25    -.52  -.36     -.4   -.4  -.43  -.42  -.37   -.4
1891   -.5  -.56  -.19  -.32  -.22  -.25  -.25   -.2  -.18  -.25     -.4  -.11    -.29  -.31  -.47  -.24  -.23  -.28
1892  -.39  -.12  -.36  -.44  -.33  -.23  -.32  -.29  -.22   -.3    -.53  -.49    -.34   -.3  -.21  -.38  -.28  -.35
1893  -.87  -.61  -.21  -.38  -.41   -.3   -.1  -.26  -.25  -.19    -.19  -.35    -.34  -.36  -.66  -.33  -.22  -.21
