        GLOBAL Land-Ocean Temperature Index in 0.01 degrees Celsius   base period: 1951-1980
     
                    sources:  GHCN-v3 1880-01/2013 + SST: ERSST 1880-01/2013
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1950 DJF = Dec 1949 - Feb 1950 ;  ***** = missing
     
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1880  -.33  -.26  -.22  -.29  -.16  -.23  -.19  -.11   -.2  -.18    -.16  -.21    -.21     *     *  -.22  -.18  -.18
1881  -.12  -.15  -.01  -.01  -.01  -.24   -.1  -.06  -.17  -.22    -.26  -.17    -.13  -.13  -.16  -.01  -.14  -.22
1882   .04   .06    .0  -.22  -.19   -.3  -.25  -.09  -.11  -.24    -.24  -.36    -.16  -.14  -.02  -.14  -.22   -.2
1883  -.37  -.36  -.11  -.18  -.19  -.06  -.01  -.12  -.19  -.18    -.27  -.19    -.19   -.2  -.37  -.16  -.07  -.21
1884  -.19  -.12  -.29  -.34  -.31  -.34  -.29  -.23  -.28  -.24    -.28  -.24    -.26  -.26  -.17  -.31  -.29  -.27
1885  -.55  -.27  -.17  -.35  -.33  -.38  -.27  -.23  -.17  -.13    -.12   .02    -.24  -.27  -.35  -.28  -.29  -.14
1886  -.36  -.41  -.32  -.21  -.19  -.28  -.11  -.19  -.11  -.21    -.26  -.16    -.23  -.22  -.25  -.24  -.19   -.2
1887  -.57  -.41  -.24  -.32  -.27  -.24  -.17  -.27  -.23  -.32    -.27  -.39    -.31  -.29  -.38  -.27  -.23  -.27
1888  -.42  -.39  -.37  -.23  -.24  -.19  -.09  -.12   -.1  -.02      .0  -.09    -.19  -.21   -.4  -.28  -.13  -.04
1889  -.17   .17   .08   .09    .0  -.08  -.11  -.17  -.17   -.2     -.3  -.28     -.1  -.08  -.03   .06  -.12  -.23
1890   -.4  -.36  -.35  -.33  -.42  -.27  -.23  -.31   -.3   -.2    -.43  -.28    -.32  -.32  -.34  -.37  -.27  -.31
1891  -.41  -.48  -.17  -.26  -.19  -.25  -.24   -.2  -.16  -.27    -.39  -.11    -.26  -.27  -.39  -.21  -.23  -.27
1892  -.34  -.13  -.35  -.37  -.33   -.3  -.33  -.27   -.2  -.17    -.47  -.42    -.31  -.28   -.2  -.35   -.3  -.28
