        GLOBAL Land-Ocean Temperature Index in 0.01 degrees Celsius   base period: 1951-1980
     
                    sources:  GHCN-v3 1880-11/2015 + SST: ERSST v4 1880-11/2015
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1950 DJF = Dec 1949 - Feb 1950 ;  ***** = missing
     
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1880  -.29   -.2  -.18  -.27  -.14  -.28  -.22  -.07  -.16  -.15    -.18   -.2    -.19     *     *  -.19  -.19  -.16
1881  -.09  -.13   .02  -.02  -.04  -.28  -.05  -.02  -.08  -.19    -.25  -.14    -.11  -.11  -.14  -.01  -.12  -.17
1882    .1   .09   .02  -.19  -.17  -.24  -.09   .04    .0  -.22     -.2  -.24    -.09  -.08   .01  -.11   -.1  -.14
1883  -.33  -.41  -.17  -.24  -.25  -.11  -.07  -.12  -.18  -.11    -.19  -.17     -.2   -.2  -.33  -.22   -.1  -.16
1884  -.18  -.11  -.33  -.35  -.31  -.37  -.33  -.25  -.22  -.21    -.29  -.28    -.27  -.26  -.15  -.33  -.32  -.24
1885  -.64  -.29  -.23  -.43  -.41   -.5  -.28  -.27  -.19  -.18    -.21  -.05    -.31  -.33   -.4  -.36  -.35  -.19
1886  -.41  -.45  -.41  -.29  -.27  -.38  -.16  -.31  -.19  -.24    -.25  -.24     -.3  -.28   -.3  -.32  -.28  -.23
1887  -.65  -.48  -.31  -.37  -.33   -.2  -.18  -.26  -.19  -.31    -.25  -.37    -.32  -.31  -.46  -.33  -.21  -.25
1888  -.43  -.42  -.47  -.28  -.22   -.2  -.08   -.1  -.07   .02      .0  -.11     -.2  -.22   -.4  -.32  -.13  -.02
1889  -.19   .15   .05   .05  -.02  -.11  -.04  -.17  -.18  -.21     -.3  -.29     -.1  -.09  -.05   .03  -.11  -.23
1890  -.46  -.46   -.4  -.37  -.47  -.27  -.28  -.35  -.35  -.22    -.36  -.29    -.36  -.36  -.41  -.42   -.3  -.31
1891  -.45  -.48  -.14  -.25  -.16  -.21  -.21   -.2  -.13  -.22    -.36    .0    -.23  -.26   -.4  -.18  -.21  -.24
1892  -.25  -.13  -.35  -.34  -.24  -.19  -.26  -.19  -.24  -.15    -.49  -.27    -.26  -.24  -.13  -.31  -.21  -.29
1893  -.67   -.5  -.23  -.32  -.34  -.22  -.12  -.22  -.17  -.15    -.16  -.36    -.29  -.28  -.48  -.29  -.19  -.16
1894  -.54  -.31   -.2  -.41  -.29  -.43  -.31  -.27  -.21  -.16    -.24  -.21     -.3  -.31   -.4   -.3  -.33   -.2
1895  -.43  -.42  -.29  -.22  -.22  -.24  -.16  -.15  -.01   -.1    -.15  -.11    -.21  -.22  -.35  -.24  -.18  -.09
1896  -.22  -.14  -.29  -.32  -.19  -.13  -.05  -.09  -.04   .05    -.15  -.11    -.14  -.14  -.16  -.27  -.09  -.05
1897  -.22  -.19  -.11  -.01    .0  -.12  -.04  -.03  -.04  -.08    -.17  -.25     -.1  -.09  -.17  -.04  -.06   -.1
1898  -.06  -.33  -.55  -.33  -.36   -.2  -.22  -.23  -.19  -.32    -.35  -.21    -.28  -.28  -.21  -.41  -.22  -.29
1899  -.18  -.39  -.35  -.21   -.2  -.26  -.12  -.03    .0   .01     .12  -.26    -.16  -.15  -.26  -.25  -.14   .04
1900  -.39  -.07   .02  -.14  -.05  -.14  -.08  -.03   .02   .09    -.12  -.13    -.09   -.1  -.24  -.06  -.08    .0
1901  -.29  -.05   .05  -.06  -.18   -.1  -.08  -.12  -.16  -.29    -.17  -.29    -.14  -.13  -.15  -.06   -.1   -.2
1902   -.2  -.04  -.29  -.28  -.31  -.35  -.25  -.28  -.21  -.28    -.36  -.46    -.28  -.26  -.17  -.29   -.3  -.28
1903  -.28  -.07  -.22   -.4  -.42  -.44   -.3  -.43  -.42  -.41    -.38  -.47    -.35  -.35  -.27  -.35  -.39   -.4
1904  -.64  -.54  -.47  -.49   -.5  -.49  -.48  -.43  -.46  -.34    -.16  -.28    -.44  -.46  -.55  -.48  -.47  -.32
1905  -.37  -.58  -.25  -.36  -.33  -.31  -.24   -.2  -.14  -.22    -.08   -.2    -.27  -.28  -.41  -.31  -.25  -.15
1906   -.3  -.33  -.14  -.02   -.2  -.21  -.25  -.18  -.25   -.2    -.38  -.17    -.22  -.22  -.27  -.12  -.21  -.27
1907  -.43  -.52  -.24   -.4  -.46  -.43  -.34  -.36  -.31  -.24    -.51  -.49    -.39  -.37  -.37  -.37  -.38  -.35
1908  -.45  -.35  -.57  -.46   -.4  -.38  -.34  -.45  -.32  -.43     -.5  -.49    -.43  -.43  -.43  -.48  -.39  -.42
1909  -.69  -.46  -.52  -.58  -.53  -.51  -.42  -.29  -.37  -.38    -.31  -.54    -.47  -.46  -.55  -.54  -.41  -.35
1910  -.44  -.43  -.48  -.39  -.34  -.36  -.31  -.33  -.36  -.38    -.56  -.68    -.42  -.41  -.47   -.4  -.33  -.43
1911  -.63   -.6  -.62  -.55  -.52  -.47   -.4  -.42  -.38  -.25    -.19  -.25    -.44  -.48  -.64  -.56  -.43  -.27
1912  -.27  -.14  -.37   -.2  -.19  -.25   -.4  -.51  -.47  -.55    -.38  -.41    -.35  -.33  -.22  -.26  -.39  -.47
1913   -.4  -.43  -.43  -.36  -.45  -.45  -.34  -.32  -.32  -.34    -.18  -.03    -.34  -.37  -.42  -.41  -.37  -.28
1914   .02  -.14  -.23  -.27  -.19  -.22  -.23  -.14  -.13  -.04     -.2  -.09    -.15  -.15  -.05  -.23   -.2  -.12
1915  -.19  -.01  -.08   .08  -.01  -.14  -.01  -.14  -.11  -.22    -.13  -.25     -.1  -.09   -.1  -.01   -.1  -.15
1916   -.2  -.22   -.3  -.25  -.26  -.42  -.32  -.25  -.28  -.27    -.42  -.77    -.33  -.29  -.22  -.27  -.33  -.32
1917  -.46  -.55  -.49  -.39  -.48  -.39  -.22  -.25  -.17  -.34    -.28  -.71    -.39   -.4   -.6  -.45  -.29  -.27
1918  -.43  -.32  -.21  -.39  -.36  -.27   -.2  -.26  -.14  -.03    -.15  -.28    -.25  -.29  -.49  -.32  -.24   -.1
1919  -.19  -.21  -.26  -.18  -.19  -.27   -.2  -.19  -.17  -.15    -.29  -.34    -.22  -.21  -.22  -.21  -.22   -.2
1920  -.14  -.23  -.06  -.25  -.25  -.32   -.3  -.28  -.19  -.27    -.32  -.45    -.26  -.25  -.24  -.19   -.3  -.26
1921  -.03  -.21  -.27  -.35  -.35   -.3  -.14  -.22  -.16  -.06    -.16  -.17     -.2  -.23  -.23  -.32  -.22  -.13
1922  -.32  -.41  -.13  -.21  -.34  -.31  -.25   -.3  -.28  -.31    -.15  -.16    -.26  -.26   -.3  -.22  -.29  -.25
1923  -.26  -.36   -.3  -.37  -.32  -.23  -.27  -.28  -.27  -.11     .04  -.03    -.23  -.24  -.26  -.33  -.26  -.11
1924  -.22  -.25  -.12  -.34  -.18  -.27  -.25  -.34  -.29  -.34    -.22  -.41    -.27  -.24  -.17  -.21  -.29  -.29
1925  -.32  -.33  -.22  -.23  -.29  -.32  -.28  -.17  -.12  -.16     .04   .12    -.19  -.23  -.35  -.25  -.26  -.08
1926   .21   .08   .13  -.14  -.24  -.24  -.19   -.1   -.1  -.11    -.06  -.29    -.09  -.05   .13  -.08  -.18  -.09
1927  -.27  -.19  -.37  -.31  -.24  -.26  -.13  -.19  -.06    .0    -.03  -.35     -.2   -.2  -.25  -.31  -.19  -.03
1928  -.03  -.11  -.27  -.28  -.29   -.4   -.2  -.24  -.19  -.18     -.1   -.2    -.21  -.22  -.16  -.28  -.28  -.16
1929  -.47  -.58  -.35  -.41  -.38  -.43  -.32  -.29  -.23  -.14    -.15  -.53    -.36  -.33  -.41  -.38  -.34  -.17
1930  -.28  -.23  -.09  -.24  -.24  -.18  -.15  -.09   -.1  -.08     .14  -.07    -.13  -.17  -.35  -.19  -.14  -.01
1931   -.1   -.2  -.06   -.2  -.22  -.05   .01  -.01  -.06    .0    -.11  -.09    -.09  -.09  -.12  -.16  -.02  -.06
1932   .14  -.17  -.19  -.08  -.22  -.29  -.23  -.23  -.12  -.09    -.26  -.22    -.16  -.15  -.04  -.16  -.25  -.16
1933  -.31   -.3  -.27  -.23  -.25  -.31  -.19  -.23  -.26  -.23    -.32  -.45    -.28  -.26  -.27  -.25  -.24  -.27
1934  -.25  -.03  -.28  -.26   -.1  -.13   -.1  -.09  -.15   -.1      .0  -.07    -.13  -.16  -.24  -.22  -.11  -.08
1935  -.37   .12  -.13  -.35  -.25  -.22  -.18  -.16  -.17  -.07    -.28   -.2    -.19  -.18  -.11  -.24  -.19  -.17
1936  -.28  -.39  -.24   -.2  -.15  -.18  -.05  -.11  -.05  -.02    -.04  -.02    -.14  -.16  -.29   -.2  -.11  -.03
1937  -.07   .07  -.16  -.16  -.06  -.07  -.04   .04   .14    .1      .1  -.09    -.02  -.01  -.01  -.13  -.02   .11
1938   .03  -.02   .07   .05  -.07  -.16  -.08  -.04   .04   .12     .03  -.23    -.02  -.01  -.03   .02  -.09   .06
1939  -.11  -.11  -.19  -.12  -.07  -.07  -.04  -.04   .01  -.02     .07   .41    -.02  -.08  -.15  -.13  -.05   .02
1940  -.13   .06   .12   .16   .06   .06   .11   .01   .12   .08     .13    .2     .08    .1   .11   .11   .06   .11
1941   .12   .23   .06    .1    .1   .04   .16   .14   .02   .25     .13   .15     .12   .13   .18   .09   .11   .13
1942   .28   .06   .11   .13   .14   .11   .02  -.03    .0   .07     .13   .13      .1    .1   .16   .13   .03   .07
1943    .0   .22   .02   .14    .1    .0   .15   .03   .12   .31     .26   .29     .14   .12   .12   .09   .06   .23
1944   .42   .32   .35   .27   .26   .21   .22   .22   .31   .27     .13   .08     .25   .27   .34   .29   .22   .24
1945   .15   .05   .11   .24    .1   .03   .07   .26   .21   .22      .1  -.09     .12   .13   .09   .15   .12   .18
1946   .16   .06    .0   .11  -.03  -.15  -.08   -.1  -.02  -.06    -.01  -.27    -.03  -.02   .04   .03  -.11  -.03
1947  -.08  -.04   .06   .05  -.06  -.03  -.04  -.08  -.14   .07      .0  -.16    -.04  -.05  -.13   .02  -.05  -.03
1948   .06  -.12  -.24   -.1   .06  -.05  -.13   -.1  -.13  -.07    -.09  -.21    -.09  -.09  -.07  -.09   -.1   -.1
1949    .1  -.16  -.01  -.08  -.11  -.26  -.13  -.09  -.09  -.03    -.09  -.16    -.09   -.1  -.09  -.07  -.16  -.07
1950  -.28  -.27  -.08  -.21  -.12  -.08   -.1  -.19  -.11  -.19    -.34  -.19    -.18  -.18  -.24  -.14  -.12  -.21
1951  -.34  -.43   -.2   -.1  -.02  -.07  -.02   .06   .04   .09     .01   .16    -.07   -.1  -.32  -.11  -.01   .05
1952   .16   .13  -.09   .02  -.05  -.04   .06   .07   .08  -.03    -.16  -.02     .01   .03   .15  -.04   .03  -.04
1953   .09   .17   .11    .2   .09   .08   .03   .08   .06   .05    -.05   .04     .08   .07   .08   .14   .06   .02
1954  -.27   -.1  -.12  -.18   -.2  -.15  -.16  -.13  -.07    .0     .09  -.16    -.12   -.1  -.11  -.17  -.15    .0
1955   .12  -.21  -.35  -.22   -.2  -.07  -.07   .07  -.14  -.04    -.28  -.32    -.14  -.13  -.08  -.25  -.02  -.15
1956  -.15  -.24  -.22  -.27  -.27  -.15  -.11  -.26  -.18  -.24    -.15  -.09    -.19  -.21  -.24  -.25  -.17  -.19
1957  -.13  -.06  -.06  -.02   .07   .18   .03   .18   .08    .0     .08   .16     .04   .02  -.09    .0   .13   .05
1958   .37   .22   .08   .02   .07  -.06   .03  -.07  -.05   .03     .02    .0     .06   .07   .25   .06  -.03    .0
1959   .06   .08    .2   .16   .05   .03   .05  -.01  -.05  -.09    -.09  -.02     .03   .03   .05   .14   .02  -.08
1960  -.02   .13  -.36  -.17  -.09    .0  -.03    .0   .04   .07    -.12   .18    -.03  -.05   .03   -.2  -.01    .0
1961   .07   .19    .1   .15   .14   .11  -.03  -.01   .05  -.01     .02  -.15     .05   .08   .15   .13   .02   .02
1962   .07   .15   .11   .05  -.06   .04  -.03  -.03  -.02  -.04     .06  -.02     .02   .01   .02   .03    .0    .0
1963  -.03   .18  -.15  -.05   -.1   .02   .09   .23   .19   .14     .15  -.01     .06   .06   .05   -.1   .11   .16
1964  -.06  -.12  -.24  -.31  -.26  -.09  -.07  -.23  -.28   -.3    -.21   -.3    -.21  -.18  -.06  -.27  -.13  -.26
1965  -.09  -.18  -.12   -.2  -.14   -.1  -.11  -.01  -.13  -.04    -.06  -.07     -.1  -.12  -.19  -.15  -.07  -.08
