Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1866,-.34,-.66,-.68,-.2,-.66,-.39,-.24,-.5,-.19,-.62,-.74,-.57,-.48,*,*,-.51,-.38,-.51
1867,-.82,-.27,-1.1,-.59,-.61,-.42,-.5,-.45,-.43,-.54,-.45,-.77,-.58,-.56,-.55,-.77,-.46,-.47
1868,-1.2,-1.26,-.47,-.77,-.14,.0,-.26,-.14,-.37,-.08,-.63,-.45,-.48,-.51,-1.07,-.46,-.13,-.36
1869,-.1,-.07,-.52,-.27,-.32,-.25,-.46,-.08,-.31,-.73,-.71,-.56,-.36,-.36,-.21,-.37,-.27,-.58
1870,-.23,-.51,-.76,-.37,-.21,-.05,-.08,-.64,-.52,-.35,-.38,1.11,-.43,-.39,-.43,-.44,-.26,-.42
1871,-.44,-.63,-.26,-.32,-.4,-.25,-.29,.01,-.51,-.44,-.77,-.55,-.4,-.45,-.73,-.33,-.18,-.57
1872,.01,-.17,-.29,-.35,-.43,-.2,-.22,-.37,-.1,-.04,-.34,-.35,-.24,-.25,-.24,-.35,-.26,-.16
1873,-.05,-.52,-.48,-.45,.02,.05,-.08,.07,-.07,-.23,-.47,-.06,-.19,-.21,-.31,-.3,.01,-.26
1874,-.26,-.37,-.66,-.4,-.7,-.51,-.54,-.5,-.51,-.33,-.71,-.41,-.49,-.46,-.23,-.59,-.52,-.52
1875,-.74,-.71,-.89,-.63,-.55,-.54,-.43,-.47,-.6,-.54,-.74,-.29,-.59,-.6,-.62,-.69,-.48,-.63
1876,-.37,-.37,-.16,-.32,-.52,-.35,-.22,-.44,-.26,-.34,-.83,-.81,-.42,-.37,-.35,-.33,-.34,-.47
1877,-.34,-.18,-.16,-.2,-.55,-.12,.37,.1,-.17,-.16,.06,.09,-.11,-.18,-.44,-.3,.12,-.09
1878,-.34,.1,.51,.38,-.44,-.17,.14,-.21,.18,-.04,.11,-.43,-.02,.03,-.05,.15,-.08,.08
1879,-.18,-.45,-.58,-.51,-.61,-.72,-.25,-.36,-.48,-.51,-.66,-.68,-.5,-.48,-.35,-.56,-.44,-.55
1880,-.47,-.45,-.19,-.26,-.14,-.26,-.2,.13,-.41,-.48,-.57,-.6,-.32,-.33,-.53,-.2,-.11,-.49
1881,-.54,-.37,-.35,-.22,-.03,-.64,-.44,-.27,-.29,-.26,-.44,-.08,-.33,-.37,-.5,-.2,-.45,-.33
1882,.12,-.2,-.05,-.46,-.53,-.78,-.54,-.22,-.13,-.46,-.71,-.77,-.39,-.34,-.05,-.35,-.52,-.43
1883,-.57,-.69,-.19,-.35,-.5,.14,-.18,-.3,-.42,-.47,-.64,-.53,-.39,-.41,-.68,-.35,-.11,-.51
1884,-.75,-.75,-.71,-.8,-1.02,-.58,-.71,-.03,-.51,-.58,-.79,-.58,-.65,-.65,-.68,-.84,-.44,-.63
1885,-.81,-.59,-.68,-.74,-.49,-.47,-.35,-.25,-.14,-.28,-.26,-.04,-.42,-.47,-.66,-.64,-.36,-.23
1886,-.36,-.65,-.44,-.24,-.42,-.63,-.25,-.4,-.03,-.49,-.41,-.5,-.4,-.36,-.35,-.37,-.43,-.31
1887,-.52,-.76,-.42,-.6,-.75,-.41,-.28,-.36,-.44,-.53,-.64,-.55,-.52,-.52,-.59,-.59,-.35,-.53
1888,-.59,-.78,-.62,-.27,-.53,-.26,-.05,.01,-.14,-.06,-.14,-.16,-.3,-.33,-.64,-.47,-.1,-.12
1889,-.26,.16,.08,.15,.2,-.1,-.15,-.41,-.26,-.2,-.43,-.19,-.12,-.11,-.09,.14,-.22,-.3
1890,-.47,-.37,-.41,-.3,-.71,-.33,-.48,-.51,-.17,-.2,-.55,-.28,-.4,-.39,-.34,-.47,-.44,-.31
1891,-.71,-.89,-.35,-.54,-.36,-.4,-.42,-.44,-.2,-.32,-.42,.04,-.42,-.44,-.63,-.42,-.42,-.31
1892,-.49,-.22,-.37,-.49,-.61,-.33,-.28,-.18,-.4,-.24,-.4,-.71,-.39,-.33,-.23,-.49,-.26,-.35
1893,-1.16,-1.05,-.41,-.38,-.55,-.48,-.04,-.26,-.34,-.26,-.15,-.36,-.45,-.48,-.97,-.45,-.26,-.25
1894,-.53,-.48,-.27,-.51,-.55,-.47,-.19,-.24,-.4,-.13,-.16,-.27,-.35,-.36,-.46,-.44,-.3,-.23
1895,-.83,-.67,-.49,-.46,-.34,-.24,-.35,-.24,-.15,-.27,-.24,-.03,-.36,-.38,-.59,-.43,-.28,-.22
1896,-.32,-.3,-.42,-.4,-.27,-.19,.04,-.11,.03,.11,-.46,-.03,-.19,-.19,-.22,-.37,-.09,-.11
1897,-.3,-.38,-.27,.08,-.03,-.05,-.02,-.21,-.13,-.14,-.16,-.13,-.14,-.14,-.24,-.07,-.09,-.14
1898,-.02,-.61,-.78,-.54,-.66,-.14,-.26,-.22,-.16,-.48,-.35,-.19,-.37,-.36,-.25,-.66,-.2,-.33
1899,-.43,-.55,-.25,-.13,-.32,-.47,-.14,-.09,.04,-.21,.06,-.19,-.22,-.22,-.39,-.23,-.23,-.03
1900,-.45,-.07,.1,.11,.06,.07,-.05,.0,.04,.22,-.07,-.01,.0,-.02,-.24,.09,.0,.06
1901,-.18,-.11,.04,-.11,-.14,.07,-.1,-.12,.03,-.12,-.1,-.16,-.08,-.07,-.1,-.07,-.05,-.07
1902,-.12,.11,-.16,-.16,-.13,-.14,-.21,-.46,-.39,-.38,-.45,-.44,-.24,-.22,-.05,-.15,-.27,-.41
1903,-.32,-.08,-.16,-.49,-.46,-.56,-.22,-.37,-.38,-.47,-.4,-.39,-.36,-.36,-.28,-.37,-.38,-.42
1904,-.64,-.82,-.68,-.44,-.51,-.33,-.41,-.44,-.51,-.53,-.22,-.37,-.49,-.49,-.62,-.54,-.39,-.42
1905,-.46,-.85,-.24,-.32,-.16,-.25,-.21,-.19,-.19,-.29,.05,-.13,-.27,-.29,-.56,-.24,-.22,-.14
1906,-.16,-.28,-.31,-.03,-.1,-.16,-.03,-.09,-.24,-.11,-.52,-.23,-.19,-.18,-.19,-.15,-.09,-.29
1907,-.45,-.51,-.32,-.36,-.55,-.56,-.33,-.57,-.36,-.2,-.49,-.46,-.43,-.41,-.39,-.41,-.49,-.35
1908,-.29,-.33,-.35,-.33,-.21,-.17,-.25,-.28,-.09,-.38,-.57,-.31,-.3,-.31,-.36,-.3,-.23,-.35
1909,-.77,-.51,-.38,-.36,-.42,-.24,-.11,.04,-.2,-.08,-.17,-.44,-.3,-.29,-.53,-.39,-.1,-.15
1910,-.31,-.31,-.44,-.4,-.15,-.21,-.09,-.11,-.2,-.26,-.48,-.53,-.29,-.29,-.36,-.33,-.14,-.32
1911,-.55,-.59,-.44,-.43,-.33,-.34,-.14,-.16,-.24,-.15,-.05,-.03,-.29,-.33,-.56,-.4,-.21,-.15
1912,-.12,-.1,-.33,-.2,-.13,-.07,-.39,-.54,-.39,-.4,-.41,-.31,-.28,-.26,-.08,-.22,-.33,-.4
1913,-.31,-.42,-.4,-.26,-.44,-.42,-.11,-.08,-.12,-.19,-.06,.04,-.23,-.26,-.35,-.37,-.2,-.12
1914,.14,.01,.05,-.05,.04,-.02,-.1,-.08,-.14,.03,-.27,-.07,-.04,-.03,.06,.01,-.07,-.13
1915,-.1,.04,-.04,.05,-.01,-.14,.09,-.11,.16,-.02,.0,-.14,-.02,-.01,-.04,.0,-.06,.05
1916,-.12,-.07,-.32,-.18,-.24,-.33,-.21,-.12,-.22,-.12,-.29,-.7,-.24,-.2,-.11,-.25,-.22,-.21
1917,-.36,-.68,-.64,-.46,-.64,-.27,.24,-.27,-.26,-.41,-.4,-.88,-.42,-.4,-.58,-.58,-.1,-.36
1918,-.67,-.51,-.39,-.43,-.55,-.37,-.33,-.43,-.16,.11,-.22,-.24,-.35,-.4,-.68,-.46,-.37,-.09
1919,-.24,-.22,-.13,-.1,-.19,-.1,-.02,.01,-.2,-.07,-.53,-.23,-.17,-.17,-.23,-.14,-.04,-.27
1920,-.08,-.29,-.11,-.03,-.25,-.19,.04,-.09,-.18,-.3,-.24,-.36,-.17,-.16,-.2,-.13,-.08,-.24
1921,-.1,-.09,-.02,-.11,-.13,.0,.11,-.31,-.1,-.09,-.24,-.09,-.1,-.12,-.19,-.09,-.07,-.14
1922,-.3,-.37,-.18,.03,-.25,-.21,.07,-.13,-.11,-.11,-.06,.01,-.13,-.14,-.25,-.13,-.09,-.1
1923,-.18,-.32,-.13,-.32,-.13,-.17,-.31,-.29,-.2,-.05,.07,.11,-.16,-.17,-.16,-.19,-.26,-.06
