Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1866,.23,-.18,-.23,.28,.33,.23,.22,-.11,.12,-.18,-.3,-.42,.0,.04,.04,.13,.11,-.12
1867,-.39,-.11,-.6,-.17,-.04,.23,.14,-.15,-.08,.16,.0,.3,-.06,-.12,-.31,-.27,.07,.03
1868,-1.12,-.6,-.19,-.35,-.09,.26,.12,.1,.05,.28,-.18,-.25,-.16,-.12,-.47,-.21,.16,.05
1869,.04,.28,-.16,-.01,-.25,-.01,-.05,.24,-.09,-.29,-.24,-.16,-.06,-.07,.02,-.14,.06,-.21
1870,-.17,-.42,-.49,-.29,-.12,.2,.22,-.38,-.07,-.17,-.16,-.89,-.23,-.17,-.25,-.3,.01,-.13
1871,-.63,-.38,-.3,.02,-.21,-.11,-.05,.31,-.11,-.45,-.41,.0,-.19,-.27,-.63,-.16,.05,-.32
1872,.04,.02,-.16,-.34,-.06,.2,.17,-.45,.05,-.11,-.2,-.33,-.1,-.07,.02,-.19,-.02,-.09
1873,-.7,-.36,-.33,-.61,.07,.32,-.25,.24,-.25,.25,-.56,.26,-.16,-.21,-.46,-.29,.11,-.18
1874,.2,-.11,-.24,.21,-.34,-.33,-.04,-.13,-.34,-.14,-.23,.09,-.12,-.1,.12,-.13,-.17,-.24
1875,-.13,-.21,-.24,-.04,-.18,.07,.34,.06,-.3,-.13,-.71,-.46,-.16,-.12,-.08,-.15,.16,-.38
1876,-.18,-.3,.42,.02,-.21,-.12,.05,-.06,.18,.35,-.28,-.19,-.03,-.05,-.31,.08,-.05,.09
1877,.15,.29,.34,-.04,-.51,.24,.66,.59,.06,.12,.29,.18,.2,.17,.08,-.07,.5,.16
1878,-.23,.2,.92,.58,-.14,-.03,.17,.07,.5,.19,.05,-.33,.16,.21,.05,.45,.07,.25
1879,.18,-.27,-.24,-.37,-.48,-.52,.04,-.14,-.21,-.22,-.29,-.34,-.24,-.24,-.14,-.36,-.21,-.24
