                 GLOBAL Temperature Anomalies in .01 C     base period: 1951-1980
     
                    sources: GHCN 1701-12/2000 (meteorological stations only)
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1941 DJF = Dec 1940 - Feb 1941 ;  ***** = missing
     
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1867  -.37   .02  -.95   .41  -.01   .46   .23   .12   .23   .54     .07   .43      .1     *     *  -.18   .27   .28
1868 -1.01  -.83   .32   .09   .07   .22   .09  -.29  -.01   .27    -.51  -.06    -.14   -.1  -.47   .16   .01  -.09
1869   .23   .32  -.04    .1  -.34   .21   .16   .32  -.12  -.27     .06   .23     .07   .05   .17   -.1   .23  -.11
1870   .34  -.26  -.61  -.03  -.04    .2  -.11  -.56  -.18  -.05     .02  -.75    -.17  -.09   .11  -.23  -.16  -.07
1871   -.4  -.36  -.29   .03  -.19  -.13  -.11   .11  -.15   -.4    -.34   .18    -.17  -.25   -.5  -.15  -.05   -.3
1872   .33   .34  -.13  -.14   .05   .42   .06  -.84  -.04  -.25    -.07  -.46    -.06  -.01   .28  -.08  -.12  -.12
1873   -.7  -.31  -.21  -.48  -.09   .52  -.49   .41   -.2   .38    -.73   .33    -.13   -.2  -.49  -.26   .15  -.18
1874   .27  -.31   -.1   .16  -.29  -.39  -.09  -.25  -.41   .11     -.3   .15    -.12  -.11   .09  -.08  -.25   -.2
1875  -.11  -.44  -.48  -.09  -.07   .22    .2    .2  -.38  -.13    -.59  -.47    -.18  -.13  -.13  -.22   .21  -.36
1876    .1  -.17   .26  -.14  -.44  -.18  -.31  -.39  -.25   .29    -.16  -.09    -.12  -.15  -.18  -.11  -.29  -.04
1877  -.08   .28  -.11  -.29  -.49   .02   .28   .55  -.13  -.15      .3   .51     .06   .01   .03   -.3   .29   .01
1878   .27   .41   .95   .56  -.33  -.07   .04   .02   .48   .43     .22  -.05     .24   .29    .4   .39    .0   .38
1879   .03  -.32    .0  -.33  -.29  -.67  -.55   -.2  -.09    .0    -.26  -.54    -.27  -.23  -.11  -.21  -.47  -.12
1880   .26   .08  -.11  -.15  -.13  -.55   -.2   .03   .05  -.42    -.32  -.02    -.12  -.17  -.07  -.13  -.24  -.23
1881  -.53  -.05  -.13    .1    .2  -.82  -.03  -.08  -.16  -.18    -.17   .28    -.13  -.16   -.2   .05  -.31  -.17
1882   .76   .43   .26  -.31  -.12  -.62  -.52  -.19   .23  -.13      .1    .0    -.01   .01   .49  -.06  -.44   .07
1883  -.16  -.53  -.05   .18   .01   .56   .21  -.01   -.3  -.17    -.39   .13    -.04  -.05  -.23   .05   .25  -.28
1884   -.2    .1  -.26  -.74  -.74  -.44  -.54  -.11  -.23  -.42    -.61  -.85    -.42  -.34   .01  -.58  -.36  -.42
1885  -.59  -.45  -.56  -.49  -.39  -.58  -.12   .08  -.12   .21    -.27   .34    -.24  -.34  -.63  -.48  -.21  -.06
1886  -.49  -.46  -.44  -.17  -.18  -.17  -.12  -.22  -.25  -.67     .01  -.19    -.28  -.23   -.2  -.26  -.17   -.3
1887  -.55  -.82  -.26  -.41  -.46  -.66  -.23  -.37  -.52  -.29    -.73  -.25    -.46  -.46  -.52  -.38  -.42  -.51
1888  -.37  -.57  -.64  -.06  -.41  -.24  -.33  -.32  -.34  -.04     .32    .1    -.24  -.27  -.39  -.37   -.3  -.02
1889   .17    .4   .23   .32   .31  -.01  -.34  -.31  -.23   .03    -.22   .07     .03   .04   .22   .29  -.22  -.14
1890  -.17  -.38  -.14  -.07  -.29  -.04  -.43   -.2  -.03  -.07    -.58  -.26    -.22  -.19  -.16  -.17  -.22  -.23
1891  -.79 -1.05  -.49  -.65  -.23   -.5   -.8  -.63  -.47  -.66    -.34  -.11    -.56  -.57   -.7  -.46  -.64  -.49
1892  -.51  -.08  -.45  -.72  -.48   -.4  -.31  -.14  -.42  -.41     -.4  -.51     -.4  -.37  -.23  -.55  -.28  -.41
1893 -1.54  -.79  -.44  -.28  -.44  -.45  -.04    .0  -.19   .24    -.29  -.48    -.39  -.39  -.94  -.39  -.16  -.08
1894  -.62  -.63  -.19  -.47   -.5  -.31   -.3  -.32  -.55  -.08    -.05  -.03    -.34  -.38  -.58  -.39  -.31  -.23
1895  -.53  -.88  -.48   -.5  -.26  -.24  -.62  -.22  -.17  -.02    -.01  -.01    -.33  -.33  -.48  -.41  -.36  -.07
1896   .03  -.22  -.47  -.42  -.48  -.38   -.3  -.47  -.22   .14    -.38  -.12    -.27  -.27  -.07  -.46  -.38  -.15
1897  -.13  -.26  -.33   .09  -.06  -.27   .15  -.26  -.23  -.43    -.03  -.06    -.15  -.16  -.17   -.1  -.13  -.23
1898   .23  -.32  -.57  -.34  -.53  -.23  -.08   .11   .02  -.44    -.31  -.17    -.22  -.21  -.05  -.48  -.07  -.24
1899  -.43  -.37  -.15  -.32  -.51  -.26  -.34  -.28  -.03   -.3     .11  -.15    -.25  -.25  -.32  -.33  -.29  -.07
1900  -.43  -.06   .01  -.07   .04   .13  -.18  -.13  -.08   .17    -.09  -.05    -.06  -.07  -.21  -.01  -.06    .0
1901  -.15  -.08  -.05   .07  -.02   .12  -.27  -.06   .05  -.04    -.08  -.18    -.06  -.05  -.09    .0  -.07  -.02
1902  -.29  -.03  -.06  -.18  -.28  -.28  -.32  -.47  -.44  -.38    -.41  -.52     -.3  -.28  -.17  -.17  -.36  -.41
1903  -.27  -.13  -.07  -.48  -.38   -.6  -.23  -.38  -.44  -.51    -.46  -.41    -.36  -.37  -.31  -.31   -.4  -.47
1904  -.54  -.61  -.31   -.3   -.6  -.47  -.61  -.36  -.45  -.43     -.2  -.25    -.43  -.44  -.52   -.4  -.48  -.36
1905  -.41  -.86  -.16  -.15  -.12  -.22  -.33  -.23  -.28  -.35     .09  -.17    -.27  -.27   -.5  -.14  -.26  -.18
1906  -.23  -.24  -.41   .11  -.17  -.06  -.09  -.08  -.28  -.04    -.31  -.06    -.16  -.17  -.22  -.15  -.08  -.21
1907  -.38  -.51  -.34   -.4  -.47  -.45  -.29  -.43   -.3  -.26     -.5   -.6    -.41  -.37  -.32   -.4  -.39  -.35
1908  -.32  -.17  -.48  -.33  -.18  -.32   -.2  -.28  -.14  -.41    -.59  -.33    -.31  -.33  -.36  -.33  -.26  -.38
1909  -.71  -.43  -.43  -.57  -.41   -.2  -.19  -.12  -.21  -.09    -.06  -.45    -.32  -.31  -.49  -.47  -.17  -.12
1910  -.27  -.17  -.37  -.08  -.13  -.27  -.09  -.09   .01  -.25    -.41  -.59    -.23  -.21  -.29  -.19  -.15  -.22
1911  -.55  -.53   -.5   -.4  -.25   -.3  -.09  -.19  -.16  -.17     .02  -.19    -.27  -.31  -.55  -.38  -.19   -.1
1912  -.13  -.12  -.45  -.21  -.19  -.23  -.41  -.58  -.44  -.47     -.5  -.29    -.34  -.33  -.15  -.28  -.41  -.47
1913  -.36  -.49  -.45  -.18  -.61  -.53  -.25  -.21  -.18  -.21    -.05   .04    -.29  -.32  -.38  -.41  -.33  -.14
1914   .17   .01   .07  -.19   .01  -.04  -.08  -.01  -.05   .12    -.21  -.15    -.03  -.01   .07  -.03  -.04  -.05
1915  -.08   .14   .03   .08   .01  -.02   .18  -.03   .13   .01     .15  -.05     .05   .04  -.03   .04   .04    .1
1916   .02  -.04  -.34  -.19  -.21  -.25  -.21  -.03  -.11  -.15    -.36  -.73    -.22  -.16  -.02  -.25  -.17   -.2
1917   -.5  -.72   -.7  -.47  -.72  -.41   .16  -.34  -.31  -.45    -.33  -.88    -.47  -.46  -.65  -.63   -.2  -.36
1918  -.55  -.48  -.44  -.41  -.63  -.25  -.42   -.4  -.15   .04    -.19  -.24    -.34   -.4  -.63  -.49  -.36   -.1
