           GLOBAL Temperature Anomalies in 0.01 degrees Celsius    base period: 1951-1980
     
                  sources: GHCN-v3 1880-01/2012 (meteorological stations only)
                    using elimination of outliers and homogeneity adjustment
                    Notes: 1941 DJF = Dec 1940 - Feb 1941 ;  ***** = missing
     
Year   Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct     Nov   Dec     J-D   D-N   DJF   MAM   JJA   SON
1880  -.55  -.24  -.31  -.47  -.19  -.33   -.2   .28  -.24   -.4    -.19  -.17    -.25     *     *  -.32  -.08  -.28
1881  -.48  -.25  -.07   .01   .16  -.86  -.28  -.11  -.16  -.26    -.32   .12    -.21  -.23   -.3   .03  -.42  -.25
1882   .32   .09   .06  -.42   -.2  -.81  -.47   .01   .09  -.12    -.19  -.45    -.17  -.13   .18  -.19  -.42  -.08
1883  -.48  -.75  -.23  -.06  -.15   .57    .2   .08  -.21  -.42    -.44  -.15    -.17  -.19  -.56  -.15   .28  -.36
1884  -.37   -.1  -.21  -.73  -.97  -.56  -.67   .31   -.2  -.64    -.61  -.78    -.46  -.41   -.2  -.64  -.31  -.48
1885  -.71  -.58  -.71  -.64  -.32  -.76  -.44    .0    .0   .13    -.14   .26    -.32  -.41  -.69  -.55   -.4    .0
1886  -.49  -.55  -.45  -.39  -.33  -.53  -.18  -.51  -.19  -.65    -.34  -.54    -.43  -.36  -.26  -.39  -.41  -.39
1887  -.72 -1.06  -.43  -.64  -.72  -.55  -.34  -.22   -.5  -.33    -.74  -.53    -.56  -.57  -.77   -.6  -.37  -.52
1888  -.59  -.66  -.75  -.16   -.6   -.4   -.2   -.2  -.27   -.1     .07   .02    -.32  -.37  -.59   -.5  -.27   -.1
1889  -.17    .3    .2   .25   .23  -.18  -.32   -.5  -.28  -.11    -.32  -.29     -.1  -.07   .05   .23  -.33  -.24
1890  -.55  -.53  -.49   -.4  -.79  -.46  -.49  -.51  -.26  -.18    -.64  -.44    -.48  -.47  -.45  -.56  -.49  -.36
1891  -.89  -.98  -.43  -.55  -.36  -.47  -.62  -.48  -.43  -.48    -.45   .06    -.51  -.55  -.77  -.45  -.53  -.45
1892  -.58  -.29  -.52  -.66  -.63  -.53  -.32  -.21  -.46  -.31    -.55  -.59    -.47  -.42  -.27   -.6  -.35  -.44
1893 -1.37  -.94  -.54   -.6  -.67  -.64  -.11   -.3  -.23  -.06    -.13  -.41     -.5  -.52  -.97  -.61  -.35  -.14
1894  -.74  -.62  -.41  -.64  -.63  -.43  -.28  -.29  -.43  -.05    -.08  -.12    -.39  -.42  -.59  -.56  -.33  -.19
1895  -.62  -.75  -.44  -.42  -.32  -.25  -.49  -.14  -.11  -.02    -.07  -.02     -.3  -.31   -.5  -.39  -.29  -.06
1896  -.16  -.24  -.48  -.42  -.38   -.4  -.14  -.34  -.06   .03    -.39  -.14    -.26  -.25  -.14  -.43  -.29  -.14
1897  -.15  -.37  -.22  -.04  -.18  -.12   .01  -.23  -.12  -.13      .1  -.15    -.13  -.13  -.22  -.15  -.12  -.05
1898  -.06  -.39  -.67  -.38  -.56   -.2  -.25  -.19   .06  -.31    -.38  -.12    -.29  -.29   -.2  -.53  -.22  -.21
