                  GLOBAL Station Temperature Index in degrees Celsius   base period: 1951-1980

                              sources:  GHCN-v3 1880-07/2017 (meteorological stations only)
                              using elimination of outliers and homogeneity adjustment
                              Notes: 1950 DJF = Dec 1949 - Feb 1950 ;  ***** = missing

                                                                                   AnnMean
Year    Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec     J-D   D-N     DJF   MAM   JJA   SON
1880   -.81  -.40  -.46  -.64  -.34  -.47  -.46   .08  -.49  -.66  -.50  -.52    -.47   ***     ***  -.48  -.28  -.55
1881   -.77  -.61  -.35  -.25  -.01 -1.10  -.53  -.25  -.36  -.49  -.56  -.15    -.45  -.48    -.63  -.20  -.63  -.47
1882    .11  -.12  -.09  -.59  -.38 -1.02  -.71  -.12  -.08  -.32  -.40  -.68    -.37  -.32    -.05  -.35  -.62  -.26
1883   -.68  -.95  -.46  -.31  -.35   .45  -.01  -.16  -.45  -.57  -.69  -.39    -.38  -.40    -.77  -.37   .09  -.57
1884   -.60  -.34  -.40  -.93 -1.19  -.82  -.85   .15  -.37  -.77  -.82  -.99    -.66  -.61    -.45  -.84  -.51  -.65
1885   -.92  -.78  -.91  -.87  -.49  -.93  -.62  -.16  -.15  -.04  -.38   .01    -.52  -.60    -.90  -.76  -.57  -.19
1886   -.77  -.83  -.69  -.63  -.56  -.83  -.40  -.74  -.43  -.87  -.51  -.75    -.67  -.60    -.53  -.63  -.66  -.60
1887   -.90 -1.30  -.62  -.87  -.89  -.70  -.44  -.29  -.65  -.59  -.95  -.69    -.74  -.75    -.98  -.79  -.48  -.73
1888   -.77  -.86  -.95  -.35  -.80  -.60  -.40  -.39  -.46  -.32  -.10  -.22    -.52  -.56    -.77  -.70  -.46  -.29
1889   -.34   .12   .02   .07   .06  -.35  -.45  -.64  -.41  -.26  -.48  -.49    -.26  -.24    -.15   .05  -.48  -.38
1890   -.64  -.67  -.66  -.56  -.96  -.61  -.64  -.65  -.39  -.31  -.81  -.58    -.62  -.61    -.60  -.72  -.63  -.50
1891  -1.00 -1.12  -.57  -.72  -.53  -.61  -.78  -.62  -.56  -.63  -.62  -.03    -.65  -.69    -.90  -.60  -.67  -.60
1892   -.68  -.36  -.63  -.74  -.69  -.60  -.42  -.30  -.52  -.39  -.67  -.65    -.55  -.50    -.35  -.69  -.44  -.53
1893  -1.47 -1.05  -.63  -.70  -.77  -.71  -.19  -.40  -.30  -.14  -.18  -.42    -.58  -.60   -1.06  -.70  -.44  -.21
