Time,GMSL (monthly),GMSL (smoothed)
1993.042,   -44.2,   #N/A
1993.125,   -45.8,   -42.5
1993.208,   -37.6,   -42.3
1993.292,   -43.5,   -39.9
1993.375,   -38.6,   -41.8
1993.458,   -43.2,   -40.3
1993.542,   -39.0,   -41.5
1993.625,   -42.4,   -40.4
1993.708,   -39.8,   -41.9
1993.792,   -43.6,   -42.1
1993.875,   -43.1,   -42.2
1993.958,   -40.0,   -40.9
1994.042,   -39.8,   -40.7
1994.125,   -42.4,   -38.7
1994.208,   -33.8,   -37.8
1994.292,   -37.2,   -37.4
1994.375,   -41.2,   -39.8
1994.458,   -41.0,   -41.2
1994.542,   -41.3,   -40.5
1994.625,   -39.2,   -41.2
1994.708,   -43.1,   -40.8
1994.792,   -40.1,   -43.4
1994.875,   -47.1,   -42.1
1994.958,   -39.0,   -42.1
1995.042,   -40.3,   -38.5
1995.125,   -36.1,   -37.5
1995.208,   -36.2,   -35.3
1995.292,   -33.7,   -37.1
1995.375,   -41.5,   -37.0
1995.458,   -35.8,   -39.8
1995.542,   -42.2,   -37.9
1995.625,   -35.6,   -38.6
1995.708,   -38.0,   -36.5
1995.792,   -35.9,   -38.1
1995.875,   -40.5,   -36.7
1995.958,   -33.8,   -39.0
1996.042,   -42.7,   -35.7
1996.125,   -30.5,   -36.2
1996.208,   -35.5,   -32.5
1996.292,   -31.5,   -33.3
1996.375,   -32.8,   -31.3
1996.458,   -29.6,   -30.6
1996.542,   -29.5,   -30.0
1996.625,   -30.8,   -30.8
1996.708,   -32.2,   -29.0
1996.792,   -23.9,   -28.0
1996.875,   -28.0,   -29.2
1996.958,   -35.6,   -31.8
1997.042,   -31.9,   -33.6
1997.125,   -33.2,   -31.0
1997.208,   -28.0,   -30.8
1997.292,   -31.4,   -28.6
1997.375,   -26.4,   -28.8
1997.458,   -28.7,   -25.5
1997.542,   -21.3,   -25.1
1997.625,   -25.2,   -21.8
1997.708,   -18.8,   -23.6
1997.792,   -26.7,   -22.9
1997.875,   -23.3,   -26.9
1997.958,   -30.6,   -25.2
1998.042,   -21.7,   -25.2
1998.125,   -23.3,   -20.7
1998.208,   -17.1,   -20.4
1998.292,   -20.8,   -18.9
1998.375,   -18.9,   -21.3
1998.458,   -24.1,   -20.4
1998.542,   -18.4,   -21.8
1998.625,   -23.0,   -20.9
1998.708,   -21.4,   -22.0
1998.792,   -21.7,   -22.1
1998.875,   -23.1,   -22.2
1998.958,   -21.7,   -21.6
1999.042,   -20.1,   -19.9
1999.125,   -17.8,   -20.1
1999.208,   -22.5,   -20.6
1999.292,   -21.6,   -23.1
1999.375,   -25.2,   -23.2
1999.458,   -22.9,   -23.7
1999.542,   -23.1,   -22.0
1999.625,   -19.9,   -22.7
1999.708,   -25.1,   -20.1
1999.792,   -15.4,   -22.1
1999.875,   -25.7,   -18.5
1999.958,   -14.4,   -20.1
2000.042,   -20.3,   -16.2
2000.125,   -14.0,   -17.6
2000.208,   -18.5,   -16.4
2000.292,   -16.6,   -19.5
2000.375,   -23.2,   -18.9
2000.458,   -16.8,   -21.0
2000.542,   -22.9,   -18.7
2000.625,   -16.5,   -19.8
2000.708,   -20.0,   -16.5
2000.792,   -13.2,   -17.6
2000.875,   -19.5,   -16.7
2000.958,   -17.4,   -17.6
2001.042,   -15.8,   -15.9
2001.125,   -14.4,   -14.3
2001.208,   -12.8,   -13.6
2001.292,   -13.6,   -13.8
2001.375,   -14.9,   -14.4
2001.458,   -14.6,   -13.3
2001.542,   -10.4,   -13.4
2001.625,   -15.1,   -11.2
2001.708,    -8.2,   -13.0
2001.792,   -15.6,   -11.6
2001.875,   -10.9,   -14.4
2001.958,   -16.5,   -12.6
2002.042,   -10.3,   -12.4
2002.125,   -10.2,   -10.5
2002.208,   -10.9,   -11.0
2002.292,   -11.8,   -10.9
2002.375,   -10.1,   -11.4
2002.458,   -12.4,   -10.0
2002.542,    -7.5,    -8.6
2002.625,    -6.0,    -7.9
2002.708,   -10.2,    -7.9
2002.792,    -7.4,    -9.6
2002.875,   -11.3,    -9.5
2002.958,   -10.0,    -9.8
2003.042,    -8.1,    -7.9
2003.125,    -5.5,    -6.7
2003.208,    -6.5,    -6.6
2003.292,    -7.8,    -7.3
2003.375,    -7.5,    -8.5
2003.458,   -10.2,    -8.8
2003.542,    -8.7,    -9.4
2003.625,    -9.3,    -7.8
2003.708,    -5.3,    -7.5
2003.792,    -7.9,    -7.4
2003.875,    -9.1,    -8.3
2003.958,    -8.0,    -6.8
2004.042,    -3.5,    -5.7
2004.125,    -5.6,    -4.3
2004.208,    -3.8,    -4.8
2004.292,    -5.0,    -5.2
2004.375,    -6.7,    -6.2
2004.458,    -6.8,    -6.0
2004.542,    -4.5,    -5.9
2004.625,    -6.6,    -5.0
2004.708,    -4.0,    -6.2
2004.792,    -8.2,    -6.8
2004.875,    -8.3,    -6.8
2004.958,    -3.9,    -5.6
2005.042,    -4.5,    -3.3
2005.125,    -1.6,    -2.2
2005.208,    -0.5,    -1.8
2005.292,    -3.2,    -2.1
2005.375,    -2.5,    -2.4
2005.458,    -1.6,    -2.0
2005.542,    -2.0,    -2.0
2005.625,    -2.4,    -2.2
2005.708,    -2.4,    -2.4
2005.792,    -2.4,    -1.6
2005.875,     0.1,    -0.3
2005.958,     1.5,    -0.3
2006.042,    -2.5,    -0.0
2006.125,     0.9,    -0.7
2006.208,    -0.3,     0.1
2006.292,    -0.4,    -0.5
2006.375,    -0.8,    -0.2
2006.458,     0.6,     0.3
2006.542,     1.1,     0.7
2006.625,     0.4,     0.6
2006.708,     0.3,     0.5
2006.792,     0.7,    -0.7
2006.875,    -3.3,    -0.7
2006.958,     0.5,    -1.6
2007.042,    -2.1,    -0.4
2007.125,     0.3,    -0.5
2007.208,     0.3,     1.6
2007.292,     4.3,     1.5
2007.375,     0.0,     1.4
2007.458,    -0.0,    -0.5
2007.542,    -1.4,    -0.6
2007.625,    -0.5,    -1.1
2007.708,    -1.6,    -1.0
2007.792,    -0.9,    -0.0
2007.875,     2.4,     0.4
2007.958,    -0.3,     1.8
2008.042,     3.5,     1.5
2008.125,     1.2,     3.3
2008.208,     5.4,     3.3
2008.292,     3.2,     5.9
2008.375,     9.0,     6.2
2008.458,     6.3,     7.3
2008.542,     6.5,     5.9
2008.625,     4.7,     5.8
2008.708,     6.1,     5.3
