"year","met_year","yr_part","month","BEST","BEST_uncertainty","Cowtan & Way Hybrid","Cowtan & Way Hybrid_uncertainty","GISTEMP","GISTEMP NH","GISTEMP SH","HadCRUT3","HadCRUT3v","HadCRUT4","JMA","Keeling","NCEI","NCEP Surface Air","NCEP Surface Air NH","NCEP Surface Air SH","RATPAC-A 850-300 mb","RSS TLT 3.3","RSS TMT 3.3","RSS TMT 4.0","UAH TLT 5.6","UAH TLT 6.0"
1850,1850,1850.04166666667,1,-0.737,0.397,-0.799,0.34692,NA,NA,NA,-0.691,-0.675,-0.702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.125,2,-0.231,0.449,-0.191,0.34888,NA,NA,NA,-0.357,-0.359,-0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.20833333333,3,-0.375,0.362,-0.451,0.34104,NA,NA,NA,-0.816,-0.742,-0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.29166666667,4,-0.659,0.281,-0.595,0.31948,NA,NA,NA,-0.586,-0.572,-0.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.375,5,-0.625,0.263,-0.527,0.294,NA,NA,NA,-0.385,-0.41,-0.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.45833333333,6,-0.345,0.261,-0.311,0.26852,NA,NA,NA,-0.311,-0.316,-0.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.54166666667,7,-0.183,0.256,-0.07,0.24892,NA,NA,NA,-0.237,-0.257,-0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.625,8,-0.158,0.309,-0.019,0.24304,NA,NA,NA,-0.34,-0.336,-0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.70833333333,9,-0.457,0.275,-0.348,0.25676,NA,NA,NA,-0.51,-0.487,-0.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.79166666667,10,-0.608,0.328,-0.664,0.28224,NA,NA,NA,-0.504,-0.459,-0.452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1850,1850.875,11,-0.588,0.413,-0.491,0.30576,NA,NA,NA,-0.259,-0.282,-0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,1851,1850.95833333333,12,-0.465,0.418,-0.453,0.3332,NA,NA,NA,-0.318,-0.327,-0.268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.04166666667,1,-0.265,0.395,-0.184,0.343,NA,NA,NA,-0.345,-0.308,-0.303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.125,2,-0.498,0.39,-0.431,0.34496,NA,NA,NA,-0.394,-0.344,-0.362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.20833333333,3,-0.537,0.354,-0.73,0.33516,NA,NA,NA,-0.503,-0.436,-0.485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.29166666667,4,-0.676,0.322,-0.705,0.31164,NA,NA,NA,-0.48,-0.419,-0.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.375,5,-0.311,0.354,-0.213,0.28616,NA,NA,NA,-0.391,-0.368,-0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.45833333333,6,-0.187,0.278,-0.06,0.26264,NA,NA,NA,-0.264,-0.296,-0.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.54166666667,7,-0.132,0.26,-0.072,0.245,NA,NA,NA,-0.279,-0.282,-0.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.625,8,-0.267,0.303,-0.071,0.24108,NA,NA,NA,-0.175,-0.222,-0.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.70833333333,9,-0.291,0.262,-0.087,0.25676,NA,NA,NA,-0.211,-0.269,-0.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.79166666667,10,-0.171,0.397,-0.084,0.2842,NA,NA,NA,-0.123,-0.184,-0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1851,1851.875,11,-0.307,0.375,-0.136,0.30968,NA,NA,NA,-0.141,-0.25,-0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,1852,1851.95833333333,12,-0.116,0.367,-0.095,0.33124,NA,NA,NA,-0.151,-0.25,-0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,1852,1852.04166666667,1,-0.302,0.48,-0.491,0.33908,NA,NA,NA,-0.398,-0.385,-0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
