Temperature Weighting Function for Channel TLT
Surface Type: land
--------------------------------------------------------
Surface Weight                                  0.15104
--------------------------------------------------------      
level      h(m)    T(K)      P(pa)    PV(pa)     Weight
--------------------------------------------------------
   0       0.00    288.15 101325.00 1193.6130   0.12104
   1     300.00    286.20  97704.60  977.2475   0.12234
   2     600.00    284.25  94213.55  800.1025   0.12372
   3     900.00    282.30  90847.25  655.0686   0.12507
   4    1200.00    280.35  87601.23  536.3248   0.12619
   5    1500.00    278.40  84471.19  439.1056   0.12698
   6    1800.00    276.45  81452.98  359.5092   0.12731
   7    2100.00    274.50  78497.20  294.3413   0.12703
   8    2400.00    272.56  75561.19  240.9863   0.12592
   9    2700.00    270.61  72735.00  197.3029   0.12422
  10    3000.00    268.66  70014.51  161.5379   0.12192
  11    3300.00    266.71  67395.77  132.2561   0.11903
  12    3600.00    264.76  64874.99  108.2821   0.11563
  13    3900.00    262.82  62448.49   88.6539   0.11169
  14    4200.00    260.87  60036.17   72.5837   0.10712
  15    4500.00    258.92  57680.26   59.4265   0.10209
  16    4800.00    256.97  55416.80   48.6543   0.09676
  17    5100.00    255.03  53242.16   39.8348   0.09119
  18    5400.00    253.08  51152.86   32.6139   0.08551
  19    5700.00    251.13  49145.55   26.7020   0.07974
  20    6000.00    249.19  47217.00   21.8618   0.07394
  21    6300.00    247.24  45268.32   17.8989   0.06801
  22    6600.00    245.30  43400.07   14.6544   0.06220
  23    6900.00    243.35  41608.92   11.9980   0.05657
  24    7200.00    241.40  39891.69    9.8231   0.05118
  25    7500.00    239.46  38245.33    8.0425   0.04605
  26    7800.00    237.51  36666.91    6.5846   0.04118
  27    8100.00    235.57  35132.69    5.3910   0.03660
  28    8400.00    233.62  33622.54    4.4138   0.03222
  29    8700.00    231.68  32177.29    3.6137   0.02820
  30    9000.00    229.73  30794.17    2.9587   0.02451
  31    9300.00    227.79  29470.50    2.4224   0.02116
  32    9600.00    225.84  28203.73    1.9833   0.01809
