
     Year         No. of      Temp.       Std.        95% Conf. Interval
      (AD)        Proxies     Anom.       Error       lower        upper
                             (deg. C)
     16.0000     12.0000     -0.2358      0.1525     -0.5407      0.0691
     17.0000     12.0000     -0.2361      0.1525     -0.5410      0.0689
     18.0000     12.0000     -0.2316      0.1525     -0.5365      0.0734
     19.0000     12.0000     -0.2226      0.1525     -0.5276      0.0823
     20.0000     13.0000     -0.2240      0.1729     -0.5698      0.1217
     21.0000     13.0000     -0.2178      0.1729     -0.5636      0.1279
     22.0000     13.0000     -0.2120      0.1729     -0.5577      0.1338
     23.0000     13.0000     -0.2089      0.1729     -0.5546      0.1368
     24.0000     14.0000     -0.2171      0.1641     -0.5453      0.1111
     25.0000     14.0000     -0.2132      0.1641     -0.5414      0.1150
     26.0000     14.0000     -0.2066      0.1641     -0.5348      0.1216
     27.0000     14.0000     -0.2018      0.1641     -0.5300      0.1263
     28.0000     14.0000     -0.1986      0.1641     -0.5268      0.1296
     29.0000     14.0000     -0.1951      0.1641     -0.5233      0.1331
     30.0000     15.0000     -0.1666      0.1556     -0.4779      0.1447
     31.0000     15.0000     -0.1650      0.1556     -0.4763      0.1463
     32.0000     15.0000     -0.1627      0.1556     -0.4740      0.1485
     33.0000     15.0000     -0.1641      0.1556     -0.4754      0.1471
     34.0000     15.0000     -0.1610      0.1556     -0.4723      0.1502
     35.0000     16.0000     -0.1746      0.1479     -0.4704      0.1212
     36.0000     16.0000     -0.1692      0.1479     -0.4650      0.1267
     37.0000     16.0000     -0.1627      0.1479     -0.4585      0.1331
     38.0000     16.0000     -0.1571      0.1479     -0.4529      0.1388
     39.0000     16.0000     -0.1558      0.1479     -0.4517      0.1400
     40.0000     16.0000     -0.1522      0.1479     -0.4480      0.1436
     41.0000     16.0000     -0.1476      0.1479     -0.4434      0.1482
     42.0000     16.0000     -0.1471      0.1479     -0.4429      0.1487
     43.0000     16.0000     -0.1474      0.1479     -0.4433      0.1484
     44.0000     16.0000     -0.1466      0.1479     -0.4424      0.1492
     45.0000     16.0000     -0.1441      0.1479     -0.4400      0.1517
     46.0000     16.0000     -0.1394      0.1479     -0.4352      0.1564
     47.0000     16.0000     -0.1364      0.1479     -0.4322      0.1595
     48.0000     16.0000     -0.1352      0.1479     -0.4310      0.1606
     49.0000     16.0000     -0.1335      0.1479     -0.4293      0.1623
     50.0000     17.0000     -0.0970      0.1418     -0.3807      0.1867
     51.0000     17.0000     -0.0958      0.1418     -0.3795      0.1879
     52.0000     17.0000     -0.0935      0.1418     -0.3772      0.1901
     53.0000     17.0000     -0.0935      0.1418     -0.3772      0.1902
     54.0000     17.0000     -0.0943      0.1418     -0.3780      0.1894
     55.0000     17.0000     -0.0968      0.1418     -0.3805      0.1869
     56.0000     17.0000     -0.0988      0.1418     -0.3825      0.1849
     57.0000     17.0000     -0.1020      0.1418     -0.3856      0.1817
     58.0000     17.0000     -0.1053      0.1418     -0.3890      0.1784
     59.0000     17.0000     -0.1096      0.1418     -0.3933      0.1741
     60.0000     17.0000     -0.1117      0.1418     -0.3953      0.1720
     61.0000     17.0000     -0.1161      0.1418     -0.3998      0.1676
     62.0000     17.0000     -0.1152      0.1418     -0.3989      0.1685
     63.0000     17.0000     -0.1184      0.1418     -0.4021      0.1653
     64.0000     17.0000     -0.1213      0.1418     -0.4050      0.1624
     65.0000     17.0000     -0.1208      0.1418     -0.4045      0.1629
     66.0000     17.0000     -0.1226      0.1418     -0.4063      0.1611
     67.0000     17.0000     -0.1251      0.1418     -0.4088      0.1586
     68.0000     17.0000     -0.1288      0.1418     -0.4125      0.1549
     69.0000     17.0000     -0.1298      0.1418     -0.4135      0.1539
     70.0000     17.0000     -0.1306      0.1418     -0.4143      0.1531
     71.0000     17.0000     -0.1310      0.1418     -0.4146      0.1527
     72.0000     17.0000     -0.1286      0.1418     -0.4123      0.1551
     73.0000     17.0000     -0.1262      0.1418     -0.4098      0.1575
     74.0000     17.0000     -0.1250      0.1418     -0.4087      0.1587
     75.0000     17.0000     -0.1241      0.1418     -0.4078      0.1596
     76.0000     17.0000     -0.1221      0.1418     -0.4057      0.1616
     77.0000     17.0000     -0.1207      0.1418     -0.4044      0.1630
     78.0000     17.0000     -0.1156      0.1418     -0.3993      0.1681
     79.0000     17.0000     -0.1117      0.1418     -0.3954      0.1720
     80.0000     17.0000     -0.1058      0.1418     -0.3895      0.1779
     81.0000     17.0000     -0.1019      0.1418     -0.3856      0.1818
     82.0000     17.0000     -0.0975      0.1418     -0.3812      0.1862
     83.0000     17.0000     -0.0901      0.1418     -0.3738      0.1936
     84.0000     17.0000     -0.0834      0.1418     -0.3671      0.2002
     85.0000     17.0000     -0.0772      0.1418     -0.3609      0.2064
     86.0000     17.0000     -0.0712      0.1418     -0.3549      0.2125
     87.0000     17.0000     -0.0648      0.1418     -0.3485      0.2189
     88.0000     17.0000     -0.0592      0.1418     -0.3429      0.2244
     89.0000     17.0000     -0.0540      0.1418     -0.3377      0.2297
     90.0000     17.0000     -0.0466      0.1418     -0.3303      0.2371
     91.0000     17.0000     -0.0413      0.1418     -0.3250      0.2423
     92.0000     17.0000     -0.0338      0.1418     -0.3175      0.2499
     93.0000     17.0000     -0.0235      0.1418     -0.3072      0.2602
     94.0000     17.0000     -0.0161      0.1418     -0.2998      0.2676
     95.0000     17.0000     -0.0043      0.1418     -0.2880      0.2794
     96.0000     17.0000      0.0078      0.1418     -0.2759      0.2915
     97.0000     17.0000      0.0252      0.1418     -0.2585      0.3089
     98.0000     17.0000      0.0391      0.1418     -0.2446      0.3228
     99.0000     17.0000      0.0521      0.1418     -0.2316      0.3358
    100.0000     17.0000      0.0634      0.1418     -0.2203      0.3471
    101.0000     17.0000      0.0692      0.1418     -0.2145      0.3529
    102.0000     17.0000      0.0739      0.1418     -0.2098      0.3576
    103.0000     17.0000      0.0758      0.1418     -0.2079      0.3595
    104.0000     17.0000      0.0775      0.1418     -0.2062      0.3612
    105.0000     17.0000      0.0815      0.1418     -0.2022      0.3651
    106.0000     17.0000      0.0798      0.1418     -0.2039      0.3634
    107.0000     17.0000      0.0779      0.1418     -0.2058      0.3615
    108.0000     17.0000      0.0758      0.1418     -0.2079      0.3595
    109.0000     17.0000      0.0743      0.1418     -0.2094      0.3580
    110.0000     17.0000      0.0738      0.1418     -0.2099      0.3575
    111.0000     17.0000      0.0733      0.1418     -0.2104      0.3570
    112.0000     17.0000      0.0690      0.1418     -0.2147      0.3527
    113.0000     17.0000      0.0651      0.1418     -0.2185      0.3488
    114.0000     17.0000      0.0598      0.1418     -0.2239      0.3435
    115.0000     17.0000      0.0548      0.1418     -0.2289      0.3385
    116.0000     17.0000      0.0504      0.1418     -0.2333      0.3341
    117.0000     17.0000      0.0482      0.1418     -0.2355      0.3319
    118.0000     17.0000      0.0438      0.1418     -0.2399      0.3275
    119.0000     17.0000      0.0393      0.1418     -0.2444      0.3230
    120.0000     17.0000      0.0355      0.1418     -0.2482      0.3192
    121.0000     17.0000      0.0265      0.1418     -0.2572      0.3102
    122.0000     17.0000      0.0155      0.1418     -0.2682      0.2992
    123.0000     17.0000      0.0058      0.1418     -0.2779      0.2895
    124.0000     17.0000     -0.0058      0.1418     -0.2895      0.2779
    125.0000     17.0000     -0.0124      0.1418     -0.2961      0.2713
    126.0000     17.0000     -0.0234      0.1418     -0.3071      0.2603
    127.0000     17.0000     -0.0325      0.1418     -0.3162      0.2512
    128.0000     17.0000     -0.0415      0.1418     -0.3252      0.2422
    129.0000     17.0000     -0.0492      0.1418     -0.3329      0.2345
    130.0000     17.0000     -0.0521      0.1418     -0.3358      0.2316
    131.0000     17.0000     -0.0536      0.1418     -0.3373      0.2301
    132.0000     17.0000     -0.0541      0.1418     -0.3378      0.2296
    133.0000     17.0000     -0.0538      0.1418     -0.3374      0.2299
    134.0000     17.0000     -0.0545      0.1418     -0.3382      0.2292
    135.0000     17.0000     -0.0524      0.1418     -0.3361      0.2313
    136.0000     17.0000     -0.0506      0.1418     -0.3343      0.2331
    137.0000     17.0000     -0.0485      0.1418     -0.3321      0.2352
    138.0000     17.0000     -0.0471      0.1418     -0.3308      0.2366
    139.0000     17.0000     -0.0442      0.1418     -0.3278      0.2395
    140.0000     17.0000     -0.0426      0.1418     -0.3262      0.2411
    141.0000     17.0000     -0.0376      0.1418     -0.3213      0.2461
    142.0000     17.0000     -0.0311      0.1418     -0.3148      0.2526
    143.0000     17.0000     -0.0239      0.1418     -0.3076      0.2598
    144.0000     17.0000     -0.0176      0.1418     -0.3013      0.2660
    145.0000     17.0000     -0.0119      0.1418     -0.2956      0.2718
    146.0000     17.0000     -0.0074      0.1418     -0.2911      0.2763
    147.0000     17.0000     -0.0008      0.1418     -0.2845      0.2829
    148.0000     18.0000     -0.0026      0.1364     -0.2755      0.2703
    149.0000     18.0000      0.0015      0.1364     -0.2714      0.2744
    150.0000     18.0000      0.0076      0.1364     -0.2653      0.2805
    151.0000     18.0000      0.0151      0.1364     -0.2578      0.2880
    152.0000     18.0000      0.0206      0.1364     -0.2523      0.2935
    153.0000     18.0000      0.0250      0.1364     -0.2479      0.2979
    154.0000     18.0000      0.0240      0.1364     -0.2489      0.2969
    155.0000     18.0000      0.0219      0.1364     -0.2509      0.2948
    156.0000     18.0000      0.0197      0.1364     -0.2532      0.2926
    157.0000     18.0000      0.0174      0.1364     -0.2555      0.2903
    158.0000     18.0000      0.0149      0.1364     -0.2580      0.2878
    159.0000     18.0000      0.0097      0.1364     -0.2631      0.2826
    160.0000     18.0000      0.0025      0.1364     -0.2703      0.2754
    161.0000     18.0000     -0.0019      0.1364     -0.2748      0.2710
    162.0000     18.0000     -0.0083      0.1364     -0.2812      0.2646
    163.0000     18.0000     -0.0110      0.1364     -0.2838      0.2619
    164.0000     18.0000     -0.0135      0.1364     -0.2864      0.2594
    165.0000     18.0000     -0.0150      0.1364     -0.2879      0.2578
    166.0000     18.0000     -0.0164      0.1364     -0.2893      0.2565
    167.0000     18.0000     -0.0186      0.1364     -0.2915      0.2543
    168.0000     18.0000     -0.0169      0.1364     -0.2898      0.2559
    169.0000     18.0000     -0.0124      0.1364     -0.2852      0.2605
    170.0000     18.0000     -0.0081      0.1364     -0.2810      0.2647
    171.0000     18.0000     -0.0014      0.1364     -0.2743      0.2715
    172.0000     18.0000      0.0036      0.1364     -0.2693      0.2765
    173.0000     18.0000      0.0078      0.1364     -0.2650      0.2807
    174.0000     18.0000      0.0105      0.1364     -0.2624      0.2833
    175.0000     18.0000      0.0115      0.1364     -0.2614      0.2844
    176.0000     18.0000      0.0097      0.1364     -0.2632      0.2826
    177.0000     18.0000      0.0067      0.1364     -0.2662      0.2796
    178.0000     18.0000     -0.0002      0.1364     -0.2731      0.2727
    179.0000     18.0000     -0.0091      0.1364     -0.2820      0.2638
    180.0000     18.0000     -0.0227      0.1364     -0.2956      0.2502
    181.0000     18.0000     -0.0338      0.1364     -0.3067      0.2391
    182.0000     18.0000     -0.0453      0.1364     -0.3182      0.2276
    183.0000     18.0000     -0.0550      0.1364     -0.3279      0.2179
    184.0000     18.0000     -0.0649      0.1364     -0.3378      0.2080
    185.0000     18.0000     -0.0749      0.1364     -0.3478      0.1980
    186.0000     18.0000     -0.0853      0.1364     -0.3582      0.1876
    187.0000     18.0000     -0.0962      0.1364     -0.3691      0.1767
    188.0000     18.0000     -0.1081      0.1364     -0.3810      0.1648
    189.0000     18.0000     -0.1177      0.1364     -0.3906      0.1552
    190.0000     18.0000     -0.1306      0.1364     -0.4035      0.1423
    191.0000     18.0000     -0.1397      0.1364     -0.4126      0.1331
    192.0000     18.0000     -0.1541      0.1364     -0.4270      0.1188
    193.0000     18.0000     -0.1681      0.1364     -0.4410      0.1048
    194.0000     18.0000     -0.1817      0.1364     -0.4546      0.0912
    195.0000     18.0000     -0.1950      0.1364     -0.4679      0.0778
    196.0000     18.0000     -0.2077      0.1364     -0.4806      0.0651
    197.0000     18.0000     -0.2258      0.1364     -0.4987      0.0471
    198.0000     18.0000     -0.2442      0.1364     -0.5171      0.0287
    199.0000     18.0000     -0.2653      0.1364     -0.5381      0.0076
    200.0000     18.0000     -0.2882      0.1364     -0.5611     -0.0153
    201.0000     18.0000     -0.3096      0.1364     -0.5825     -0.0367
    202.0000     18.0000     -0.3273      0.1364     -0.6002     -0.0544
    203.0000     18.0000     -0.3452      0.1364     -0.6181     -0.0723
    204.0000     18.0000     -0.3600      0.1364     -0.6329     -0.0872
    205.0000     18.0000     -0.3747      0.1364     -0.6476     -0.1018
    206.0000     18.0000     -0.3840      0.1364     -0.6569     -0.1111
    207.0000     18.0000     -0.3892      0.1364     -0.6621     -0.1163
    208.0000     18.0000     -0.3911      0.1364     -0.6640     -0.1182
    209.0000     18.0000     -0.3876      0.1364     -0.6605     -0.1147
    210.0000     18.0000     -0.3848      0.1364     -0.6577     -0.1119
    211.0000     18.0000     -0.3801      0.1364     -0.6530     -0.1072
    212.0000     18.0000     -0.3749      0.1364     -0.6478     -0.1020
    213.0000     18.0000     -0.3683      0.1364     -0.6412     -0.0954
    214.0000     18.0000     -0.3624      0.1364     -0.6353     -0.0895
    215.0000     18.0000     -0.3567      0.1364     -0.6296     -0.0838
    216.0000     18.0000     -0.3501      0.1364     -0.6230     -0.0772
    217.0000     18.0000     -0.3453      0.1364     -0.6182     -0.0724
    218.0000     18.0000     -0.3409      0.1364     -0.6138     -0.0680
    219.0000     18.0000     -0.3311      0.1364     -0.6040     -0.0582
    220.0000     18.0000     -0.3232      0.1364     -0.5961     -0.0504
    221.0000     18.0000     -0.3113      0.1364     -0.5842     -0.0385
    222.0000     18.0000     -0.3011      0.1364     -0.5740     -0.0282
    223.0000     18.0000     -0.2931      0.1364     -0.5660     -0.0202
    224.0000     18.0000     -0.2857      0.1364     -0.5586     -0.0129
    225.0000     18.0000     -0.2783      0.1364     -0.5512     -0.0054
    226.0000     18.0000     -0.2700      0.1364     -0.5429      0.0029
    227.0000     18.0000     -0.2635      0.1364     -0.5364      0.0094
    228.0000     18.0000     -0.2550      0.1364     -0.5279      0.0179
    229.0000     18.0000     -0.2466      0.1364     -0.5195      0.0262
    230.0000     18.0000     -0.2401      0.1364     -0.5130      0.0328
