; TSI Reconstruction based on NRLTSI2 (Coddington et al., BAMS, 2015 doi: 10.1175/BAMS-D-14-00265.1)
; Scaled by 1.000002 (+0.0025 W/m^2) to match SORCE/TIM absolute value
;    from Kopp & Lean (GRL, 2011)
; Extended using SORCE/TIM annual averages from 2003 onward
; Computed by Greg Kopp using TIM V.17 on Mon Feb  5 11:30:45 2018
;
; Year   TSI [W/m^2]
1610.5     1360.5444
1611.5     1360.5742
1612.5     1361.0019
1613.5     1361.2256
1614.5     1361.2072
1615.5     1361.1105
1616.5     1360.4448
1617.5     1360.3521
1618.5     1360.3256
1619.5     1360.4205
1620.5     1360.4277
1621.5     1360.4042
1622.5     1360.3655
1623.5     1360.2977
1624.5     1360.2619
1625.5     1360.4795
1626.5     1360.4164
1627.5     1360.3099
1628.5     1360.3727
1629.5     1360.3437
1630.5     1360.2410
1631.5     1360.2593
1632.5     1360.2425
1633.5     1360.4046
1634.5     1360.2957
1635.5     1360.2968
1636.5     1360.3722
1637.5     1360.6113
1638.5     1360.7586
1639.5     1360.8930
1640.5     1360.4750
1641.5     1360.8036
1642.5     1360.7731
1643.5     1360.3859
1644.5     1360.3342
1645.5     1360.2277
1646.5     1360.2116
1647.5     1360.1889
1648.5     1360.1602
1649.5     1360.1498
1650.5     1360.1019
1651.5     1360.0947
1652.5     1360.1439
1653.5     1360.0950
1654.5     1360.0939
1655.5     1360.0925
1656.5     1360.0927
1657.5     1360.0883
1658.5     1360.0895
1659.5     1360.0883
1660.5     1360.1041
1661.5     1360.0937
1662.5     1360.0872
1663.5     1360.0873
1664.5     1360.0872
1665.5     1360.0871
1666.5     1360.0871
1667.5     1360.0871
1668.5     1360.0882
1669.5     1360.0877
1670.5     1360.0876
1671.5     1360.0945
1672.5     1360.0908
1673.5     1360.0878
1674.5     1360.0892
1675.5     1360.0878
1676.5     1360.0999
1677.5     1360.0937
1678.5     1360.0905
1679.5     1360.0886
1680.5     1360.0944
1681.5     1360.0887
1682.5     1360.0883
1683.5     1360.0883
1684.5     1360.0995
1685.5     1360.0878
1686.5     1360.0916
1687.5     1360.0876
1688.5     1360.0911
1689.5     1360.0883
1690.5     1360.0867
1691.5     1360.0867
1692.5     1360.0868
1693.5     1360.0871
1694.5     1360.0872
1695.5     1360.0881
1696.5     1360.0879
1697.5     1360.0911
1698.5     1360.0920
1699.5     1360.0939
1700.5     1360.0969
1701.5     1360.1010
1702.5     1360.0984
1703.5     1360.1165
1704.5     1360.1304
1705.5     1360.1391
1706.5     1360.1171
1707.5     1360.1406
1708.5     1360.1264
1709.5     1360.1152
1710.5     1360.1125
1711.5     1360.1106
1712.5     1360.1284
1713.5     1360.1373
1714.5     1360.1437
1715.5     1360.1646
1716.5     1360.2138
1717.5     1360.2717
1718.5     1360.2305
1719.5     1360.4289
1720.5     1360.3846
1721.5     1360.3771
1722.5     1360.3027
1723.5     1360.2670
1724.5     1360.3384
1725.5     1360.3176
1726.5     1360.4781
1727.5     1360.5346
1728.5     1360.7283
1729.5     1360.4418
1730.5     1360.6801
1731.5     1360.2558
1732.5     1360.2638
1733.5     1360.2790
1734.5     1360.2885
1735.5     1360.3824
1736.5     1360.6147
1737.5     1360.4229
1738.5     1360.3582
1739.5     1360.6296
1740.5     1360.2902
1741.5     1360.6858
1742.5     1360.3779
1743.5     1360.3271
1744.5     1360.2693
1745.5     1360.2615
1746.5     1360.3069
1747.5     1360.5009
1748.5     1360.6750
1749.5     1360.7190
1750.5     1360.7264
1751.5     1360.5162
1752.5     1360.4964
1753.5     1360.4887
1754.5     1360.3604
1755.5     1360.3439
1756.5     1360.3649
1757.5     1360.4781
1758.5     1360.5580
1759.5     1360.7116
1760.5     1360.6268
1761.5     1360.8714
1762.5     1360.6696
1763.5     1360.6240
1764.5     1360.6251
1765.5     1360.4907
1766.5     1360.4026
1767.5     1360.6074
1768.5     1360.9064
1769.5     1361.1376
1770.5     1361.1259
1771.5     1360.9782
1772.5     1360.9264
1773.5     1360.6729
1774.5     1360.6214
1775.5     1360.4494
1776.5     1360.4913
1777.5     1360.6542
1778.5     1360.9354
1779.5     1360.9703
1780.5     1360.8265
1781.5     1360.9123
1782.5     1360.6749
1783.5     1360.5460
1784.5     1360.4039
1785.5     1360.5358
1786.5     1360.8533
1787.5     1361.0226
1788.5     1361.0615
1789.5     1360.9339
1790.5     1360.8194
1791.5     1360.6453
1792.5     1360.6478
1793.5     1360.7003
1794.5     1360.5458
1795.5     1360.4704
1796.5     1360.3992
1797.5     1360.3154
1798.5     1360.2903
1799.5     1360.2724
1800.5     1360.2773
1801.5     1360.5890
1802.5     1360.4744
1803.5     1360.3321
1804.5     1360.3433
1805.5     1360.3528
1806.5     1360.2880
1807.5     1360.2073
1808.5     1360.1996
1809.5     1360.1972
1810.5     1360.1736
1811.5     1360.1699
1812.5     1360.1879
1813.5     1360.2287
1814.5     1360.2333
1815.5     1360.2801
1816.5     1360.3853
1817.5     1360.3719
1818.5     1360.3281
1819.5     1360.3298
1820.5     1360.2855
1821.5     1360.2558
1822.5     1360.2558
1823.5     1360.2446
1824.5     1360.2955
1825.5     1360.3416
1826.5     1360.4361
1827.5     1360.6002
1828.5     1360.7153
1829.5     1360.7632
1830.5     1360.8288
1831.5     1360.6932
1832.5     1360.5464
1833.5     1360.4362
1834.5     1360.4409
1835.5     1360.7086
1836.5     1361.1069
1837.5     1361.2355
1838.5     1361.0013
1839.5     1360.8608
1840.5     1360.7442
1841.5     1360.5991
1842.5     1360.5497
1843.5     1360.4810
1844.5     1360.5053
1845.5     1360.6161
1846.5     1360.7031
1847.5     1360.7734
1848.5     1360.9730
1849.5     1360.9933
1850.5     1360.7663
1851.5     1360.7686
1852.5     1360.7660
1853.5     1360.6702
1854.5     1360.5226
1855.5     1360.4249
1856.5     1360.3970
1857.5     1360.4742
1858.5     1360.6674
1859.5     1360.8940
1860.5     1360.9730
1861.5     1360.8690
1862.5     1360.7499
1863.5     1360.6683
1864.5     1360.6611
1865.5     1360.5751
1866.5     1360.5154
1867.5     1360.4252
1868.5     1360.5740
1869.5     1360.8166
1870.5     1361.0713
1871.5     1361.0062
1872.5     1360.9318
1873.5     1360.7272
1874.5     1360.5906
1875.5     1360.4468
1876.5     1360.4142
1877.5     1360.4147
1878.5     1360.3554
1879.5     1360.3354
1880.5     1360.4596
1881.5     1360.5977
1882.5     1360.5159
1883.5     1360.4941
1884.5     1360.6541
1885.5     1360.5347
1886.5     1360.3687
1887.5     1360.3122
1888.5     1360.2656
1889.5     1360.2540
1890.5     1360.2841
1891.5     1360.5411
1892.5     1360.6503
1893.5     1360.8187
1894.5     1360.9329
1895.5     1360.7892
1896.5     1360.5822
1897.5     1360.4452
1898.5     1360.4164
1899.5     1360.3458
1900.5     1360.3227
1901.5     1360.2592
1902.5     1360.2867
1903.5     1360.4753
1904.5     1360.7487
1905.5     1360.5759
1906.5     1360.7703
1907.5     1360.6534
1908.5     1360.7142
1909.5     1360.5870
1910.5     1360.4570
1911.5     1360.3574
1912.5     1360.3091
1913.5     1360.3096
1914.5     1360.4144
1915.5     1360.7286
1916.5     1360.9615
1917.5     1361.1534
1918.5     1361.1036
1919.5     1360.8415
1920.5     1360.6486
1921.5     1360.5436
1922.5     1360.4438
1923.5     1360.4400
1924.5     1360.5062
1925.5     1360.7217
1926.5     1360.8384
1927.5     1361.0274
1928.5     1360.9018
1929.5     1360.8481
1930.5     1360.8134
1931.5     1360.6843
1932.5     1360.5691
1933.5     1360.4931
1934.5     1360.5623
1935.5     1360.8021
1936.5     1361.2311
1937.5     1361.2075
1938.5     1361.1309
1939.5     1361.0941
1940.5     1361.0010
1941.5     1360.9139
1942.5     1360.7935
1943.5     1360.6286
1944.5     1360.6755
1945.5     1360.9437
1946.5     1361.0909
1947.5     1361.3952
1948.5     1361.5088
1949.5     1361.4113
1950.5     1361.1204
1951.5     1360.8522
1952.5     1360.8249
1953.5     1360.6963
1954.5     1360.7034
1955.5     1360.8836
1956.5     1361.4239
1957.5     1361.9423
1958.5     1361.8635
1959.5     1361.5638
1960.5     1361.4300
1961.5     1360.9982
1962.5     1360.8006
1963.5     1360.7350
1964.5     1360.7302
1965.5     1360.7765
1966.5     1361.0046
1967.5     1361.2255
1968.5     1361.3062
1969.5     1361.3796
1970.5     1361.3784
1971.5     1361.0425
1972.5     1361.1027
1973.5     1360.8672
1974.5     1360.7735
1975.5     1360.7180
1976.5     1360.6971
1977.5     1360.8930
1978.5     1361.2187
1979.5     1361.6041
1980.5     1361.6423
1981.5     1361.6858
1982.5     1361.2336
1983.5     1361.2162
1984.5     1360.7929
1985.5     1360.6356
1986.5     1360.6442
1987.5     1360.7853
1988.5     1361.1220
1989.5     1361.6458
1990.5     1361.5546
1991.5     1361.5203
1992.5     1361.3107
1993.5     1360.9452
1994.5     1360.7444
1995.5     1360.7342
1996.5     1360.6788
1997.5     1360.8097
1998.5     1361.1784
1999.5     1361.4825
2000.5     1361.6628
2001.5     1361.5711
2002.5     1361.6357
2003.5     1361.0200
2004.5     1360.9186
2005.5     1360.7522
2006.5     1360.6731
2007.5     1360.5711
2008.5     1360.5380
2009.5     1360.5567
2010.5     1360.8024
2011.5     1361.0743
2012.5     1361.2410
2013.5     1361.3588
2014.5     1361.3959
2015.5     1361.4291
2016.5     1361.0082
2017.5     1360.7502
